,plant_0802_1300_W2W3_plantArea
W2-001,119.0
W2-002,317.0
W2-003,113.0
W2-004,346.0
W2-005,23.0
W2-006,82.0
W2-007,452.0
W2-008,238.0
W2-009,237.0
W2-010,147.0
W2-011,277.0
W2-012,170.0
W2-013,263.0
W2-014,373.0
W2-015,278.0
W2-016,242.0
W2-017,299.0
W2-018,324.0
W2-019,191.0
W2-020,83.0
W2-021,156.0
W2-022,363.0
W2-023,243.0
W2-024,201.0
W2-025,378.0
W2-026,109.0
W2-027,477.0
W2-028,166.0
W2-029,354.0
W2-030,408.0
W2-031,428.0
W2-032,305.0
W2-033,204.0
W2-034,416.0
W2-035,204.0
W2-036,168.0
W2-037,251.0
W2-038,21.0
W2-039,213.0
W2-040,233.0
W2-041,96.0
W2-042,177.0
W2-043,96.0
W2-044,118.0
W2-045,220.0
W2-046,422.0
W2-047,174.0
W2-048,234.0
W2-049,249.0
W2-050,176.0
W2-051,41.0
W2-052,194.0
W2-053,29.0
W2-054,396.0
W2-055,193.0
W2-056,226.0
W2-057,138.0
W2-058,590.0
W2-059,251.0
W2-060,192.0
W2-061,383.0
W2-062,236.0
W2-063,373.0
W2-064,486.0
W2-065,209.0
W2-066,174.0
W2-067,185.0
W2-068,349.0
W2-069,99.0
W2-070,189.0
W2-071,276.0
W2-072,174.0
W2-073,144.0
W2-074,291.0
W2-075,311.0
W2-076,389.0
W2-077,217.0
W2-078,572.0
W2-079,408.0
W2-080,466.0
W2-081,143.0
W2-082,246.0
W2-083,266.0
W2-084,184.0
W2-085,205.0
W2-086,81.0
W2-087,273.0
W2-088,134.0
W2-089,85.0
W2-090,132.0
W2-091,167.0
W2-092,194.0
W2-093,147.0
W2-094,157.0
W2-095,329.0
W2-096,63.0
W2-097,325.0
W2-098,240.0
W2-099,0.0
W2-100,228.0
W2-101,258.0
W2-102,417.0
W2-103,322.0
W2-104,274.0
W2-105,386.0
W2-106,265.0
W2-107,391.0
W2-108,266.0
W2-109,294.0
W2-110,160.0
W2-111,584.0
W2-112,749.0
W2-113,265.0
W2-114,72.0
W2-115,361.0
W2-116,239.0
W2-117,409.0
W2-118,211.0
W2-119,188.0
W2-120,323.0
W2-121,336.0
W2-122,54.0
W2-123,45.0
W2-124,189.0
W2-125,162.0
W2-126,552.0
W2-127,402.0
W2-128,553.0
W2-129,529.0
W2-130,358.0
W2-131,464.0
W2-132,173.0
W2-133,273.0
W2-134,310.0
W2-135,274.0
W2-136,187.0
W2-137,175.0
W2-138,208.0
W2-139,60.0
W2-140,309.0
W2-141,163.0
W2-142,116.0
W2-143,126.0
W2-144,66.0
W2-145,344.0
W2-146,260.0
W2-147,136.0
W2-148,128.0
W2-149,0.0
W2-150,311.0
W2-151,281.0
W2-152,156.0
W2-153,196.0
W2-154,313.0
W2-155,126.0
W2-156,604.0
W2-157,390.0
W2-158,98.0
W2-159,244.0
W2-160,474.0
W2-161,110.0
W2-162,298.0
W2-163,343.0
W2-164,377.0
W2-165,127.0
W2-166,126.0
W2-167,347.0
W2-168,113.0
W2-169,130.0
W2-170,239.0
W2-171,222.0
W2-172,128.0
W2-173,104.0
W2-174,94.0
W2-175,90.0
W2-176,540.0
W2-177,279.0
W2-178,262.0
W2-179,678.0
W2-180,170.0
W2-181,228.0
W2-182,42.0
W2-183,241.0
W2-184,218.0
W2-185,296.0
W2-186,100.0
W2-187,156.0
W2-188,179.0
W2-189,319.0
W2-190,94.0
W2-191,76.0
W2-192,487.0
W2-193,160.0
W2-194,196.0
W2-195,197.0
W2-196,193.0
W2-197,101.0
W2-198,191.0
W2-199,231.0
W2-200,276.0
W2-301,134.0
W2-302,257.0
W2-303,375.0
W2-304,305.0
W2-305,398.0
W2-306,327.0
W2-307,259.0
W2-308,304.0
W2-309,282.0
W2-310,325.0
W2-311,339.0
W2-312,279.0
W2-313,313.0
W2-314,204.0
W2-315,352.0
W2-316,368.0
W2-317,198.0
W2-318,251.0
W2-319,329.0
W2-320,289.0
W2-321,332.0
W2-322,158.0
W2-323,397.0
W2-324,437.0
W2-325,430.0
W2-326,470.0
W2-327,300.0
W2-328,99.0
W3-001,266.0
W3-002,231.0
W3-003,49.0
W3-004,214.0
W3-005,314.0
W3-006,233.0
W3-007,166.0
W3-008,250.0
W3-009,192.0
W3-010,543.0
W3-011,402.0
W3-012,262.0
W3-013,288.0
W3-014,4.0
W3-015,216.0
W3-016,133.0
W3-017,303.0
W3-018,448.0
W3-019,161.0
W3-020,306.0
W3-021,515.0
W3-022,140.0
W3-023,92.0
W3-024,211.0
W3-025,94.0
W3-026,150.0
W3-027,279.0
W3-028,627.0
W3-029,482.0
W3-030,314.0
W3-031,386.0
W3-032,203.0
W3-033,243.0
W3-034,370.0
W3-035,330.0
W3-036,0.0
W3-037,76.0
W3-038,107.0
W3-039,84.0
W3-040,151.0
W3-041,187.0
W3-042,303.0
W3-043,228.0
W3-044,109.0
W3-045,497.0
W3-046,178.0
W3-047,203.0
W3-048,350.0
W3-049,226.0
W3-050,135.0
W3-051,205.0
W3-052,209.0
W3-053,318.0
W3-054,195.0
W3-055,380.0
W3-056,233.0
W3-057,101.0
W3-058,422.0
W3-059,355.0
W3-060,206.0
W3-061,583.0
W3-062,249.0
W3-063,198.0
W3-064,178.0
W3-065,240.0
W3-066,196.0
W3-067,511.0
W3-068,350.0
W3-069,470.0
W3-070,150.0
W3-071,187.0
W3-072,337.0
W3-073,360.0
W3-074,629.0
W3-075,345.0
W3-076,567.0
W3-077,500.0
W3-078,499.0
W3-079,364.0
W3-080,622.0
W3-081,615.0
W3-082,62.0
W3-083,130.0
W3-084,145.0
W3-085,372.0
W3-086,508.0
W3-087,178.0
W3-088,79.0
W3-089,214.0
W3-090,120.0
W3-091,123.0
W3-092,124.0
W3-093,54.0
W3-094,112.0
W3-095,119.0
W3-096,128.0
W3-097,501.0
W3-098,294.0
W3-099,337.0
W3-100,256.0
W3-101,113.0
W3-102,148.0
W3-103,172.0
W3-104,204.0
W3-105,276.0
W3-106,153.0
W3-107,113.0
W3-108,97.0
W3-109,213.0
W3-110,342.0
W3-111,518.0
W3-112,339.0
W3-113,345.0
W3-114,488.0
W3-115,261.0
W3-116,331.0
W3-117,447.0
W3-118,320.0
W3-119,366.0
W3-120,290.0
W3-121,225.0
W3-122,342.0
W3-123,197.0
W3-124,261.0
W3-125,166.0
W3-126,175.0
W3-127,386.0
W3-128,232.0
W3-129,410.0
W3-130,244.0
W3-131,159.0
W3-132,152.0
W3-133,199.0
W3-134,288.0
W3-135,212.0
W3-136,155.0
W3-137,83.0
W3-138,190.0
W3-139,205.0
W3-140,414.0
W3-141,267.0
W3-142,660.0
W3-143,281.0
W3-144,278.0
W3-145,629.0
W3-146,337.0
W3-147,398.0
W3-148,357.0
W3-149,207.0
W3-150,323.0
W3-151,184.0
W3-152,242.0
W3-153,282.0
