,plant_0818_1200_W2W3_plantArea
W2-001,1099.0
W2-002,1086.0
W2-003,1027.0
W2-004,1607.0
W2-005,26.0
W2-006,555.0
W2-007,1545.0
W2-008,686.0
W2-009,1557.0
W2-010,926.0
W2-011,2037.0
W2-012,1173.0
W2-013,1825.0
W2-014,2050.0
W2-015,1862.0
W2-016,924.0
W2-017,1220.0
W2-018,1660.0
W2-019,1077.0
W2-020,536.0
W2-021,935.0
W2-022,2573.0
W2-023,2164.0
W2-024,1976.0
W2-025,1893.0
W2-026,1088.0
W2-027,2291.0
W2-028,891.0
W2-029,2093.0
W2-030,2397.0
W2-031,1861.0
W2-032,2327.0
W2-033,940.0
W2-034,2054.0
W2-035,1623.0
W2-036,883.0
W2-037,1211.0
W2-038,30.0
W2-039,1673.0
W2-040,1105.0
W2-041,658.0
W2-042,1004.0
W2-043,1657.0
W2-044,916.0
W2-045,1208.0
W2-046,2538.0
W2-047,1000.0
W2-048,1578.0
W2-049,1352.0
W2-050,1992.0
W2-051,203.0
W2-052,1214.0
W2-053,344.0
W2-054,2009.0
W2-055,1042.0
W2-056,909.0
W2-057,428.0
W2-058,2141.0
W2-059,1823.0
W2-060,1639.0
W2-061,2711.0
W2-062,2838.0
W2-063,2242.0
W2-064,2754.0
W2-065,1516.0
W2-066,1731.0
W2-067,1923.0
W2-068,1913.0
W2-069,914.0
W2-070,2012.0
W2-071,1979.0
W2-072,1377.0
W2-073,1224.0
W2-074,1451.0
W2-075,1933.0
W2-076,2934.0
W2-077,1781.0
W2-078,2949.0
W2-079,2288.0
W2-080,1587.0
W2-081,609.0
W2-082,1246.0
W2-083,1892.0
W2-084,643.0
W2-085,1425.0
W2-086,386.0
W2-087,901.0
W2-088,329.0
W2-089,388.0
W2-090,473.0
W2-091,750.0
W2-092,1266.0
W2-093,664.0
W2-094,1785.0
W2-095,1959.0
W2-096,477.0
W2-097,1592.0
W2-098,2080.0
W2-099,0.0
W2-100,1778.0
W2-101,1375.0
W2-102,2004.0
W2-103,1509.0
W2-104,1995.0
W2-105,1455.0
W2-106,2265.0
W2-107,2660.0
W2-108,2212.0
