,plant_0831_1310_W2W3_plantArea
W2-001,2643.0
W2-002,3990.0
W2-003,3800.0
W2-004,4317.0
W2-005,166.0
W2-006,2723.0
W2-007,5152.0
W2-008,3347.0
W2-009,4521.0
W2-010,4384.0
W2-011,5624.0
W2-012,4125.0
W2-013,5317.0
W2-014,5946.0
W2-015,5388.0
W2-016,2505.0
W2-017,3680.0
W2-018,3156.0
W2-019,4081.0
W2-020,2776.0
W2-021,3832.0
W2-022,6380.0
W2-023,6279.0
W2-024,6206.0
W2-025,5812.0
W2-026,3538.0
W2-027,4483.0
W2-028,2750.0
W2-029,6041.0
W2-030,6698.0
W2-031,6191.0
W2-032,6801.0
W2-033,2569.0
W2-034,5754.0
W2-035,5096.0
W2-036,3732.0
W2-037,3091.0
W2-038,271.0
W2-039,5573.0
W2-040,1691.0
W2-041,2605.0
W2-042,4035.0
W2-043,5497.0
W2-044,4465.0
W2-045,4106.0
W2-046,7214.0
W2-047,4587.0
W2-048,5145.0
W2-049,3141.0
W2-050,5226.0
W2-051,2092.0
W2-052,4890.0
W2-053,1544.0
W2-054,5337.0
W2-055,3977.0
W2-056,3030.0
W2-057,1223.0
W2-058,5983.0
W2-059,5138.0
W2-060,5400.0
W2-061,6906.0
W2-062,8095.0
W2-063,7087.0
W2-064,7604.0
W2-065,3921.0
W2-066,6075.0
W2-067,3719.0
W2-068,5835.0
W2-069,3487.0
W2-070,4864.0
W2-071,5426.0
W2-072,5033.0
W2-073,4845.0
W2-074,4799.0
W2-075,5095.0
W2-076,7208.0
W2-077,4495.0
W2-078,7859.0
W2-079,6970.0
W2-080,4312.0
W2-081,2169.0
W2-082,2736.0
W2-083,5573.0
W2-084,2947.0
W2-085,3998.0
W2-086,1609.0
W2-087,3492.0
W2-088,1640.0
W2-089,1453.0
W2-090,1875.0
W2-091,3647.0
W2-092,4344.0
W2-093,3441.0
W2-094,6139.0
W2-095,5364.0
W2-096,3091.0
W2-097,2991.0
W2-098,5943.0
W2-099,133.0
W2-100,5435.0
W2-101,5097.0
W2-102,5645.0
W2-103,4725.0
W2-104,4979.0
W2-105,2080.0
W2-106,6399.0
W2-107,6994.0
W2-108,6702.0
W2-109,6513.0
W2-110,5278.0
W2-111,6300.0
W2-112,6954.0
W2-113,5948.0
W2-114,4805.0
W2-115,6710.0
W2-116,3713.0
W2-117,4684.0
W2-118,5525.0
W2-119,4300.0
W2-120,4645.0
W2-121,6241.0
W2-122,3442.0
W2-123,4069.0
W2-124,4923.0
W2-125,4517.0
W2-126,5179.0
W2-127,5322.0
W2-128,1895.0
W2-129,4354.0
W2-130,4374.0
W2-131,5540.0
W2-132,4145.0
W2-133,4693.0
W2-134,5846.0
W2-135,4383.0
W2-136,4095.0
W2-137,5804.0
W2-138,4794.0
W2-139,2504.0
W2-140,5921.0
W2-141,3898.0
W2-142,4145.0
W2-143,3177.0
W2-144,2236.0
W2-145,2935.0
W2-146,6620.0
W2-147,6670.0
W2-148,4503.0
W2-149,30.0
W2-150,4304.0
W2-151,4553.0
W2-152,2779.0
W2-153,3811.0
W2-154,7285.0
W2-155,4420.0
W2-156,7955.0
W2-157,4700.0
W2-158,2568.0
W2-159,4757.0
W2-160,3569.0
W2-161,3455.0
W2-162,5623.0
W2-163,5474.0
W2-164,5696.0
W2-165,3524.0
W2-166,3924.0
W2-167,5535.0
W2-168,3858.0
W2-169,3537.0
W2-170,5039.0
W2-171,5730.0
W2-172,2856.0
W2-173,4498.0
W2-174,4161.0
W2-175,2799.0
W2-176,6432.0
W2-177,4891.0
W2-178,4977.0
W2-179,7020.0
W2-180,3613.0
W2-181,4354.0
W2-182,1587.0
W2-183,5574.0
W2-184,4666.0
W2-185,2922.0
W2-186,3142.0
W2-187,3626.0
W2-188,5767.0
W2-189,5756.0
W2-190,4761.0
W2-191,4453.0
W2-192,6233.0
W2-193,5093.0
W2-194,4338.0
W2-195,2885.0
W2-196,4950.0
W2-197,2978.0
W2-198,4985.0
W2-199,4407.0
W2-200,6017.0
W2-301,3867.0
W2-302,2346.0
W2-303,3271.0
W2-304,5144.0
W2-305,3728.0
W2-306,2609.0
W2-307,2838.0
W2-308,3304.0
W2-309,4258.0
W2-310,2504.0
W2-311,3025.0
W2-312,5872.0
W2-313,4240.0
W2-314,1164.0
W2-315,5607.0
W2-316,3365.0
W2-317,3056.0
W2-318,2834.0
W2-319,5096.0
W2-320,4621.0
W2-321,4659.0
W2-322,2734.0
W2-323,2515.0
W2-324,3285.0
W2-325,3661.0
W2-326,4286.0
W2-327,2986.0
W2-328,1297.0
W3-001,4331.0
W3-002,3318.0
W3-003,1426.0
W3-004,2662.0
W3-005,3592.0
W3-006,3729.0
W3-007,2509.0
W3-008,4135.0
W3-009,3095.0
W3-010,7381.0
W3-011,4951.0
W3-012,5082.0
W3-013,4982.0
W3-014,99.0
W3-015,3478.0
W3-016,2217.0
W3-017,4196.0
W3-018,5693.0
W3-019,3892.0
W3-020,2629.0
W3-021,3920.0
W3-022,4009.0
W3-023,4043.0
W3-024,5128.0
W3-025,3857.0
W3-026,3858.0
W3-027,3964.0
W3-028,5325.0
W3-029,4909.0
W3-030,5246.0
W3-031,4218.0
W3-032,3559.0
W3-033,3593.0
W3-034,4505.0
W3-035,4163.0
W3-036,174.0
W3-037,3134.0
W3-038,3546.0
W3-039,1643.0
W3-040,3671.0
W3-041,5289.0
W3-042,4321.0
W3-043,3927.0
W3-044,2406.0
W3-045,5434.0
W3-046,2799.0
W3-047,5389.0
W3-048,5566.0
W3-049,5298.0
W3-050,2832.0
W3-051,3649.0
W3-052,2771.0
W3-053,4345.0
W3-054,2872.0
W3-055,5117.0
W3-056,1504.0
W3-057,1957.0
W3-058,4465.0
W3-059,5660.0
W3-060,3260.0
W3-061,6541.0
W3-062,6418.0
W3-063,3129.0
W3-064,4686.0
W3-065,4298.0
