,plant_0816_1210_W2W3_plantArea
W2-001,862.0
W2-002,1359.0
W2-003,903.0
W2-004,1399.0
W2-005,24.0
W2-006,876.0
W2-007,1564.0
W2-008,1067.0
W2-009,1348.0
W2-010,1014.0
W2-011,1761.0
W2-012,1581.0
W2-013,1661.0
W2-014,1778.0
W2-015,1689.0
W2-016,947.0
W2-017,983.0
W2-018,1422.0
W2-019,947.0
W2-020,682.0
W2-021,847.0
W2-022,2075.0
W2-023,1888.0
W2-024,1629.0
W2-025,1828.0
W2-026,946.0
W2-027,1860.0
W2-028,701.0
W2-029,1780.0
W2-030,1979.0
W2-031,1614.0
W2-032,1794.0
W2-033,817.0
W2-034,1666.0
W2-035,1637.0
W2-036,1224.0
W2-037,1283.0
W2-038,12.0
W2-039,1574.0
W2-040,1009.0
W2-041,585.0
W2-042,677.0
W2-043,1395.0
W2-044,988.0
W2-045,1223.0
W2-046,2159.0
W2-047,1050.0
W2-048,1410.0
W2-049,1179.0
W2-050,1833.0
W2-051,456.0
W2-052,1208.0
W2-053,441.0
W2-054,1910.0
W2-055,1495.0
W2-056,1043.0
W2-057,415.0
W2-058,1976.0
W2-059,1427.0
W2-060,1427.0
W2-061,2122.0
W2-062,2298.0
W2-063,2005.0
W2-064,1961.0
W2-065,1222.0
W2-066,1365.0
W2-067,1490.0
W2-068,1568.0
W2-069,710.0
W2-070,1544.0
W2-071,1590.0
W2-072,1483.0
W2-073,1037.0
W2-074,1433.0
W2-075,1657.0
W2-076,2406.0
W2-077,1370.0
W2-078,2431.0
W2-079,1987.0
W2-080,1315.0
W2-081,499.0
W2-082,966.0
W2-083,1553.0
W2-084,900.0
W2-085,1224.0
W2-086,437.0
W2-087,978.0
W2-088,535.0
W2-089,484.0
W2-090,548.0
W2-091,974.0
W2-092,1313.0
W2-093,615.0
W2-094,1503.0
W2-095,1564.0
W2-096,556.0
W2-097,1405.0
W2-098,1606.0
W2-099,1.0
W2-100,1487.0
W2-101,1749.0
W2-102,1899.0
W2-103,1481.0
W2-104,1809.0
W2-105,1596.0
W2-106,2038.0
W2-107,2350.0
W2-108,1862.0
W2-109,1839.0
W2-110,1583.0
W2-111,2700.0
W2-112,2668.0
W2-113,2004.0
W2-114,1524.0
W2-115,2405.0
W2-116,1770.0
W2-117,2008.0
W2-118,1715.0
W2-119,1197.0
W2-120,1673.0
W2-121,2303.0
W2-122,1244.0
W2-123,972.0
W2-124,1954.0
W2-125,1894.0
W2-126,2595.0
W2-127,2493.0
W2-128,1678.0
W2-129,2465.0
W2-130,2135.0
W2-131,2500.0
W2-132,1447.0
W2-133,1647.0
W2-134,2112.0
W2-135,1492.0
W2-136,1282.0
W2-137,1477.0
W2-138,1465.0
W2-139,700.0
W2-140,2325.0
W2-141,1373.0
W2-142,1461.0
W2-143,1113.0
W2-144,897.0
W2-145,1823.0
W2-146,2049.0
W2-147,1916.0
W2-148,1238.0
W2-149,0.0
W2-150,1900.0
W2-151,1450.0
W2-152,808.0
W2-153,1392.0
W2-154,2716.0
W2-155,1220.0
W2-156,2828.0
W2-157,1888.0
W2-158,697.0
W2-159,1795.0
W2-160,2201.0
W2-161,647.0
W2-162,1514.0
W2-163,1588.0
W2-164,2281.0
W2-165,710.0
W2-166,1030.0
W2-167,1431.0
W2-168,699.0
