,plant_0810_1135_W1W4_plantArea
W1-001,932.0
W1-002,523.0
W1-003,692.0
W1-004,1323.0
W1-005,1893.0
W1-006,596.0
W1-007,853.0
W1-008,1130.0
W1-009,948.0
W1-010,1112.0
W1-011,1294.0
W1-012,963.0
W1-013,946.0
W1-014,630.0
W1-015,435.0
W1-016,1574.0
W1-017,1288.0
W1-018,728.0
W1-019,614.0
W1-020,766.0
W1-021,492.0
W1-022,459.0
W1-023,1223.0
W1-024,1197.0
W1-025,915.0
W1-026,324.0
W1-027,1162.0
W1-028,498.0
W1-029,1620.0
W1-030,637.0
W1-031,847.0
W1-032,327.0
W1-033,584.0
W1-034,714.0
W1-035,248.0
W1-036,8.0
W1-037,673.0
W1-038,949.0
W1-039,487.0
W1-040,537.0
W1-041,327.0
W1-042,526.0
W1-043,192.0
W1-044,1255.0
W1-045,399.0
W1-046,1102.0
W1-047,276.0
W1-048,1544.0
W1-049,353.0
W1-050,1437.0
W1-051,620.0
W1-052,1569.0
W1-053,705.0
W1-054,335.0
W1-055,535.0
W1-056,421.0
W1-057,1339.0
W1-058,246.0
W1-059,718.0
W1-060,852.0
W1-061,1154.0
W1-062,251.0
W1-063,1253.0
W1-064,943.0
W1-065,1555.0
W1-066,1162.0
W1-067,844.0
W1-068,420.0
W1-069,448.0
W1-070,1215.0
W1-071,751.0
W1-072,236.0
W1-073,113.0
W1-074,868.0
W1-075,243.0
W1-076,769.0
W1-077,828.0
W1-078,384.0
W1-079,682.0
W1-080,1731.0
W1-081,644.0
W1-082,729.0
W1-083,609.0
W1-084,230.0
W1-085,26.0
W1-086,562.0
W1-087,610.0
W1-088,1030.0
W1-089,738.0
W1-090,399.0
W1-091,650.0
W1-092,1328.0
W1-093,1185.0
W1-094,267.0
W1-095,835.0
W1-096,973.0
W1-097,838.0
W1-098,844.0
W1-099,973.0
W1-100,914.0
W1-101,646.0
W1-102,745.0
W1-103,668.0
W1-104,730.0
W1-105,844.0
W1-106,972.0
W1-107,1121.0
W1-108,722.0
W1-109,472.0
W1-110,578.0
W1-111,588.0
W1-112,616.0
W1-113,410.0
W1-114,347.0
W1-115,21.0
W1-116,760.0
W1-117,258.0
W1-118,831.0
W1-119,390.0
