,plant_0904_1435_W2W3_plantArea
W2-001,2557.0
W2-002,4206.0
W2-003,4258.0
W2-004,4319.0
W2-005,332.0
W2-006,3653.0
W2-007,5141.0
W2-008,3916.0
W2-009,4817.0
W2-010,5363.0
W2-011,5633.0
W2-012,3952.0
W2-013,6521.0
W2-014,6931.0
W2-015,5625.0
W2-016,2805.0
W2-017,4497.0
W2-018,3371.0
W2-019,4835.0
W2-020,3347.0
W2-021,4951.0
W2-022,7290.0
W2-023,7099.0
W2-024,6890.0
W2-025,6066.0
W2-026,3669.0
W2-027,4314.0
W2-028,3419.0
W2-029,7105.0
W2-030,7985.0
W2-031,7392.0
W2-032,7693.0
W2-033,3181.0
W2-034,6603.0
W2-035,6645.0
W2-036,4514.0
W2-037,3130.0
W2-038,497.0
W2-039,6941.0
W2-040,1739.0
W2-041,3498.0
W2-042,5083.0
W2-043,7537.0
W2-044,6258.0
W2-045,4914.0
W2-046,8890.0
W2-047,6234.0
W2-048,6702.0
W2-049,3282.0
W2-050,6581.0
W2-051,2810.0
W2-052,6445.0
W2-053,2016.0
W2-054,6918.0
W2-055,4313.0
W2-056,3830.0
W2-057,1796.0
W2-058,6898.0
W2-059,6631.0
W2-060,7281.0
W2-061,8098.0
W2-062,10390.0
W2-063,8549.0
W2-064,9832.0
W2-065,4218.0
W2-066,7548.0
W2-067,4052.0
W2-068,7097.0
W2-069,4507.0
W2-070,5355.0
W2-071,6678.0
W2-072,6942.0
W2-073,6470.0
W2-074,5729.0
W2-075,6208.0
W2-076,7805.0
W2-077,5868.0
W2-078,9382.0
W2-079,8429.0
W2-080,4680.0
W2-081,2501.0
W2-082,3177.0
W2-083,7098.0
W2-084,3792.0
W2-085,4943.0
W2-086,2136.0
W2-087,4248.0
W2-088,2477.0
W2-089,2154.0
W2-090,2608.0
W2-091,4488.0
W2-092,5607.0
W2-093,4551.0
W2-094,7851.0
W2-095,6857.0
W2-096,4153.0
W2-097,3188.0
W2-098,7409.0
W2-099,229.0
W2-100,5756.0
W2-101,6213.0
W2-102,7013.0
W2-103,5949.0
W2-104,6138.0
W2-105,2549.0
W2-106,8084.0
W2-107,8461.0
W2-108,8900.0
W2-109,7792.0
W2-110,6661.0
W2-111,6654.0
W2-112,7607.0
W2-113,7085.0
W2-114,5211.0
W2-115,7412.0
W2-116,3650.0
W2-117,4757.0
W2-118,6167.0
W2-119,4815.0
W2-120,5188.0
W2-121,6794.0
W2-122,4064.0
W2-123,4657.0
W2-124,5487.0
W2-125,4274.0
W2-126,5844.0
W2-127,5535.0
W2-128,2148.0
W2-129,4262.0
W2-130,4785.0
W2-131,6222.0
W2-132,4579.0
W2-133,6246.0
W2-134,7014.0
W2-135,5059.0
W2-136,4818.0
W2-137,7365.0
W2-138,5875.0
W2-139,3166.0
W2-140,7331.0
W2-141,5294.0
W2-142,5244.0
W2-143,3563.0
W2-144,2813.0
W2-145,3179.0
W2-146,8726.0
W2-147,8812.0
W2-148,5938.0
W2-149,52.0
W2-150,5368.0
W2-151,5843.0
W2-152,3424.0
W2-153,4388.0
W2-154,8673.0
W2-155,6372.0
W2-156,9874.0
W2-157,5449.0
W2-158,3183.0
W2-159,5566.0
W2-160,3891.0
W2-161,4564.0
W2-162,6277.0
W2-163,7412.0
W2-164,5799.0
W2-165,4504.0
W2-166,4889.0
W2-167,6592.0
W2-168,4944.0
W2-169,4898.0
W2-170,6189.0
W2-171,7503.0
W2-172,3540.0
W2-173,6027.0
W2-174,6043.0
W2-175,3442.0
W2-176,7983.0
W2-177,6117.0
W2-178,6497.0
W2-179,8328.0
W2-180,5042.0
W2-181,5920.0
W2-182,2140.0
W2-183,7664.0
W2-184,6104.0
W2-185,3199.0
W2-186,4222.0
W2-187,4528.0
W2-188,7371.0
W2-189,7694.0
W2-190,6028.0
W2-191,6204.0
W2-192,8300.0
W2-193,7065.0
W2-194,5252.0
W2-195,3349.0
W2-196,6853.0
W2-197,3518.0
W2-198,6289.0
W2-199,5602.0
W2-200,7840.0
W2-301,4487.0
W2-302,2766.0
W2-303,3986.0
W2-304,3806.0
W2-305,4148.0
W2-306,3036.0
W2-307,3103.0
W2-308,3931.0
W2-309,2979.0
W2-310,3127.0
W2-311,3511.0
W2-312,6412.0
W2-313,5383.0
W2-314,1522.0
W2-315,6556.0
W2-316,4204.0
W2-317,3881.0
W2-318,3465.0
W2-319,5859.0
W2-320,5435.0
W2-321,3231.0
W2-322,3754.0
W2-323,3210.0
W2-324,4059.0
W2-325,4263.0
W2-326,4741.0
W2-327,4371.0
W2-328,2036.0
W3-001,5256.0
W3-002,4178.0
W3-003,1791.0
W3-004,3574.0
W3-005,4753.0
W3-006,4773.0
W3-007,3023.0
W3-008,5216.0
W3-009,3749.0
W3-010,8377.0
W3-011,5420.0
W3-012,5834.0
W3-013,5378.0
W3-014,230.0
W3-015,3713.0
W3-016,2337.0
W3-017,4702.0
W3-018,6167.0
W3-019,4175.0
W3-020,3252.0
W3-021,4396.0
W3-022,4562.0
W3-023,4754.0
W3-024,6011.0
W3-025,4374.0
W3-026,4404.0
W3-027,4463.0
W3-028,5776.0
W3-029,5414.0
W3-030,6221.0
W3-031,4620.0
W3-032,4298.0
W3-033,3944.0
W3-034,4959.0
W3-035,4998.0
W3-036,235.0
W3-037,3767.0
W3-038,4346.0
W3-039,2396.0
W3-040,4787.0
W3-041,6636.0
W3-042,5211.0
W3-043,4800.0
W3-044,3173.0
W3-045,6846.0
W3-046,3129.0
W3-047,6947.0
W3-048,7537.0
W3-049,6759.0
W3-050,3578.0
W3-051,4513.0
W3-052,3011.0
W3-053,5073.0
W3-054,3141.0
W3-055,5927.0
W3-056,1844.0
W3-057,2556.0
W3-058,5807.0
W3-059,6882.0
W3-060,4058.0
W3-061,7826.0
W3-062,7982.0
W3-063,4459.0
W3-064,5305.0
W3-065,5521.0
W3-066,7155.0
W3-067,11428.0
W3-068,9807.0
W3-069,3374.0
W3-070,4481.0
W3-071,4534.0
W3-072,8102.0
W3-073,6265.0
W3-074,9187.0
W3-075,8407.0
W3-076,5838.0
W3-077,9758.0
W3-078,9299.0
W3-079,5395.0
W3-080,7691.0
W3-081,6799.0
W3-082,4499.0
W3-083,4914.0
W3-084,4049.0
W3-085,7223.0
W3-086,7749.0
W3-087,5307.0
W3-088,4253.0
W3-089,5892.0
W3-090,3660.0
W3-091,4213.0
W3-092,3940.0
W3-093,741.0
W3-094,3402.0
W3-095,2062.0
W3-096,3141.0
W3-097,7225.0
W3-098,8453.0
W3-099,8722.0
W3-100,6270.0
W3-101,4117.0
W3-102,4486.0
W3-103,4078.0
W3-104,5077.0
W3-105,4141.0
W3-106,4101.0
W3-107,4200.0
W3-108,3646.0
W3-109,4932.0
W3-110,6728.0
W3-111,6914.0
W3-112,7024.0
W3-113,6778.0
W3-114,5839.0
W3-115,6076.0
W3-116,2647.0
W3-117,5397.0
W3-118,6568.0
W3-119,6786.0
W3-120,5362.0
W3-121,6197.0
W3-122,6848.0
W3-123,4979.0
W3-124,4595.0
W3-125,4155.0
W3-126,4826.0
W3-127,5783.0
W3-128,4743.0
W3-129,5877.0
W3-130,4739.0
W3-131,5253.0
W3-132,3956.0
W3-133,4890.0
W3-134,2645.0
W3-135,4953.0
W3-136,3741.0
W3-137,3666.0
W3-138,4454.0
W3-139,4994.0
W3-140,5002.0
W3-141,3280.0
W3-142,7407.0
W3-143,5296.0
W3-144,4671.0
W3-145,4541.0
W3-146,3936.0
W3-147,5660.0
W3-148,4594.0
W3-149,3241.0
W3-150,5026.0
W3-151,2770.0
W3-152,3819.0
W3-153,1649.0
W3-154,3107.0
W3-155,2928.0
W3-156,3465.0
W3-157,3640.0
W3-158,4978.0
W3-159,3940.0
W3-160,7423.0
W3-161,4054.0
W3-162,5755.0
W3-163,4062.0
W3-164,4374.0
W3-165,2998.0
W3-166,5288.0
W3-167,4767.0
W3-168,4605.0
W3-169,5306.0
W3-170,4761.0
W3-171,5272.0
W3-172,7016.0
W3-173,7032.0
W3-174,6704.0
W3-175,4561.0
W3-176,6612.0
W3-177,4790.0
W3-178,3950.0
W3-179,6636.0
W3-180,8385.0
W3-181,5224.0
W3-182,6470.0
W3-183,7936.0
W3-184,6950.0
W3-185,1593.0
W3-186,3178.0
W3-187,3150.0
W3-188,4985.0
W3-189,4899.0
W3-190,7198.0
W3-191,5701.0
W3-192,3167.0
W3-193,2099.0
W3-194,6988.0
W3-195,5373.0
W3-196,6124.0
W3-197,7576.0
W3-198,5856.0
W3-199,5025.0
W3-200,2612.0
W3-301,5996.0
W3-302,3723.0
W3-303,3400.0
W3-304,3017.0
W3-305,4489.0
W3-306,3260.0
W3-307,3382.0
W3-308,2852.0
W3-309,5352.0
W3-310,6391.0
W3-311,1501.0
W3-312,4880.0
W3-313,3273.0
W3-314,5117.0
W3-315,3755.0
W3-316,2843.0
W3-317,4004.0
W3-318,2999.0
W3-319,2740.0
W3-320,2800.0
W3-321,4001.0
W3-322,3849.0
W3-323,3894.0
W3-324,3618.0
W3-325,4329.0
W3-326,3417.0
W3-327,2754.0
W3-328,5810.0
