,plant_0904_1445_W1W4_plantArea
W4-093,1372.0
W4-094,1406.0
W4-095,408.0
W4-096,879.0
W4-097,1882.0
W4-098,2414.0
W4-099,794.0
W4-100,2708.0
W4-101,3497.0
W4-102,2477.0
W4-103,3033.0
W4-104,1945.0
W4-105,1969.0
W4-106,1691.0
W4-107,2293.0
W4-108,1596.0
W4-109,3201.0
W4-110,4535.0
W4-111,1734.0
W4-112,2726.0
W4-113,2416.0
W4-114,3291.0
W4-115,3001.0
W4-116,1331.0
W4-117,1951.0
W4-118,1802.0
W4-119,1921.0
W4-120,1586.0
W4-121,1983.0
W4-122,1301.0
W4-123,2754.0
W4-124,2658.0
W4-125,2348.0
W4-126,1373.0
W4-127,1678.0
W4-128,2940.0
W4-129,2155.0
W4-130,1308.0
W4-131,1148.0
W4-132,1832.0
W4-133,2023.0
W4-134,1588.0
W4-135,1359.0
W4-136,4082.0
W4-137,1335.0
W4-138,685.0
W4-139,1996.0
W4-140,1253.0
W4-141,1633.0
W4-142,1610.0
W4-143,4493.0
W4-144,1808.0
W4-145,3625.0
W4-146,1277.0
W4-147,2908.0
W4-148,1446.0
W4-149,1240.0
W4-150,902.0
W4-151,1270.0
W4-152,2491.0
W4-153,2666.0
W4-154,549.0
W4-155,741.0
W4-156,793.0
W4-157,1366.0
W4-158,1626.0
W4-159,1224.0
W4-160,2128.0
W4-161,2000.0
W4-162,1670.0
W4-163,1358.0
W4-164,1289.0
W4-165,1704.0
W4-166,1856.0
W4-167,636.0
W4-168,542.0
W4-169,1304.0
W4-170,1963.0
W4-171,956.0
W4-172,1577.0
W4-173,848.0
W4-174,787.0
W4-175,709.0
W4-176,743.0
W4-177,1566.0
W4-178,1085.0
W4-179,893.0
W4-180,971.0
W4-181,459.0
W4-182,871.0
W4-183,765.0
W4-184,59.0
W4-185,796.0
W4-186,1132.0
W4-187,1376.0
W4-188,1924.0
W4-189,1690.0
W4-190,1320.0
W4-191,836.0
W4-192,2331.0
W4-193,2655.0
W4-194,2119.0
W4-195,2228.0
W4-196,2361.0
W4-197,2879.0
W4-198,2033.0
W4-199,1547.0
W4-200,1853.0
W4-301,2087.0
W4-302,1692.0
W4-303,2318.0
W4-304,621.0
W4-305,1075.0
W4-306,1149.0
W4-307,1674.0
W4-308,2282.0
W4-309,971.0
W4-310,536.0
W4-311,1099.0
W4-312,582.0
W4-313,1295.0
W4-314,2477.0
W4-315,1969.0
W4-316,2082.0
W4-317,2588.0
W4-318,2863.0
W4-319,1474.0
W4-320,1448.0
W4-321,2682.0
W4-322,1771.0
W4-323,929.0
W4-324,1691.0
W4-325,2680.0
W4-326,1131.0
W4-327,1416.0
W4-328,953.0
