,plant_0829_1215_W1W4_plantArea
W1-001,6691.0
W1-002,964.0
W1-003,4316.0
W1-004,6503.0
W1-005,7604.0
W1-006,5776.0
W1-007,5226.0
W1-008,6712.0
W1-009,4390.0
W1-010,4113.0
W1-011,5403.0
W1-012,5258.0
W1-013,4939.0
W1-014,3966.0
W1-015,2551.0
W1-016,7582.0
W1-017,5174.0
W1-018,4619.0
W1-019,3059.0
W1-020,4097.0
W1-021,3964.0
W1-022,3963.0
W1-023,7293.0
W1-024,7633.0
W1-025,5286.0
W1-026,2744.0
W1-027,6578.0
W1-028,4515.0
W1-029,6474.0
W1-030,4573.0
W1-031,5742.0
W1-032,5249.0
W1-033,5400.0
W1-034,4650.0
W1-035,1301.0
W1-036,563.0
W1-037,3036.0
W1-038,4819.0
W1-039,4863.0
W1-040,2879.0
W1-041,3655.0
W1-042,5529.0
W1-043,1932.0
W1-044,8271.0
W1-045,5323.0
W1-046,7528.0
W1-047,3044.0
W1-048,6660.0
W1-049,2328.0
W1-050,5859.0
W1-051,4503.0
W1-052,7329.0
W1-053,4725.0
W1-054,2749.0
W1-055,3561.0
W1-056,4192.0
W1-057,6172.0
W1-058,2409.0
W1-059,7132.0
W1-060,5947.0
W1-061,2751.0
W1-062,3947.0
W1-063,7031.0
W1-064,4809.0
W1-065,7100.0
W1-066,4947.0
W1-067,4688.0
W1-068,3634.0
W1-069,2710.0
W1-070,6815.0
W1-071,5575.0
W1-072,1215.0
W1-073,1311.0
W1-074,3772.0
W1-075,2551.0
W1-076,3714.0
W1-077,2420.0
W1-078,2309.0
W1-079,4116.0
W1-080,7894.0
W1-081,4536.0
W1-082,6159.0
W1-083,3568.0
W1-084,1552.0
W1-085,158.0
W1-086,3830.0
W1-087,5761.0
W1-088,6325.0
W1-089,4481.0
W1-090,2566.0
W1-091,1683.0
W1-092,6774.0
W1-093,7832.0
W1-094,3257.0
W1-095,5650.0
W1-096,5198.0
W1-097,5486.0
W1-098,3613.0
W1-099,5792.0
W1-100,4238.0
W1-101,6910.0
W1-102,7282.0
W1-103,7280.0
W1-104,6136.0
W1-105,5621.0
W1-106,6043.0
W1-107,6161.0
W1-108,6966.0
W1-109,5416.0
W1-110,6372.0
W1-111,6736.0
W1-112,5074.0
W1-113,4701.0
W1-114,4206.0
W1-115,1549.0
W1-116,7010.0
W1-117,2335.0
W1-118,5498.0
W1-119,5831.0
W1-120,4381.0
W1-121,6355.0
W1-122,3143.0
W1-123,5993.0
W1-124,3937.0
W1-125,4493.0
W1-126,3669.0
W1-127,5156.0
W1-128,5312.0
W1-129,1173.0
W1-130,4753.0
W1-131,6206.0
W1-132,5397.0
W1-133,4020.0
W1-134,2124.0
W1-135,4750.0
W1-136,5018.0
W1-137,4345.0
W1-138,5482.0
W1-139,6152.0
W1-140,8161.0
W1-141,7178.0
W1-142,2179.0
W1-143,2930.0
W1-144,4437.0
W1-145,3144.0
W1-146,3660.0
W1-147,2366.0
W1-148,3096.0
W1-149,3685.0
W1-150,5929.0
W1-151,5738.0
W1-152,4944.0
W1-153,2425.0
W1-154,2156.0
W1-155,6964.0
W1-156,8784.0
W1-157,7225.0
W1-158,8659.0
W1-159,9419.0
W1-160,5857.0
W1-161,9792.0
W1-162,9113.0
W1-163,10563.0
W1-164,7164.0
W1-165,9990.0
W1-166,10315.0
W1-167,11093.0
W1-168,10495.0
W1-169,9577.0
W1-170,9924.0
W1-171,6875.0
W1-172,5522.0
W1-173,5724.0
W1-174,5867.0
W1-175,6344.0
W1-176,9693.0
W1-177,6086.0
W1-178,8121.0
W1-179,9481.0
W1-180,8200.0
W1-181,5435.0
W1-182,1899.0
W1-183,3445.0
W1-184,3496.0
W1-185,8338.0
W1-186,9969.0
W1-187,6872.0
W1-188,3456.0
W1-189,8333.0
W1-190,7649.0
W1-191,6722.0
W1-192,3477.0
W1-193,3940.0
W1-194,4953.0
W1-195,5166.0
W1-196,3894.0
W1-197,3264.0
W1-198,3156.0
W1-199,4587.0
W1-200,5185.0
W1-301,1887.0
W1-302,2515.0
W1-303,3684.0
W1-304,4171.0
W1-305,7035.0
W1-306,4262.0
W1-307,5069.0
W1-308,4082.0
W1-309,3509.0
W1-310,6369.0
W1-311,4527.0
W1-312,6931.0
W1-313,5835.0
W1-314,6213.0
W1-315,8867.0
W1-316,7749.0
W1-317,6566.0
W1-318,6827.0
W1-319,8060.0
W1-320,5321.0
W1-321,2885.0
W1-322,6805.0
W1-323,6110.0
W1-324,6799.0
W1-325,6285.0
W1-326,5833.0
W1-327,2031.0
W1-328,6343.0
W4-001,2251.0
W4-002,1434.0
W4-003,3370.0
W4-004,419.0
W4-005,3556.0
W4-006,4180.0
W4-007,3169.0
W4-008,2650.0
W4-009,3958.0
W4-010,3633.0
W4-011,1209.0
W4-012,1888.0
W4-013,1479.0
W4-014,2212.0
W4-015,3218.0
W4-016,3787.0
W4-017,2686.0
W4-018,1560.0
W4-019,1447.0
W4-020,1022.0
W4-021,3616.0
W4-022,2337.0
W4-023,1577.0
W4-024,2495.0
W4-025,3150.0
W4-026,3116.0
W4-027,3922.0
W4-028,3826.0
W4-029,1984.0
W4-030,2648.0
W4-031,4738.0
W4-032,1271.0
W4-033,3121.0
W4-034,5210.0
W4-035,3621.0
W4-036,3959.0
W4-037,4003.0
W4-038,3279.0
