,plant_0802_1320_W1W4_plantArea
W1-001,268.0
W1-002,188.0
W1-003,170.0
W1-004,291.0
W1-005,513.0
W1-006,164.0
W1-007,269.0
W1-008,258.0
W1-009,292.0
W1-010,424.0
W1-011,323.0
W1-012,317.0
W1-013,295.0
W1-014,188.0
W1-015,132.0
W1-016,420.0
W1-017,322.0
W1-018,300.0
W1-019,287.0
W1-020,360.0
W1-021,301.0
W1-022,225.0
W1-023,299.0
W1-024,300.0
W1-025,302.0
W1-026,112.0
W1-027,391.0
W1-028,191.0
W1-029,459.0
W1-030,192.0
W1-031,210.0
W1-032,152.0
W1-033,133.0
W1-034,156.0
W1-035,78.0
W1-036,8.0
W1-037,300.0
W1-038,130.0
W1-039,194.0
W1-040,228.0
W1-041,151.0
W1-042,156.0
W1-043,102.0
W1-044,370.0
W1-045,97.0
W1-046,400.0
W1-047,66.0
W1-048,502.0
W1-049,131.0
W1-050,272.0
W1-051,138.0
W1-052,555.0
W1-053,149.0
W1-054,100.0
W1-055,216.0
W1-056,101.0
W1-057,361.0
W1-058,55.0
W1-059,176.0
W1-060,238.0
W1-061,413.0
W1-062,108.0
W1-063,445.0
W1-064,251.0
W1-065,480.0
W1-066,315.0
W1-067,236.0
W1-068,202.0
W1-069,126.0
W1-070,249.0
W1-071,254.0
W1-072,78.0
W1-073,39.0
W1-074,370.0
W1-075,70.0
W1-076,298.0
W1-077,384.0
W1-078,151.0
W1-079,232.0
W1-080,573.0
W1-081,162.0
W1-082,337.0
W1-083,219.0
W1-084,59.0
W1-085,0.0
W1-086,151.0
W1-087,178.0
W1-088,289.0
W1-089,267.0
W1-090,144.0
W1-091,167.0
W1-092,383.0
W1-093,317.0
W1-094,137.0
W1-095,329.0
W1-096,271.0
W1-097,262.0
W1-098,248.0
W1-099,273.0
W1-100,217.0
W1-101,133.0
W1-102,155.0
W1-103,171.0
W1-104,236.0
W1-105,289.0
W1-106,342.0
W1-107,310.0
W1-108,171.0
W1-109,117.0
W1-110,187.0
W1-111,323.0
W1-112,177.0
W1-113,104.0
W1-114,79.0
W1-115,11.0
W1-116,112.0
W1-117,166.0
W1-118,330.0
W1-119,124.0
W1-120,218.0
W1-121,310.0
W1-122,159.0
W1-123,205.0
W1-124,92.0
W1-125,88.0
W1-126,96.0
W1-127,151.0
W1-128,323.0
W1-129,44.0
W1-130,102.0
W1-131,281.0
W1-132,96.0
W1-133,178.0
W1-134,83.0
W1-135,140.0
W1-136,172.0
W1-137,351.0
W1-138,233.0
W1-139,345.0
W1-140,499.0
W1-141,297.0
W1-142,238.0
W1-143,79.0
W1-144,116.0
W1-145,56.0
W1-146,93.0
W1-147,48.0
W1-148,86.0
W1-149,130.0
W1-150,248.0
W1-151,173.0
W1-152,101.0
W1-153,46.0
W1-154,278.0
W1-155,260.0
W1-156,410.0
W1-157,209.0
W1-158,217.0
W1-159,427.0
W1-160,446.0
W1-161,323.0
W1-162,316.0
W1-163,605.0
W1-164,152.0
W1-165,323.0
W1-166,469.0
W1-167,551.0
W1-168,517.0
W1-169,749.0
W1-170,408.0
W1-171,213.0
W1-172,340.0
W1-173,241.0
W1-174,179.0
W1-175,171.0
W1-176,393.0
W1-177,148.0
W1-178,332.0
W1-179,263.0
W1-180,141.0
W1-181,153.0
W1-182,64.0
W1-183,96.0
W1-184,135.0
W1-185,235.0
W1-186,528.0
W1-187,123.0
W1-188,80.0
W1-189,163.0
W1-190,235.0
W1-191,40.0
W1-192,45.0
W1-193,101.0
W1-194,129.0
W1-195,90.0
W1-196,139.0
W1-197,132.0
W1-198,187.0
W1-199,94.0
W1-200,184.0
W1-301,88.0
W1-302,295.0
W1-303,250.0
W1-304,303.0
W1-305,304.0
W1-306,299.0
W1-307,383.0
W1-308,373.0
W1-309,365.0
W1-310,490.0
W1-311,467.0
W1-312,541.0
W1-313,330.0
W1-314,382.0
W1-315,495.0
W1-316,504.0
W1-317,294.0
W1-318,289.0
W1-319,367.0
W1-320,391.0
W1-321,211.0
W1-322,207.0
W1-323,432.0
W1-324,288.0
W1-325,363.0
W1-326,492.0
W1-327,72.0
W1-328,251.0
W4-001,96.0
W4-002,104.0
W4-003,139.0
W4-004,14.0
W4-005,153.0
W4-006,194.0
W4-007,194.0
W4-008,219.0
W4-009,251.0
W4-010,102.0
W4-011,37.0
W4-012,69.0
W4-013,120.0
W4-014,91.0
W4-015,211.0
W4-016,148.0
W4-017,164.0
W4-018,100.0
W4-019,90.0
W4-020,54.0
W4-021,150.0
W4-022,101.0
W4-023,127.0
W4-024,166.0
W4-025,184.0
W4-026,97.0
W4-027,164.0
W4-028,182.0
W4-029,40.0
W4-030,134.0
W4-031,261.0
W4-032,51.0
W4-033,171.0
W4-034,185.0
W4-035,75.0
W4-036,129.0
W4-037,94.0
W4-038,161.0
