,plant_0817_1300_W2W3_plantArea
W2-001,967.0
W2-002,1246.0
W2-003,904.0
W2-004,1413.0
W2-005,24.0
W2-006,572.0
W2-007,1554.0
W2-008,617.0
W2-009,1411.0
W2-010,952.0
W2-011,1817.0
W2-012,1246.0
W2-013,1779.0
W2-014,1931.0
W2-015,1716.0
W2-016,845.0
W2-017,1170.0
W2-018,1563.0
W2-019,975.0
W2-020,598.0
W2-021,1031.0
W2-022,2397.0
W2-023,2088.0
W2-024,1775.0
W2-025,1870.0
W2-026,1055.0
W2-027,2261.0
W2-028,834.0
W2-029,2111.0
W2-030,2251.0
W2-031,2048.0
W2-032,2162.0
W2-033,892.0
W2-034,1998.0
W2-035,1464.0
W2-036,956.0
W2-037,1218.0
W2-038,22.0
W2-039,1660.0
W2-040,1131.0
W2-041,650.0
W2-042,968.0
W2-043,1552.0
W2-044,894.0
W2-045,1302.0
W2-046,2460.0
W2-047,984.0
W2-048,1630.0
W2-049,1323.0
W2-050,1847.0
W2-051,254.0
W2-052,1275.0
W2-053,386.0
W2-054,1926.0
W2-055,1062.0
W2-056,872.0
W2-057,401.0
W2-058,2054.0
W2-059,1568.0
W2-060,1601.0
W2-061,2566.0
W2-062,2474.0
W2-063,2198.0
W2-064,2619.0
W2-065,1420.0
W2-066,1482.0
W2-067,1634.0
W2-068,1849.0
W2-069,847.0
W2-070,1718.0
W2-071,1770.0
W2-072,1347.0
W2-073,1033.0
W2-074,1576.0
W2-075,1862.0
W2-076,2768.0
W2-077,1655.0
W2-078,2834.0
W2-079,2064.0
W2-080,1605.0
W2-081,556.0
W2-082,1163.0
W2-083,1739.0
W2-084,726.0
W2-085,1296.0
W2-086,415.0
W2-087,963.0
W2-088,310.0
W2-089,386.0
W2-090,456.0
W2-091,811.0
W2-092,1247.0
W2-093,666.0
W2-094,1730.0
W2-095,1804.0
W2-096,590.0
W2-097,1583.0
W2-098,1766.0
W2-099,0.0
W2-100,1691.0
W2-101,1569.0
W2-102,2045.0
W2-103,1577.0
W2-104,1926.0
W2-105,1447.0
W2-106,2069.0
