,plant_0727_1550_W1W4_plantArea
W1-001,276.0
W1-002,205.0
W1-003,229.0
W1-004,336.0
W1-005,400.0
W1-006,175.0
W1-007,270.0
W1-008,314.0
W1-009,289.0
W1-010,448.0
W1-011,352.0
W1-012,230.0
W1-013,337.0
W1-014,229.0
W1-015,130.0
W1-016,384.0
W1-017,300.0
W1-018,299.0
W1-019,385.0
W1-020,394.0
W1-021,350.0
W1-022,364.0
W1-023,387.0
W1-024,320.0
W1-025,400.0
W1-026,232.0
W1-027,501.0
W1-028,213.0
W1-029,273.0
W1-030,158.0
W1-031,210.0
W1-032,164.0
W1-033,119.0
W1-034,176.0
W1-035,102.0
W1-036,3.0
W1-037,164.0
W1-038,146.0
W1-039,234.0
W1-040,242.0
W1-041,139.0
W1-042,197.0
W1-043,75.0
W1-044,379.0
W1-045,168.0
W1-046,215.0
W1-047,81.0
W1-048,356.0
W1-049,137.0
W1-050,437.0
W1-051,147.0
W1-052,464.0
W1-053,207.0
W1-054,86.0
W1-055,282.0
W1-056,119.0
W1-057,409.0
W1-058,28.0
W1-059,307.0
W1-060,212.0
W1-061,387.0
W1-062,203.0
W1-063,426.0
W1-064,334.0
W1-065,437.0
W1-066,266.0
W1-067,283.0
W1-068,179.0
W1-069,112.0
W1-070,319.0
W1-071,231.0
W1-072,69.0
W1-073,25.0
W1-074,449.0
W1-075,100.0
W1-076,322.0
W1-077,305.0
W1-078,230.0
W1-079,319.0
W1-080,339.0
W1-081,170.0
W1-082,398.0
W1-083,267.0
W1-084,33.0
W1-085,3.0
W1-086,131.0
W1-087,125.0
W1-088,280.0
W1-089,184.0
W1-090,85.0
W1-091,302.0
W1-092,417.0
W1-093,312.0
W1-094,186.0
W1-095,302.0
W1-096,252.0
W1-097,393.0
W1-098,319.0
W1-099,340.0
W1-100,235.0
W1-101,203.0
W1-102,184.0
W1-103,215.0
W1-104,264.0
W1-105,291.0
W1-106,342.0
W1-107,358.0
W1-108,262.0
W1-109,206.0
W1-110,292.0
W1-111,459.0
W1-112,265.0
W1-113,123.0
W1-114,144.0
W1-115,0.0
W1-116,226.0
W1-117,358.0
W1-118,365.0
W1-119,76.0
W1-120,191.0
W1-121,397.0
W1-122,269.0
W1-123,406.0
W1-124,197.0
W1-125,101.0
W1-126,147.0
W1-127,204.0
W1-128,259.0
W1-129,21.0
W1-130,180.0
W1-131,329.0
W1-132,201.0
W1-133,294.0
W1-134,113.0
W1-135,177.0
W1-136,175.0
W1-137,347.0
W1-138,317.0
W1-139,260.0
W1-140,432.0
W1-141,271.0
W1-142,368.0
W1-143,103.0
W1-144,171.0
W1-145,89.0
W1-146,150.0
W1-147,79.0
W1-148,151.0
W1-149,190.0
W1-150,260.0
W1-151,321.0
W1-152,166.0
W1-153,79.0
W1-154,420.0
W1-155,275.0
W1-156,457.0
W1-157,258.0
W1-158,279.0
W1-159,483.0
W1-160,436.0
W1-161,260.0
W1-162,266.0
W1-163,491.0
W1-164,101.0
W1-165,270.0
W1-166,385.0
W1-167,346.0
W1-168,422.0
W1-169,455.0
W1-170,348.0
W1-171,227.0
W1-172,419.0
W1-173,322.0
W1-174,302.0
W1-175,328.0
W1-176,271.0
W1-177,238.0
W1-178,367.0
W1-179,349.0
W1-180,157.0
W1-181,119.0
W1-182,64.0
W1-183,213.0
W1-184,232.0
W1-185,200.0
W1-186,463.0
W1-187,114.0
W1-188,58.0
W1-189,247.0
W1-190,193.0
W1-191,73.0
W1-192,89.0
W1-193,133.0
W1-194,150.0
W1-195,151.0
W1-196,212.0
W1-197,204.0
W1-198,201.0
W1-199,152.0
W1-200,197.0
W1-301,135.0
W1-302,330.0
W1-303,327.0
W1-304,317.0
W1-305,301.0
W1-306,419.0
W1-307,328.0
W1-308,290.0
W1-309,283.0
W1-310,354.0
W1-311,355.0
W1-312,349.0
W1-313,269.0
W1-314,415.0
W1-315,339.0
W1-316,378.0
W1-317,262.0
W1-318,183.0
W1-319,307.0
W1-320,339.0
W1-321,175.0
W1-322,354.0
W1-323,325.0
W1-324,246.0
W1-325,328.0
W1-326,341.0
W1-327,171.0
W1-328,254.0
W4-001,128.0
W4-002,196.0
W4-003,216.0
W4-004,19.0
W4-005,298.0
W4-006,291.0
W4-007,292.0
W4-008,262.0
W4-009,269.0
W4-010,186.0
W4-011,52.0
W4-012,95.0
W4-013,192.0
W4-014,140.0
W4-015,247.0
W4-016,276.0
W4-017,243.0
W4-018,165.0
W4-019,159.0
W4-020,102.0
W4-021,210.0
W4-022,144.0
W4-023,347.0
W4-024,261.0
W4-025,188.0
W4-026,185.0
W4-027,166.0
W4-028,241.0
W4-029,86.0
W4-030,205.0
W4-031,310.0
W4-032,77.0
W4-033,287.0
W4-034,323.0
W4-035,107.0
W4-036,217.0
W4-037,117.0
W4-038,188.0
W4-039,190.0
W4-040,230.0
W4-041,132.0
W4-042,200.0
W4-043,126.0
W4-044,74.0
W4-045,310.0
W4-046,205.0
W4-047,318.0
W4-048,48.0
W4-049,117.0
W4-050,320.0
W4-051,191.0
W4-052,304.0
W4-053,387.0
W4-054,169.0
W4-055,264.0
W4-056,263.0
W4-057,270.0
W4-058,408.0
W4-059,351.0
W4-060,129.0
W4-061,373.0
W4-062,202.0
W4-063,239.0
W4-064,222.0
W4-065,464.0
W4-066,324.0
W4-067,414.0
W4-068,293.0
W4-069,259.0
W4-070,279.0
W4-071,110.0
W4-072,387.0
W4-073,313.0
W4-074,188.0
W4-075,189.0
