,plant_0903_1310_W2W3_plantArea
W2-001,2812.0
W2-002,4840.0
W2-003,4431.0
W2-004,4775.0
W2-005,251.0
W2-006,3360.0
W2-007,5483.0
W2-008,3865.0
W2-009,4967.0
W2-010,5146.0
W2-011,6092.0
W2-012,4174.0
W2-013,6445.0
W2-014,6942.0
W2-015,5924.0
W2-016,2708.0
W2-017,4308.0
W2-018,3472.0
W2-019,4604.0
W2-020,3259.0
W2-021,4804.0
W2-022,7193.0
W2-023,6835.0
W2-024,6847.0
W2-025,6229.0
W2-026,3924.0
W2-027,4485.0
W2-028,3272.0
W2-029,6758.0
W2-030,7733.0
W2-031,6902.0
W2-032,7192.0
W2-033,2852.0
W2-034,6718.0
W2-035,6046.0
W2-036,4492.0
W2-037,3117.0
W2-038,375.0
W2-039,6440.0
W2-040,1637.0
W2-041,3110.0
W2-042,4765.0
W2-043,6756.0
W2-044,5504.0
W2-045,4661.0
W2-046,8327.0
W2-047,5538.0
W2-048,6421.0
W2-049,3112.0
W2-050,5761.0
W2-051,2494.0
W2-052,5661.0
W2-053,1804.0
W2-054,5954.0
W2-055,4221.0
W2-056,3593.0
W2-057,1497.0
W2-058,6320.0
W2-059,5983.0
W2-060,5866.0
W2-061,7009.0
W2-062,9316.0
W2-063,7740.0
W2-064,8414.0
W2-065,3886.0
W2-066,6892.0
W2-067,3544.0
W2-068,6697.0
W2-069,4190.0
W2-070,5169.0
W2-071,6056.0
W2-072,5779.0
W2-073,5684.0
W2-074,5028.0
W2-075,5552.0
W2-076,7427.0
W2-077,5355.0
W2-078,8659.0
W2-079,7423.0
W2-080,4377.0
W2-081,2310.0
W2-082,2800.0
W2-083,6551.0
W2-084,3351.0
W2-085,4279.0
W2-086,1906.0
W2-087,4151.0
W2-088,2121.0
W2-089,1826.0
W2-090,2370.0
W2-091,4145.0
W2-092,5270.0
W2-093,4178.0
W2-094,7081.0
W2-095,6518.0
W2-096,3555.0
W2-097,3061.0
W2-098,6903.0
W2-099,183.0
W2-100,5650.0
W2-101,6517.0
W2-102,6502.0
W2-103,5700.0
W2-104,5931.0
W2-105,2262.0
W2-106,7553.0
W2-107,7964.0
W2-108,7720.0
W2-109,7857.0
W2-110,6317.0
W2-111,6849.0
W2-112,7046.0
W2-113,6788.0
W2-114,5227.0
W2-115,7468.0
W2-116,3563.0
W2-117,4922.0
W2-118,6237.0
W2-119,4746.0
W2-120,4923.0
W2-121,6631.0
W2-122,3959.0
W2-123,4366.0
W2-124,5693.0
W2-125,4467.0
W2-126,5917.0
W2-127,5543.0
W2-128,1958.0
W2-129,4375.0
W2-130,4450.0
W2-131,6241.0
W2-132,4340.0
W2-133,5408.0
W2-134,6510.0
W2-135,4762.0
W2-136,4517.0
W2-137,6652.0
W2-138,5280.0
W2-139,2939.0
W2-140,7281.0
W2-141,4643.0
W2-142,4681.0
W2-143,3329.0
W2-144,2722.0
W2-145,2892.0
W2-146,7832.0
W2-147,7723.0
W2-148,4950.0
W2-149,35.0
W2-150,4771.0
W2-151,5180.0
W2-152,3336.0
W2-153,4175.0
W2-154,7357.0
W2-155,5390.0
W2-156,8594.0
W2-157,4558.0
W2-158,2960.0
W2-159,4936.0
W2-160,3595.0
W2-161,3886.0
W2-162,5683.0
W2-163,5822.0
W2-164,5506.0
W2-165,3508.0
W2-166,4268.0
W2-167,5863.0
W2-168,4265.0
W2-169,4264.0
W2-170,5436.0
W2-171,6471.0
W2-172,3209.0
W2-173,5194.0
W2-174,4886.0
W2-175,2849.0
W2-176,6803.0
W2-177,5301.0
W2-178,5827.0
W2-179,7203.0
W2-180,4137.0
W2-181,4859.0
W2-182,1779.0
W2-183,6569.0
W2-184,5264.0
W2-185,2878.0
W2-186,3627.0
W2-187,4059.0
W2-188,6757.0
W2-189,6710.0
W2-190,5347.0
W2-191,5282.0
W2-192,7263.0
W2-193,6169.0
W2-194,4758.0
W2-195,3093.0
W2-196,5719.0
W2-197,2994.0
W2-198,5615.0
W2-199,4931.0
W2-200,7142.0
W2-301,4258.0
W2-302,2628.0
W2-303,3584.0
W2-304,3239.0
W2-305,3987.0
W2-306,2942.0
W2-307,3277.0
W2-308,3858.0
W2-309,4570.0
W2-310,2787.0
W2-311,3209.0
W2-312,5988.0
W2-313,4653.0
W2-314,1318.0
W2-315,6366.0
W2-316,4104.0
W2-317,3613.0
W2-318,3285.0
W2-319,5832.0
W2-320,5302.0
W2-321,5494.0
W2-322,3053.0
W2-323,2860.0
W2-324,3629.0
W2-325,3866.0
W2-326,4225.0
W2-327,3511.0
W2-328,1787.0
W3-001,4947.0
W3-002,3867.0
W3-003,1547.0
W3-004,3191.0
W3-005,4388.0
W3-006,4631.0
W3-007,2538.0
W3-008,4849.0
W3-009,3496.0
W3-010,7915.0
W3-011,5335.0
W3-012,5581.0
W3-013,5167.0
W3-014,164.0
W3-015,3450.0
W3-016,2150.0
W3-017,4756.0
W3-018,6349.0
W3-019,4088.0
W3-020,2611.0
W3-021,4021.0
W3-022,4500.0
W3-023,4669.0
W3-024,5865.0
W3-025,4375.0
W3-026,4212.0
W3-027,4212.0
W3-028,5822.0
W3-029,5431.0
W3-030,6046.0
W3-031,4474.0
W3-032,4222.0
W3-033,3897.0
W3-034,4650.0
W3-035,4789.0
W3-036,204.0
W3-037,3402.0
W3-038,4200.0
W3-039,1899.0
W3-040,4209.0
W3-041,5884.0
W3-042,4784.0
W3-043,4404.0
W3-044,2743.0
W3-045,6189.0
W3-046,2514.0
W3-047,6585.0
W3-048,6819.0
W3-049,6263.0
W3-050,3147.0
W3-051,4163.0
W3-052,2681.0
W3-053,4681.0
W3-054,2815.0
W3-055,5264.0
W3-056,1577.0
W3-057,2007.0
W3-058,4757.0
W3-059,6072.0
W3-060,3172.0
W3-061,6484.0
W3-062,6640.0
W3-063,3571.0
W3-064,4915.0
W3-065,4348.0
