,plant_0727_1530_W2W3_plantArea
W2-001,108.0
W2-002,317.0
W2-003,109.0
W2-004,287.0
W2-005,9.0
W2-006,112.0
W2-007,392.0
W2-008,172.0
W2-009,261.0
W2-010,127.0
W2-011,260.0
W2-012,233.0
W2-013,233.0
W2-014,279.0
W2-015,245.0
W2-016,248.0
W2-017,269.0
W2-018,334.0
W2-019,201.0
W2-020,161.0
W2-021,102.0
W2-022,324.0
W2-023,252.0
W2-024,185.0
W2-025,320.0
W2-026,83.0
W2-027,284.0
W2-028,121.0
W2-029,250.0
W2-030,327.0
W2-031,315.0
W2-032,289.0
W2-033,129.0
W2-034,252.0
W2-035,173.0
W2-036,215.0
W2-037,178.0
W2-038,0.0
W2-039,171.0
W2-040,212.0
W2-041,92.0
W2-042,113.0
W2-043,146.0
W2-044,93.0
W2-045,167.0
W2-046,318.0
W2-047,106.0
W2-048,194.0
W2-049,246.0
W2-050,181.0
W2-051,31.0
W2-052,192.0
W2-053,63.0
W2-054,398.0
W2-055,194.0
W2-056,277.0
W2-057,83.0
W2-058,316.0
W2-059,96.0
W2-060,153.0
W2-061,241.0
W2-062,240.0
W2-063,310.0
W2-064,231.0
W2-065,84.0
W2-066,44.0
W2-067,149.0
W2-068,239.0
W2-069,88.0
W2-070,101.0
W2-071,154.0
W2-072,70.0
W2-073,103.0
W2-074,241.0
W2-075,211.0
W2-076,308.0
W2-077,179.0
W2-078,321.0
W2-079,314.0
W2-080,254.0
W2-081,68.0
W2-082,180.0
W2-083,200.0
W2-084,124.0
W2-085,153.0
W2-086,73.0
W2-087,278.0
W2-088,142.0
W2-089,162.0
W2-090,123.0
W2-091,141.0
W2-092,143.0
W2-093,152.0
W2-094,196.0
W2-095,334.0
W2-096,42.0
W2-097,217.0
W2-098,124.0
W2-099,0.0
W2-100,190.0
W2-101,331.0
W2-102,306.0
W2-103,313.0
W2-104,209.0
W2-105,276.0
W2-106,170.0
W2-107,286.0
W2-108,274.0
W2-109,226.0
W2-110,191.0
W2-111,321.0
W2-112,396.0
W2-113,205.0
W2-114,49.0
W2-115,301.0
W2-116,114.0
W2-117,311.0
W2-118,121.0
W2-119,128.0
W2-120,164.0
W2-121,206.0
W2-122,52.0
W2-123,84.0
W2-124,240.0
W2-125,196.0
W2-126,372.0
W2-127,223.0
W2-128,432.0
W2-129,392.0
W2-130,311.0
W2-131,409.0
W2-132,125.0
W2-133,226.0
W2-134,257.0
W2-135,143.0
W2-136,146.0
W2-137,156.0
W2-138,149.0
W2-139,92.0
W2-140,297.0
W2-141,129.0
W2-142,168.0
W2-143,73.0
W2-144,54.0
W2-145,309.0
W2-146,178.0
W2-147,164.0
W2-148,105.0
W2-149,2.0
W2-150,227.0
W2-151,252.0
W2-152,168.0
W2-153,125.0
W2-154,319.0
W2-155,107.0
W2-156,371.0
W2-157,328.0
W2-158,77.0
W2-159,204.0
W2-160,384.0
W2-161,86.0
W2-162,175.0
W2-163,205.0
W2-164,270.0
W2-165,132.0
W2-166,135.0
W2-167,249.0
W2-168,141.0
W2-169,125.0
W2-170,311.0
W2-171,267.0
W2-172,101.0
W2-173,149.0
W2-174,83.0
W2-175,75.0
W2-176,382.0
W2-177,272.0
W2-178,197.0
W2-179,475.0
W2-180,154.0
W2-181,224.0
W2-182,47.0
W2-183,254.0
W2-184,179.0
W2-185,317.0
W2-186,52.0
W2-187,154.0
W2-188,137.0
W2-189,237.0
W2-190,80.0
W2-191,94.0
W2-192,387.0
W2-193,190.0
W2-194,161.0
W2-195,156.0
W2-196,201.0
W2-197,75.0
W2-198,167.0
W2-199,160.0
W2-200,259.0
W2-301,140.0
W2-302,203.0
W2-303,324.0
W2-304,284.0
W2-305,281.0
W2-306,286.0
W2-307,224.0
W2-308,238.0
W2-309,249.0
W2-310,257.0
W2-311,324.0
W2-312,261.0
W2-313,239.0
W2-314,138.0
W2-315,335.0
W2-316,285.0
W2-317,260.0
W2-318,220.0
W2-319,233.0
W2-320,264.0
W2-321,268.0
W2-322,336.0
W2-323,305.0
W2-324,333.0
W2-325,250.0
W2-326,313.0
W2-327,248.0
W2-328,207.0
W3-001,241.0
W3-002,186.0
W3-003,37.0
W3-004,209.0
W3-005,236.0
W3-006,154.0
W3-007,148.0
W3-008,199.0
W3-009,112.0
W3-010,314.0
W3-011,267.0
W3-012,245.0
W3-013,211.0
W3-014,0.0
W3-015,169.0
W3-016,124.0
W3-017,154.0
W3-018,303.0
W3-019,118.0
W3-020,305.0
W3-021,312.0
W3-022,149.0
W3-023,83.0
W3-024,132.0
W3-025,81.0
W3-026,147.0
W3-027,184.0
W3-028,324.0
W3-029,289.0
W3-030,232.0
W3-031,247.0
W3-032,85.0
W3-033,158.0
