,plant_0825_1310_W2W3_plantArea
W2-001,1816.0
W2-002,2231.0
W2-003,2019.0
W2-004,2601.0
W2-005,53.0
W2-006,1445.0
W2-007,3193.0
W2-008,1712.0
W2-009,2935.0
W2-010,2426.0
W2-011,3454.0
W2-012,2855.0
W2-013,3335.0
W2-014,3614.0
W2-015,3428.0
W2-016,1728.0
W2-017,2199.0
W2-018,2273.0
W2-019,2275.0
W2-020,1625.0
W2-021,2271.0
W2-022,4097.0
W2-023,3805.0
W2-024,3586.0
W2-025,3599.0
W2-026,2210.0
W2-027,3410.0
W2-028,1626.0
W2-029,3794.0
W2-030,4214.0
W2-031,3785.0
W2-032,4200.0
W2-033,1561.0
W2-034,3770.0
W2-035,3109.0
W2-036,2214.0
W2-037,2221.0
W2-038,104.0
W2-039,3443.0
W2-040,1357.0
W2-041,1482.0
W2-042,2110.0
W2-043,3262.0
W2-044,2369.0
W2-045,2512.0
W2-046,4482.0
W2-047,2509.0
W2-048,3071.0
W2-049,2293.0
W2-050,3550.0
W2-051,833.0
W2-052,2604.0
W2-053,817.0
W2-054,3265.0
W2-055,2333.0
W2-056,1625.0
W2-057,718.0
W2-058,3870.0
W2-059,3056.0
W2-060,3196.0
W2-061,4708.0
W2-062,5001.0
W2-063,4143.0
W2-064,4723.0
W2-065,2666.0
W2-066,3443.0
W2-067,2628.0
W2-068,3518.0
W2-069,2142.0
W2-070,3333.0
W2-071,3373.0
W2-072,2834.0
W2-073,2345.0
W2-074,3134.0
W2-075,3060.0
W2-076,4737.0
W2-077,2906.0
W2-078,4851.0
W2-079,4268.0
W2-080,2994.0
W2-081,1271.0
W2-082,1906.0
W2-083,3396.0
W2-084,1869.0
W2-085,2402.0
W2-086,909.0
W2-087,2049.0
W2-088,852.0
W2-089,822.0
W2-090,845.0
W2-091,2117.0
W2-092,2387.0
W2-093,1600.0
W2-094,3564.0
W2-095,3258.0
W2-096,1392.0
W2-097,2250.0
W2-098,3629.0
W2-099,34.0
W2-100,3207.0
W2-101,2948.0
W2-102,3903.0
W2-103,3119.0
W2-104,3329.0
W2-105,1688.0
W2-106,3863.0
W2-107,4321.0
W2-108,3989.0
W2-109,3761.0
W2-110,3093.0
W2-111,4159.0
W2-112,4803.0
W2-113,3363.0
W2-114,2851.0
W2-115,4260.0
W2-116,2586.0
W2-117,3347.0
W2-118,3300.0
W2-119,2748.0
W2-120,2864.0
W2-121,3900.0
W2-122,2075.0
W2-123,2193.0
W2-124,3133.0
W2-125,2899.0
W2-126,3397.0
W2-127,3516.0
W2-128,1503.0
W2-129,2955.0
W2-130,3074.0
W2-131,3680.0
W2-132,2558.0
W2-133,2989.0
W2-134,3820.0
W2-135,2615.0
W2-136,2534.0
W2-137,3312.0
W2-138,3058.0
W2-139,1550.0
W2-140,3901.0
W2-141,2134.0
W2-142,2453.0
W2-143,2243.0
W2-144,1356.0
W2-145,2277.0
W2-146,3863.0
W2-147,3868.0
W2-148,2659.0
W2-149,178.0
W2-150,2686.0
W2-151,2862.0
W2-152,1572.0
W2-153,2589.0
W2-154,5023.0
W2-155,2786.0
W2-156,5290.0
W2-157,3749.0
W2-158,1493.0
W2-159,3437.0
W2-160,2798.0
W2-161,2125.0
W2-162,3448.0
W2-163,3686.0
W2-164,4100.0
W2-165,2267.0
W2-166,2325.0
W2-167,3736.0
W2-168,2163.0
W2-169,2051.0
W2-170,3165.0
W2-171,3524.0
W2-172,2124.0
W2-173,2500.0
W2-174,2490.0
W2-175,1719.0
W2-176,4203.0
W2-177,3405.0
W2-178,3019.0
W2-179,4649.0
W2-180,2102.0
W2-181,2644.0
W2-182,866.0
W2-183,3372.0
W2-184,2759.0
W2-185,2200.0
W2-186,1706.0
W2-187,2142.0
W2-188,3559.0
W2-189,3467.0
W2-190,2310.0
W2-191,2108.0
W2-192,3695.0
W2-193,3027.0
W2-194,2710.0
W2-195,2022.0
W2-196,2468.0
W2-197,1875.0
W2-198,2966.0
W2-199,2922.0
W2-200,3629.0
W2-301,2254.0
W2-302,1197.0
W2-303,1832.0
W2-304,3250.0
W2-305,1936.0
W2-306,1487.0
W2-307,2471.0
W2-308,1800.0
W2-309,2723.0
W2-310,2768.0
W2-311,1828.0
W2-312,3675.0
W2-313,2494.0
W2-314,711.0
W2-315,3911.0
W2-316,2218.0
