,plant_0817_1245_W1W4_plantArea
W1-001,2401.0
W1-002,814.0
W1-003,1779.0
W1-004,2447.0
W1-005,3172.0
W1-006,1864.0
W1-007,1998.0
W1-008,2291.0
W1-009,2362.0
W1-010,2181.0
W1-011,2719.0
W1-012,2103.0
W1-013,1836.0
W1-014,1323.0
W1-015,896.0
W1-016,3177.0
W1-017,2290.0
W1-018,1863.0
W1-019,1699.0
W1-020,1898.0
W1-021,1593.0
W1-022,1277.0
W1-023,3030.0
W1-024,3044.0
W1-025,2060.0
W1-026,1023.0
W1-027,2486.0
W1-028,1448.0
W1-029,2838.0
W1-030,1610.0
W1-031,2150.0
W1-032,1228.0
W1-033,1786.0
W1-034,1827.0
W1-035,723.0
W1-036,41.0
W1-037,1299.0
W1-038,1785.0
W1-039,1167.0
W1-040,1205.0
W1-041,948.0
W1-042,1667.0
W1-043,398.0
W1-044,2844.0
W1-045,1051.0
W1-046,2496.0
W1-047,986.0
W1-048,3047.0
W1-049,1159.0
W1-050,3204.0
W1-051,1585.0
W1-052,3294.0
W1-053,1877.0
W1-054,837.0
W1-055,1055.0
W1-056,1018.0
W1-057,2684.0
W1-058,647.0
W1-059,2225.0
W1-060,2361.0
W1-061,2063.0
W1-062,1148.0
W1-063,2804.0
W1-064,2267.0
W1-065,3063.0
W1-066,2295.0
W1-067,1987.0
W1-068,1175.0
W1-069,1097.0
W1-070,2764.0
W1-071,2398.0
W1-072,442.0
W1-073,305.0
W1-074,2194.0
W1-075,820.0
W1-076,2158.0
W1-077,1585.0
W1-078,907.0
W1-079,1905.0
W1-080,3476.0
W1-081,1384.0
W1-082,1942.0
W1-083,1585.0
W1-084,586.0
W1-085,8.0
W1-086,1513.0
W1-087,1776.0
W1-088,2697.0
W1-089,2021.0
W1-090,995.0
W1-091,818.0
W1-092,2857.0
W1-093,3065.0
W1-094,903.0
W1-095,2122.0
W1-096,2401.0
W1-097,2359.0
W1-098,2103.0
W1-099,2556.0
W1-100,2140.0
W1-101,1870.0
W1-102,1899.0
W1-103,2126.0
W1-104,2051.0
W1-105,1933.0
W1-106,2343.0
W1-107,2353.0
W1-108,2051.0
W1-109,1547.0
W1-110,1757.0
W1-111,1823.0
W1-112,1725.0
W1-113,954.0
W1-114,1182.0
W1-115,47.0
W1-116,2110.0
W1-117,472.0
W1-118,2162.0
W1-119,1428.0
W1-120,1196.0
W1-121,2057.0
W1-122,1151.0
W1-123,1848.0
W1-124,616.0
W1-125,1400.0
W1-126,935.0
W1-127,1384.0
W1-128,2023.0
W1-129,352.0
W1-130,1440.0
W1-131,1815.0
W1-132,1137.0
W1-133,1192.0
W1-134,429.0
W1-135,1401.0
W1-136,1864.0
W1-137,2151.0
W1-138,1849.0
W1-139,2329.0
W1-140,3332.0
W1-141,2967.0
W1-142,1141.0
W1-143,920.0
W1-144,1242.0
W1-145,541.0
W1-146,959.0
W1-147,643.0
W1-148,746.0
W1-149,1256.0
W1-150,2662.0
W1-151,1426.0
W1-152,1242.0
W1-153,446.0
W1-154,1138.0
W1-155,2483.0
W1-156,3259.0
W1-157,2416.0
W1-158,2596.0
W1-159,4050.0
W1-160,3345.0
W1-161,3613.0
W1-162,2868.0
W1-163,4208.0
W1-164,2088.0
W1-165,3650.0
