,plant_0829_1200_W2W3_plantArea
W2-001,3095.0
W2-002,4548.0
W2-003,3941.0
W2-004,4764.0
W2-005,477.0
W2-006,3082.0
W2-007,5181.0
W2-008,4053.0
W2-009,4896.0
W2-010,4893.0
W2-011,5864.0
W2-012,4467.0
W2-013,5482.0
W2-014,5919.0
W2-015,5210.0
W2-016,2363.0
W2-017,3730.0
W2-018,3844.0
W2-019,4130.0
W2-020,2956.0
W2-021,3799.0
W2-022,6782.0
W2-023,6015.0
W2-024,6087.0
W2-025,6147.0
W2-026,3827.0
W2-027,5184.0
W2-028,2661.0
W2-029,6453.0
W2-030,7143.0
W2-031,6255.0
W2-032,6975.0
W2-033,2900.0
W2-034,5808.0
W2-035,6025.0
W2-036,4557.0
W2-037,3938.0
W2-038,665.0
W2-039,6182.0
W2-040,2042.0
W2-041,3084.0
W2-042,3690.0
W2-043,5983.0
W2-044,4853.0
W2-045,4558.0
W2-046,7229.0
W2-047,5118.0
W2-048,5076.0
W2-049,3102.0
W2-050,3509.0
W2-051,1921.0
W2-052,4409.0
W2-053,1331.0
W2-054,5111.0
W2-055,3961.0
W2-056,2967.0
W2-057,1319.0
W2-058,5683.0
W2-059,4864.0
W2-060,4979.0
W2-061,7107.0
W2-062,8116.0
W2-063,6850.0
W2-064,6749.0
W2-065,4038.0
W2-066,5494.0
W2-067,4331.0
W2-068,5488.0
W2-069,3263.0
W2-070,5148.0
W2-071,5272.0
W2-072,4718.0
W2-073,4080.0
W2-074,4749.0
W2-075,4906.0
W2-076,7106.0
W2-077,4370.0
W2-078,7820.0
W2-079,6662.0
W2-080,4458.0
W2-081,2050.0
W2-082,3649.0
W2-083,5234.0
W2-084,2869.0
W2-085,4174.0
W2-086,1348.0
W2-087,3674.0
W2-088,2349.0
W2-089,1667.0
W2-090,1992.0
W2-091,3631.0
W2-092,4189.0
W2-093,3385.0
W2-094,5781.0
W2-095,4889.0
W2-096,1909.0
W2-097,3060.0
W2-098,4993.0
W2-099,91.0
W2-100,4346.0
W2-101,7265.0
W2-102,6560.0
W2-103,5861.0
W2-104,6222.0
W2-105,3185.0
W2-106,7715.0
W2-107,8241.0
W2-108,7529.0
W2-109,7815.0
W2-110,6144.0
W2-111,7836.0
W2-112,8431.0
W2-113,7300.0
W2-114,5951.0
W2-115,8342.0
W2-116,5059.0
W2-117,6024.0
W2-118,6378.0
W2-119,4898.0
W2-120,5726.0
W2-121,7544.0
W2-122,4690.0
W2-123,4779.0
W2-124,6162.0
W2-125,6040.0
W2-126,6540.0
W2-127,6734.0
W2-128,2780.0
W2-129,5616.0
W2-130,5761.0
W2-131,6601.0
W2-132,5030.0
