,plant_0822_1245_W2W3_plantArea
W2-001,3098.0
W2-002,4411.0
W2-003,3805.0
W2-004,4269.0
W2-005,1015.0
W2-006,2720.0
W2-007,4514.0
W2-008,3645.0
W2-009,4184.0
W2-010,4335.0
W2-011,5216.0
W2-012,4716.0
W2-013,5060.0
W2-014,4817.0
W2-015,4790.0
W2-016,2857.0
W2-017,3368.0
W2-018,4118.0
W2-019,3361.0
W2-020,2660.0
W2-021,2950.0
W2-022,5209.0
W2-023,4984.0
W2-024,5362.0
W2-025,6175.0
W2-026,3510.0
W2-027,5714.0
W2-028,3415.0
W2-029,5849.0
W2-030,6029.0
W2-031,6281.0
W2-032,6191.0
W2-033,3046.0
W2-034,5756.0
W2-035,5640.0
W2-036,5482.0
W2-037,4169.0
W2-038,1132.0
W2-039,5398.0
W2-040,2889.0
W2-041,2681.0
W2-042,3284.0
W2-043,4955.0
W2-044,3763.0
W2-045,4158.0
W2-046,6040.0
W2-047,4032.0
W2-048,5092.0
W2-049,3440.0
W2-050,4330.0
W2-051,1918.0
W2-052,3465.0
W2-053,1537.0
W2-054,4681.0
W2-055,3906.0
W2-056,2731.0
W2-057,1346.0
W2-058,4671.0
W2-059,3871.0
W2-060,4460.0
W2-061,5844.0
W2-062,6441.0
W2-063,5336.0
W2-064,5676.0
W2-065,3856.0
W2-066,4751.0
W2-067,4842.0
W2-068,4581.0
W2-069,2754.0
W2-070,4679.0
W2-071,4369.0
W2-072,3933.0
W2-073,3284.0
W2-074,4492.0
W2-075,4106.0
W2-076,6427.0
W2-077,3907.0
W2-078,6635.0
W2-079,5484.0
W2-080,4235.0
W2-081,1840.0
W2-082,4408.0
W2-083,4490.0
W2-084,2596.0
W2-085,3656.0
W2-086,1565.0
W2-087,3481.0
W2-088,2903.0
W2-089,1817.0
W2-090,2033.0
W2-091,3081.0
W2-092,3712.0
W2-093,2663.0
W2-094,4846.0
W2-095,4310.0
W2-096,1775.0
W2-097,3378.0
W2-098,4301.0
W2-099,161.0
W2-100,4323.0
W2-101,6156.0
W2-102,5903.0
W2-103,4841.0
W2-104,5711.0
W2-105,3800.0
W2-106,5570.0
W2-107,7000.0
W2-108,6127.0
W2-109,6083.0
W2-110,4843.0
W2-111,7324.0
W2-112,8087.0
W2-113,6170.0
W2-114,5517.0
W2-115,7538.0
W2-116,5799.0
W2-117,6280.0
W2-118,5287.0
W2-119,3951.0
W2-120,4933.0
W2-121,6609.0
W2-122,5207.0
W2-123,4617.0
W2-124,5951.0
W2-125,6279.0
W2-126,6359.0
W2-127,6745.0
W2-128,3604.0
W2-129,6202.0
W2-130,5954.0
W2-131,6386.0
W2-132,4720.0
W2-133,5629.0
W2-134,6574.0
W2-135,5438.0
W2-136,4596.0
W2-137,5429.0
W2-138,5114.0
W2-139,3576.0
W2-140,7374.0
W2-141,4352.0
W2-142,4848.0
W2-143,3439.0
W2-144,3120.0
W2-145,4227.0
W2-146,5536.0
W2-147,5513.0
W2-148,4171.0
W2-149,556.0
W2-150,5083.0
W2-151,6114.0
W2-152,3879.0
W2-153,4751.0
W2-154,7985.0
W2-155,4664.0
W2-156,7444.0
W2-157,5444.0
W2-158,2780.0
W2-159,5410.0
W2-160,5120.0
W2-161,3679.0
W2-162,5126.0
W2-163,5607.0
W2-164,8352.0
W2-165,4596.0
W2-166,4276.0
W2-167,5231.0
W2-168,2945.0
W2-169,2784.0
W2-170,4447.0
W2-171,5752.0
W2-172,2786.0
W2-173,4824.0
W2-174,3471.0
W2-175,4019.0
W2-176,6349.0
W2-177,5150.0
W2-178,4513.0
W2-179,7411.0
W2-180,3083.0
W2-181,4691.0
W2-182,1497.0
W2-183,5652.0
W2-184,4443.0
W2-185,4338.0
W2-186,2712.0
W2-187,3782.0
W2-188,5496.0
W2-189,6122.0
W2-190,4127.0
W2-191,3500.0
W2-192,5718.0
W2-193,4518.0
W2-194,4369.0
W2-195,3145.0
W2-196,3602.0
W2-197,2601.0
W2-198,4367.0
W2-199,3596.0
W2-200,4322.0
W2-301,4116.0
W2-302,2229.0
W2-303,3090.0
W2-304,5410.0
W2-305,3462.0
W2-306,3098.0
W2-307,4256.0
W2-308,2886.0
W2-309,3929.0
W2-310,4255.0
W2-311,4996.0
W2-312,5811.0
W2-313,3860.0
W2-314,1428.0
W2-315,7052.0
W2-316,4550.0
W2-317,6272.0
W2-318,4628.0
W2-319,6833.0
W2-320,5484.0
W2-321,5753.0
W2-322,4347.0
W2-323,4596.0
W2-324,4438.0
W2-325,5899.0
W2-326,4796.0
W2-327,4269.0
W2-328,2931.0
W3-001,3980.0
W3-002,4289.0
W3-003,2020.0
W3-004,3824.0
W3-005,4416.0
W3-006,3940.0
W3-007,3021.0
W3-008,4663.0
W3-009,3600.0
W3-010,6976.0
W3-011,5766.0
W3-012,5275.0
W3-013,5251.0
W3-014,1050.0
W3-015,4807.0
W3-016,4305.0
W3-017,5377.0
W3-018,6288.0
W3-019,4686.0
W3-020,4143.0
W3-021,4413.0
W3-022,3803.0
W3-023,4137.0
W3-024,5490.0
W3-025,4770.0
W3-026,4471.0
W3-027,4760.0
W3-028,5991.0
W3-029,5725.0
W3-030,5376.0
W3-031,5177.0
W3-032,4285.0
W3-033,3846.0
W3-034,5214.0
W3-035,4780.0
W3-036,856.0
W3-037,4119.0
W3-038,3264.0
W3-039,2182.0
W3-040,4077.0
W3-041,4871.0
W3-042,4831.0
W3-043,4141.0
W3-044,3216.0
W3-045,6016.0
W3-046,3901.0
W3-047,5556.0
W3-048,5470.0
W3-049,4931.0
W3-050,2990.0
W3-051,3455.0
W3-052,3035.0
W3-053,4325.0
W3-054,3822.0
W3-055,5794.0
W3-056,2868.0
W3-057,2383.0
W3-058,4506.0
W3-059,5934.0
W3-060,3242.0
W3-061,6155.0
W3-062,5066.0
W3-063,2890.0
W3-064,5601.0
W3-065,5267.0
W3-066,4273.0
W3-067,7260.0
W3-068,6439.0
W3-069,4534.0
W3-070,3412.0
W3-071,2796.0
W3-072,5768.0
W3-073,4662.0
W3-074,6796.0
W3-075,6172.0
W3-076,5741.0
W3-077,6791.0
W3-078,6612.0
W3-079,3942.0
W3-080,4708.0
W3-081,5544.0
W3-082,2542.0
W3-083,3640.0
W3-084,2521.0
W3-085,5159.0
W3-086,5546.0
W3-087,3897.0
W3-088,3078.0
W3-089,4279.0
W3-090,3965.0
W3-091,3664.0
W3-092,3253.0
W3-093,648.0
W3-094,1868.0
W3-095,1906.0
W3-096,2207.0
W3-097,5730.0
W3-098,5428.0
W3-099,5068.0
W3-100,3756.0
W3-101,2286.0
W3-102,2662.0
W3-103,2949.0
W3-104,3175.0
W3-105,3010.0
W3-106,2888.0
W3-107,2444.0
W3-108,2273.0
W3-109,2860.0
W3-110,4891.0
W3-111,4577.0
W3-112,4132.0
W3-113,4175.0
W3-114,5255.0
W3-115,3888.0
W3-116,3301.0
W3-117,4995.0
W3-118,4749.0
W3-119,4573.0
W3-120,3883.0
W3-121,4093.0
W3-122,5070.0
W3-123,3808.0
W3-124,2889.0
W3-125,2838.0
W3-126,2982.0
W3-127,3951.0
W3-128,3528.0
W3-129,4080.0
W3-130,3001.0
W3-131,3240.0
W3-132,2761.0
W3-133,3255.0
W3-134,3268.0
W3-135,4244.0
W3-136,2330.0
W3-137,2619.0
W3-138,2903.0
W3-139,3230.0
W3-140,3940.0
W3-141,3232.0
W3-142,6219.0
W3-143,3361.0
W3-144,3753.0
W3-145,4362.0
W3-146,3747.0
W3-147,4597.0
W3-148,4062.0
W3-149,2883.0
W3-150,4042.0
W3-151,2560.0
W3-152,3706.0
W3-153,2434.0
W3-154,3222.0
W3-155,1580.0
W3-156,2536.0
W3-157,2131.0
W3-158,2647.0
W3-159,4479.0
W3-160,4769.0
W3-161,2987.0
W3-162,3398.0
W3-163,3224.0
W3-164,3639.0
W3-165,3336.0
W3-166,3939.0
W3-167,3540.0
W3-168,3468.0
W3-169,4051.0
W3-170,3335.0
W3-171,3588.0
W3-172,4706.0
W3-173,5414.0
W3-174,5555.0
W3-175,4456.0
W3-176,4345.0
W3-177,2342.0
W3-178,2972.0
W3-179,3896.0
W3-180,4932.0
W3-181,4136.0
W3-182,4926.0
W3-183,5179.0
W3-184,5136.0
W3-185,3057.0
W3-186,2941.0
W3-187,2938.0
W3-188,4186.0
W3-189,3153.0
W3-190,4476.0
W3-191,4177.0
W3-192,1129.0
W3-193,1372.0
W3-194,3931.0
W3-195,4100.0
W3-196,3213.0
W3-197,3462.0
W3-198,3744.0
W3-199,2701.0
W3-200,309.0
W3-301,6100.0
W3-302,4110.0
W3-303,5145.0
W3-304,2863.0
W3-305,5112.0
W3-306,2466.0
W3-307,3977.0
W3-308,2348.0
W3-309,4174.0
W3-310,6244.0
W3-311,4325.0
W3-312,6412.0
W3-313,2819.0
W3-314,3782.0
W3-315,2484.0
W3-316,2034.0
W3-317,2897.0
W3-318,2680.0
W3-319,4480.0
W3-320,2350.0
W3-321,3422.0
W3-322,2434.0
W3-323,2491.0
W3-324,4284.0
W3-325,4624.0
W3-326,3343.0
W3-327,3036.0
W3-328,3951.0
