,plant_0816_1230_W1W4_plantArea
W1-001,2105.0
W1-002,883.0
W1-003,1586.0
W1-004,1944.0
W1-005,2458.0
W1-006,1777.0
W1-007,1600.0
W1-008,1922.0
W1-009,2004.0
W1-010,1869.0
W1-011,2229.0
W1-012,1754.0
W1-013,1661.0
W1-014,1449.0
W1-015,825.0
W1-016,2537.0
W1-017,1848.0
W1-018,1564.0
W1-019,1732.0
W1-020,1922.0
W1-021,1536.0
W1-022,1566.0
W1-023,2508.0
W1-024,2627.0
W1-025,1724.0
W1-026,991.0
W1-027,2052.0
W1-028,1268.0
W1-029,2423.0
W1-030,1431.0
W1-031,1981.0
W1-032,1284.0
W1-033,1659.0
W1-034,1681.0
W1-035,723.0
W1-036,34.0
W1-037,1014.0
W1-038,1546.0
W1-039,1280.0
W1-040,1130.0
W1-041,941.0
W1-042,1607.0
W1-043,391.0
W1-044,2293.0
W1-045,1266.0
W1-046,2230.0
W1-047,920.0
W1-048,2499.0
W1-049,1071.0
W1-050,2723.0
W1-051,1373.0
W1-052,2826.0
W1-053,1916.0
W1-054,932.0
W1-055,1470.0
W1-056,1235.0
W1-057,2200.0
W1-058,513.0
W1-059,1917.0
W1-060,2205.0
W1-061,2087.0
W1-062,1438.0
W1-063,2623.0
W1-064,1908.0
W1-065,2590.0
W1-066,1799.0
W1-067,1602.0
W1-068,1314.0
W1-069,963.0
W1-070,2359.0
W1-071,2170.0
W1-072,318.0
W1-073,275.0
W1-074,1949.0
W1-075,946.0
W1-076,1786.0
W1-077,1645.0
W1-078,953.0
W1-079,1592.0
W1-080,3075.0
W1-081,1223.0
W1-082,1841.0
W1-083,1405.0
W1-084,537.0
W1-085,13.0
W1-086,1398.0
W1-087,1605.0
W1-088,2275.0
W1-089,1583.0
W1-090,830.0
W1-091,1018.0
W1-092,2452.0
W1-093,2731.0
W1-094,960.0
W1-095,1835.0
W1-096,2042.0
W1-097,2102.0
W1-098,2022.0
W1-099,2097.0
W1-100,1887.0
W1-101,1651.0
W1-102,1684.0
W1-103,1957.0
W1-104,1923.0
W1-105,1718.0
W1-106,2048.0
W1-107,2065.0
W1-108,2028.0
W1-109,1721.0
W1-110,1670.0
W1-111,1761.0
W1-112,1838.0
W1-113,797.0
W1-114,1114.0
W1-115,70.0
W1-116,2055.0
W1-117,660.0
W1-118,1953.0
W1-119,1388.0
W1-120,1368.0
W1-121,2032.0
W1-122,1067.0
W1-123,1631.0
W1-124,900.0
W1-125,1399.0
W1-126,916.0
W1-127,1367.0
W1-128,1881.0
W1-129,336.0
W1-130,1284.0
W1-131,1762.0
W1-132,1185.0
W1-133,1167.0
W1-134,484.0
W1-135,1425.0
W1-136,1641.0
W1-137,1718.0
W1-138,1829.0
W1-139,2086.0
W1-140,2921.0
W1-141,2589.0
W1-142,1382.0
W1-143,864.0
W1-144,1428.0
W1-145,773.0
W1-146,897.0
W1-147,644.0
W1-148,772.0
W1-149,1401.0
W1-150,2246.0
W1-151,1780.0
W1-152,1211.0
W1-153,508.0
W1-154,1230.0
W1-155,2268.0
W1-156,2937.0
W1-157,2047.0
W1-158,2379.0
W1-159,3161.0
W1-160,2967.0
W1-161,2877.0
W1-162,2401.0
W1-163,3432.0
W1-164,2065.0
W1-165,3083.0
W1-166,2866.0
W1-167,3078.0
W1-168,3271.0
W1-169,3272.0
W1-170,2825.0
W1-171,1686.0
W1-172,1717.0
W1-173,1582.0
W1-174,1603.0
W1-175,1603.0
W1-176,3075.0
W1-177,1832.0
W1-178,2738.0
W1-179,3221.0
W1-180,2487.0
W1-181,1633.0
W1-182,477.0
W1-183,831.0
W1-184,1084.0
W1-185,2640.0
W1-186,2984.0
W1-187,1891.0
W1-188,782.0
W1-189,2191.0
W1-190,2071.0
W1-191,1526.0
W1-192,841.0
W1-193,1310.0
W1-194,1178.0
W1-195,1463.0
W1-196,1160.0
W1-197,1005.0
W1-198,1206.0
W1-199,1416.0
W1-200,2042.0
W1-301,852.0
W1-302,963.0
W1-303,2120.0
W1-304,1235.0
W1-305,2560.0
W1-306,1132.0
W1-307,2463.0
W1-308,1636.0
W1-309,2993.0
W1-310,3217.0
W1-311,1731.0
W1-312,3406.0
W1-313,2240.0
W1-314,2677.0
W1-315,3436.0
W1-316,2168.0
W1-317,1626.0
W1-318,3012.0
W1-319,2990.0
W1-320,1319.0
W1-321,1637.0
W1-322,1790.0
W1-323,2141.0
W1-324,2304.0
W1-325,2864.0
W1-326,3293.0
W1-327,565.0
W1-328,2422.0
W4-001,497.0
W4-002,385.0
W4-003,684.0
W4-004,63.0
W4-005,1066.0
W4-006,1074.0
W4-007,1007.0
W4-008,737.0
W4-009,945.0
W4-010,750.0
W4-011,260.0
W4-012,349.0
W4-013,479.0
W4-014,499.0
W4-015,964.0
W4-016,922.0
W4-017,736.0
W4-018,348.0
W4-019,258.0
W4-020,155.0
W4-021,754.0
W4-022,255.0
W4-023,357.0
W4-024,692.0
W4-025,846.0
W4-026,910.0
W4-027,999.0
W4-028,1364.0
W4-029,306.0
W4-030,721.0
W4-031,1304.0
W4-032,220.0
W4-033,873.0
W4-034,1272.0
W4-035,808.0
W4-036,1043.0
W4-037,882.0
W4-038,808.0
W4-039,979.0
W4-040,1133.0
W4-041,763.0
W4-042,897.0
W4-043,449.0
W4-044,326.0
W4-045,888.0
W4-046,801.0
W4-047,562.0
W4-048,269.0
W4-049,238.0
W4-050,718.0
W4-051,512.0
W4-052,433.0
W4-053,400.0
W4-054,134.0
W4-055,317.0
W4-056,376.0
W4-057,350.0
W4-058,612.0
W4-059,576.0
W4-060,628.0
W4-061,573.0
W4-062,460.0
W4-063,451.0
W4-064,406.0
W4-065,875.0
W4-066,353.0
W4-067,652.0
W4-068,465.0
W4-069,398.0
W4-070,426.0
W4-071,103.0
W4-072,450.0
W4-073,445.0
W4-074,163.0
W4-075,190.0
W4-076,704.0
W4-077,748.0
W4-078,1278.0
W4-079,973.0
W4-080,1414.0
W4-081,549.0
W4-082,472.0
W4-083,1214.0
W4-084,626.0
W4-085,1182.0
W4-086,887.0
W4-087,320.0
W4-088,662.0
W4-089,1322.0
W4-090,1299.0
W4-091,851.0
W4-092,182.0
W4-093,424.0
W4-094,515.0
W4-095,255.0
W4-096,286.0
W4-097,431.0
W4-098,768.0
W4-099,323.0
W4-100,796.0
W4-101,620.0
W4-102,676.0
W4-103,567.0
W4-104,500.0
W4-105,492.0
W4-106,425.0
W4-107,652.0
W4-108,500.0
W4-109,1361.0
W4-110,1287.0
W4-111,786.0
W4-112,506.0
W4-113,929.0
W4-114,1061.0
W4-115,1485.0
W4-116,1057.0
W4-117,389.0
W4-118,308.0
W4-119,1030.0
W4-120,513.0
W4-121,1070.0
W4-122,323.0
W4-123,617.0
W4-124,946.0
W4-125,432.0
W4-126,684.0
W4-127,478.0
W4-128,1083.0
W4-129,694.0
W4-130,539.0
W4-131,549.0
W4-132,814.0
W4-133,793.0
W4-134,529.0
W4-135,450.0
W4-136,1221.0
W4-137,912.0
W4-138,774.0
W4-139,1208.0
W4-140,301.0
W4-141,670.0
W4-142,903.0
W4-143,1301.0
W4-144,398.0
W4-145,1163.0
W4-146,780.0
W4-147,1022.0
W4-148,663.0
W4-149,584.0
W4-150,295.0
W4-151,304.0
W4-152,805.0
W4-153,901.0
W4-154,297.0
W4-155,255.0
W4-156,241.0
W4-157,468.0
W4-158,745.0
W4-159,497.0
W4-160,567.0
W4-161,728.0
W4-162,794.0
W4-163,477.0
W4-164,496.0
W4-165,510.0
W4-166,587.0
W4-167,284.0
W4-168,341.0
W4-169,469.0
W4-170,781.0
W4-171,349.0
W4-172,732.0
W4-173,353.0
W4-174,241.0
W4-175,240.0
W4-176,319.0
W4-177,671.0
W4-178,478.0
W4-179,229.0
W4-180,215.0
W4-181,287.0
W4-182,326.0
W4-183,332.0
W4-184,11.0
W4-185,260.0
W4-186,238.0
W4-187,420.0
W4-188,675.0
W4-189,647.0
W4-190,615.0
W4-191,301.0
W4-192,805.0
W4-193,852.0
W4-194,604.0
W4-195,904.0
W4-196,868.0
W4-197,741.0
W4-198,648.0
W4-199,650.0
W4-200,573.0
W4-301,520.0
W4-302,1197.0
W4-303,526.0
W4-304,672.0
W4-305,581.0
W4-306,700.0
W4-307,329.0
W4-308,779.0
W4-309,788.0
W4-310,593.0
W4-311,234.0
W4-312,546.0
W4-313,1233.0
W4-314,1088.0
W4-315,682.0
W4-316,712.0
W4-317,779.0
W4-318,1141.0
W4-319,732.0
W4-320,353.0
W4-321,1041.0
W4-322,701.0
W4-323,1018.0
W4-324,618.0
W4-325,1631.0
W4-326,503.0
W4-327,374.0
W4-328,719.0
