,plant_0831_1320_W1W4_plantArea
W1-001,6694.0
W1-002,1558.0
W1-003,4608.0
W1-004,6832.0
W1-005,8242.0
W1-006,5460.0
W1-007,5453.0
W1-008,6422.0
W1-009,4614.0
W1-010,3993.0
W1-011,6350.0
W1-012,6181.0
W1-013,5062.0
W1-014,3777.0
W1-015,2669.0
W1-016,7010.0
W1-017,6241.0
W1-018,5737.0
W1-019,3444.0
W1-020,3791.0
W1-021,4901.0
W1-022,4881.0
W1-023,7664.0
W1-024,6041.0
W1-025,5163.0
W1-026,3236.0
W1-027,7016.0
W1-028,4409.0
W1-029,5059.0
W1-030,3432.0
W1-031,4772.0
W1-032,4431.0
W1-033,5204.0
W1-034,4479.0
W1-035,2781.0
W1-036,394.0
W1-037,2978.0
W1-038,4945.0
W1-039,5162.0
W1-040,2767.0
W1-041,3655.0
W1-042,5669.0
W1-043,1871.0
W1-044,8346.0
W1-045,5203.0
W1-046,7558.0
W1-047,4011.0
W1-048,8129.0
W1-049,3348.0
W1-050,8637.0
W1-051,4934.0
W1-052,8034.0
W1-053,6054.0
W1-054,4075.0
W1-055,4401.0
W1-056,4681.0
W1-057,7059.0
W1-058,2588.0
W1-059,6888.0
W1-060,6938.0
W1-061,3029.0
W1-062,5014.0
W1-063,7805.0
W1-064,5897.0
W1-065,7592.0
W1-066,6028.0
W1-067,5685.0
W1-068,4617.0
W1-069,3120.0
W1-070,7718.0
W1-071,6491.0
W1-072,1619.0
W1-073,1902.0
W1-074,4568.0
W1-075,3754.0
W1-076,5058.0
W1-077,2536.0
W1-078,2785.0
W1-079,5038.0
W1-080,7814.0
W1-081,5252.0
W1-082,5887.0
W1-083,4029.0
W1-084,2349.0
W1-085,216.0
W1-086,4744.0
W1-087,6220.0
W1-088,6772.0
W1-089,4811.0
W1-090,3360.0
W1-091,2792.0
W1-092,6993.0
W1-093,8340.0
W1-094,3965.0
W1-095,6031.0
W1-096,6193.0
W1-097,6164.0
W1-098,3797.0
W1-099,7033.0
W1-100,5903.0
W1-101,5411.0
W1-102,6252.0
W1-103,5949.0
W1-104,4764.0
W1-105,4485.0
W1-106,4588.0
W1-107,4326.0
W1-108,5179.0
W1-109,4228.0
W1-110,5287.0
W1-111,5440.0
W1-112,4114.0
W1-113,3612.0
W1-114,3883.0
W1-115,425.0
W1-116,5590.0
W1-117,915.0
W1-118,4075.0
W1-119,4327.0
W1-120,3465.0
W1-121,5159.0
W1-122,2305.0
W1-123,5050.0
W1-124,3041.0
W1-125,3450.0
W1-126,3015.0
W1-127,4440.0
W1-128,4182.0
W1-129,610.0
W1-130,3852.0
W1-131,4909.0
W1-132,4151.0
W1-133,3074.0
W1-134,1505.0
W1-135,3774.0
W1-136,4101.0
W1-137,3242.0
W1-138,4816.0
W1-139,5228.0
W1-140,6931.0
W1-141,6146.0
W1-142,1544.0
W1-143,2585.0
W1-144,3851.0
W1-145,2616.0
W1-146,3407.0
W1-147,2196.0
W1-148,3081.0
W1-149,3672.0
W1-150,6380.0
W1-151,5532.0
W1-152,5113.0
W1-153,2539.0
W1-154,1829.0
W1-155,6810.0
W1-156,9512.0
W1-157,6467.0
W1-158,8141.0
W1-159,9694.0
W1-160,5939.0
W1-161,10395.0
W1-162,8432.0
W1-163,10726.0
W1-164,6948.0
W1-165,9648.0
W1-166,10195.0
W1-167,10278.0
W1-168,10147.0
W1-169,9723.0
W1-170,9097.0
W1-171,7259.0
W1-172,5692.0
W1-173,6075.0
W1-174,6244.0
W1-175,5523.0
W1-176,9540.0
W1-177,5851.0
W1-178,7363.0
W1-179,8720.0
W1-180,7478.0
W1-181,5387.0
W1-182,2050.0
W1-183,3278.0
W1-184,3874.0
W1-185,8282.0
W1-186,9889.0
W1-187,6738.0
W1-188,3648.0
W1-189,8412.0
W1-190,7551.0
W1-191,6364.0
W1-192,3185.0
W1-193,4034.0
W1-194,5170.0
W1-195,5803.0
W1-196,4020.0
W1-197,3708.0
W1-198,3485.0
W1-199,4847.0
W1-200,5510.0
W1-301,2273.0
W1-302,3305.0
W1-303,3573.0
W1-304,4428.0
W1-305,6541.0
W1-306,4792.0
W1-307,4960.0
W1-308,4534.0
W1-309,4311.0
W1-310,6648.0
W1-311,4943.0
W1-312,7300.0
W1-313,6613.0
W1-314,6938.0
W1-315,7257.0
W1-316,5808.0
W1-317,5260.0
W1-318,5434.0
W1-319,4401.0
W1-320,4773.0
W1-321,2314.0
W1-322,5553.0
W1-323,5567.0
W1-324,5863.0
W1-325,5185.0
W1-326,4732.0
W1-327,1847.0
W1-328,6041.0
W4-001,1337.0
W4-002,909.0
W4-003,2467.0
W4-004,251.0
W4-005,2560.0
W4-006,3340.0
W4-007,2340.0
W4-008,2367.0
W4-009,3219.0
W4-010,3050.0
W4-011,1085.0
W4-012,1460.0
W4-013,778.0
W4-014,2038.0
W4-015,2573.0
W4-016,3092.0
W4-017,1804.0
W4-018,848.0
W4-019,721.0
W4-020,459.0
W4-021,2240.0
W4-022,761.0
W4-023,645.0
W4-024,1994.0
W4-025,2168.0
W4-026,2017.0
W4-027,2838.0
W4-028,2346.0
W4-029,1310.0
W4-030,2066.0
W4-031,4063.0
W4-032,962.0
W4-033,2330.0
W4-034,4344.0
W4-035,2822.0
W4-036,3006.0
W4-037,3218.0
W4-038,1891.0
W4-039,1418.0
W4-040,4027.0
W4-041,1816.0
W4-042,2411.0
W4-043,1705.0
W4-044,1097.0
W4-045,3312.0
W4-046,2383.0
W4-047,892.0
W4-048,1257.0
W4-049,998.0
W4-050,1888.0
W4-051,453.0
W4-052,1020.0
W4-053,975.0
W4-054,360.0
W4-055,761.0
W4-056,1155.0
W4-057,1166.0
W4-058,853.0
W4-059,548.0
W4-060,1516.0
W4-061,1028.0
W4-062,1299.0
W4-063,1455.0
W4-064,1781.0
W4-065,1182.0
W4-066,1271.0
W4-067,1144.0
W4-068,1538.0
W4-069,474.0
W4-070,1092.0
W4-071,218.0
W4-072,1127.0
W4-073,549.0
W4-074,127.0
W4-075,286.0
W4-076,1542.0
W4-077,1152.0
W4-078,3040.0
W4-079,2493.0
W4-080,3042.0
W4-081,1147.0
W4-082,1267.0
W4-083,2751.0
W4-084,940.0
W4-085,2757.0
W4-086,1492.0
W4-087,551.0
W4-088,455.0
W4-089,1839.0
W4-090,3274.0
W4-091,1895.0
W4-092,372.0
W4-093,915.0
W4-094,1213.0
W4-095,383.0
W4-096,771.0
W4-097,1540.0
W4-098,1762.0
W4-099,743.0
W4-100,2024.0
W4-101,2915.0
W4-102,2228.0
W4-103,2465.0
W4-104,1764.0
W4-105,1319.0
W4-106,1187.0
W4-107,1937.0
W4-108,1515.0
W4-109,3189.0
W4-110,4045.0
W4-111,1329.0
W4-112,2482.0
W4-113,1732.0
W4-114,2663.0
W4-115,2957.0
W4-116,1173.0
W4-117,1378.0
W4-118,1415.0
W4-119,1857.0
W4-120,1087.0
W4-121,1836.0
W4-122,990.0
W4-123,2360.0
W4-124,2244.0
W4-125,1889.0
W4-126,1189.0
W4-127,1352.0
W4-128,2375.0
W4-129,1442.0
W4-130,1069.0
W4-131,975.0
W4-132,1504.0
W4-133,1606.0
W4-134,960.0
W4-135,1213.0
W4-136,3608.0
W4-137,1189.0
W4-138,698.0
W4-139,1924.0
W4-140,1033.0
W4-141,1560.0
W4-142,1538.0
W4-143,4076.0
W4-144,1604.0
W4-145,3159.0
W4-146,986.0
W4-147,2173.0
W4-148,984.0
W4-149,1197.0
W4-150,772.0
W4-151,981.0
W4-152,2166.0
W4-153,2091.0
W4-154,552.0
W4-155,609.0
W4-156,463.0
W4-157,962.0
W4-158,1594.0
W4-159,1161.0
W4-160,1622.0
W4-161,1473.0
W4-162,1473.0
W4-163,1062.0
W4-164,1066.0
W4-165,1408.0
W4-166,1169.0
W4-167,413.0
W4-168,546.0
W4-169,923.0
W4-170,1569.0
W4-171,599.0
W4-172,1590.0
W4-173,548.0
W4-174,710.0
W4-175,528.0
W4-176,621.0
W4-177,1234.0
W4-178,621.0
W4-179,512.0
W4-180,550.0
W4-181,274.0
W4-182,350.0
W4-183,552.0
W4-184,45.0
W4-185,667.0
W4-186,862.0
W4-187,1045.0
W4-188,1523.0
W4-189,1536.0
W4-190,1275.0
W4-191,920.0
W4-192,2159.0
W4-193,1986.0
W4-194,1482.0
W4-195,1960.0
W4-196,2035.0
W4-197,2058.0
W4-198,1490.0
W4-199,1184.0
W4-200,1470.0
W4-301,1804.0
W4-302,1523.0
W4-303,2164.0
W4-304,1863.0
W4-305,905.0
W4-306,2490.0
