,plant_0810_1200_W2W3_plantArea
W2-001,425.0
W2-002,815.0
W2-003,329.0
W2-004,739.0
W2-005,22.0
W2-006,201.0
W2-007,744.0
W2-008,309.0
W2-009,668.0
W2-010,296.0
W2-011,771.0
W2-012,593.0
W2-013,733.0
W2-014,926.0
W2-015,728.0
W2-016,341.0
W2-017,671.0
W2-018,909.0
W2-019,458.0
W2-020,451.0
W2-021,458.0
W2-022,1211.0
W2-023,1021.0
W2-024,807.0
W2-025,825.0
W2-026,694.0
W2-027,1142.0
W2-028,470.0
W2-029,1054.0
W2-030,1144.0
W2-031,1041.0
W2-032,899.0
W2-033,481.0
W2-034,957.0
W2-035,496.0
W2-036,413.0
W2-037,490.0
W2-038,36.0
W2-039,563.0
W2-040,713.0
W2-041,375.0
W2-042,577.0
W2-043,466.0
W2-044,335.0
W2-045,587.0
W2-046,1218.0
W2-047,448.0
W2-048,604.0
W2-049,671.0
W2-050,762.0
W2-051,97.0
W2-052,433.0
W2-053,202.0
W2-054,841.0
W2-055,361.0
W2-056,361.0
W2-057,195.0
W2-058,1001.0
W2-059,687.0
W2-060,701.0
W2-061,1110.0
W2-062,977.0
W2-063,1119.0
W2-064,1401.0
W2-065,555.0
W2-066,638.0
W2-067,655.0
W2-068,1088.0
W2-069,472.0
W2-070,776.0
W2-071,859.0
W2-072,487.0
W2-073,585.0
W2-074,750.0
W2-075,919.0
W2-076,1265.0
W2-077,639.0
W2-078,1286.0
W2-079,1083.0
W2-080,1048.0
W2-081,315.0
W2-082,623.0
W2-083,690.0
W2-084,343.0
W2-085,585.0
W2-086,269.0
W2-087,420.0
W2-088,265.0
W2-089,311.0
W2-090,338.0
W2-091,341.0
W2-092,538.0
W2-093,282.0
W2-094,588.0
W2-095,1002.0
W2-096,169.0
W2-097,853.0
W2-098,737.0
W2-099,26.0
W2-100,740.0
W2-101,681.0
W2-102,906.0
W2-103,701.0
W2-104,800.0
W2-105,837.0
W2-106,858.0
W2-107,1032.0
W2-108,957.0
W2-109,826.0
W2-110,614.0
W2-111,1485.0
W2-112,1843.0
W2-113,910.0
W2-114,514.0
W2-115,1568.0
W2-116,1060.0
W2-117,1314.0
W2-118,765.0
W2-119,672.0
W2-120,1020.0
W2-121,1325.0
W2-122,479.0
W2-123,260.0
W2-124,829.0
W2-125,657.0
W2-126,1834.0
W2-127,1541.0
W2-128,1285.0
W2-129,1769.0
W2-130,1194.0
W2-131,1457.0
W2-132,541.0
W2-133,902.0
W2-134,1224.0
W2-135,685.0
W2-136,575.0
W2-137,433.0
W2-138,706.0
W2-139,404.0
W2-140,1197.0
W2-141,599.0
W2-142,479.0
W2-143,516.0
W2-144,412.0
W2-145,900.0
W2-146,752.0
W2-147,685.0
W2-148,411.0
W2-149,1.0
W2-150,729.0
W2-151,804.0
W2-152,433.0
W2-153,487.0
W2-154,1556.0
W2-155,654.0
W2-156,1569.0
W2-157,1204.0
W2-158,407.0
W2-159,944.0
W2-160,1431.0
W2-161,397.0
W2-162,892.0
W2-163,948.0
W2-164,1361.0
W2-165,334.0
W2-166,546.0
W2-167,817.0
W2-168,391.0
W2-169,393.0
W2-170,576.0
W2-171,677.0
W2-172,360.0
W2-173,239.0
W2-174,332.0
W2-175,274.0
W2-176,1034.0
W2-177,770.0
W2-178,724.0
W2-179,1246.0
W2-180,379.0
W2-181,426.0
W2-182,160.0
W2-183,763.0
W2-184,547.0
W2-185,657.0
W2-186,270.0
W2-187,311.0
W2-188,758.0
W2-189,741.0
W2-190,361.0
W2-191,310.0
W2-192,1135.0
W2-193,647.0
W2-194,543.0
W2-195,456.0
W2-196,376.0
W2-197,279.0
W2-198,649.0
W2-199,589.0
W2-200,951.0
W2-301,491.0
W2-302,574.0
W2-303,682.0
W2-304,648.0
W2-305,240.0
W2-306,1012.0
W2-307,692.0
W2-308,236.0
W2-309,554.0
W2-310,821.0
W2-311,627.0
W2-312,750.0
W2-313,686.0
W2-314,81.0
W2-315,893.0
W2-316,393.0
W2-317,443.0
W2-318,962.0
W2-319,635.0
W2-320,859.0
W2-321,758.0
W2-322,418.0
W2-323,862.0
W2-324,975.0
W2-325,903.0
W2-326,407.0
W2-327,909.0
W2-328,208.0
W3-001,843.0
W3-002,741.0
W3-003,238.0
W3-004,383.0
W3-005,633.0
W3-006,584.0
W3-007,296.0
W3-008,707.0
W3-009,489.0
W3-010,1408.0
W3-011,961.0
W3-012,521.0
W3-013,718.0
W3-014,59.0
W3-015,585.0
W3-016,500.0
W3-017,785.0
W3-018,903.0
W3-019,463.0
W3-020,627.0
W3-021,928.0
W3-022,397.0
W3-023,429.0
W3-024,880.0
W3-025,409.0
W3-026,497.0
W3-027,759.0
W3-028,1482.0
W3-029,1020.0
W3-030,790.0
W3-031,906.0
W3-032,697.0
W3-033,605.0
W3-034,1121.0
W3-035,890.0
W3-036,5.0
W3-037,251.0
W3-038,311.0
W3-039,276.0
W3-040,598.0
W3-041,597.0
W3-042,814.0
W3-043,487.0
W3-044,322.0
W3-045,1280.0
W3-046,449.0
W3-047,855.0
W3-048,924.0
W3-049,829.0
W3-050,491.0
W3-051,607.0
W3-052,541.0
W3-053,943.0
W3-054,426.0
W3-055,736.0
W3-056,426.0
W3-057,168.0
W3-058,953.0
W3-059,731.0
W3-060,539.0
W3-061,1661.0
W3-062,722.0
W3-063,256.0
W3-064,919.0
