,plant_0825_1330_W1W4_plantArea
W1-001,5050.0
W1-002,1524.0
W1-003,3694.0
W1-004,4764.0
W1-005,6120.0
W1-006,4406.0
W1-007,4091.0
W1-008,4642.0
W1-009,4143.0
W1-010,3391.0
W1-011,4813.0
W1-012,4687.0
W1-013,3752.0
W1-014,3125.0
W1-015,1923.0
W1-016,5616.0
W1-017,4731.0
W1-018,4336.0
W1-019,3087.0
W1-020,3118.0
W1-021,3424.0
W1-022,3631.0
W1-023,5633.0
W1-024,5176.0
W1-025,4133.0
W1-026,2130.0
W1-027,5586.0
W1-028,3110.0
W1-029,4423.0
W1-030,2616.0
W1-031,3863.0
W1-032,3069.0
W1-033,3749.0
W1-034,3541.0
W1-035,1740.0
W1-036,156.0
W1-037,2428.0
W1-038,3736.0
W1-039,3139.0
W1-040,2254.0
W1-041,2557.0
W1-042,3998.0
W1-043,1057.0
W1-044,6222.0
W1-045,2875.0
W1-046,5486.0
W1-047,2512.0
W1-048,6192.0
W1-049,2567.0
W1-050,6337.0
W1-051,3733.0
W1-052,6612.0
W1-053,4609.0
W1-054,2745.0
W1-055,2949.0
W1-056,3152.0
W1-057,5825.0
W1-058,1750.0
W1-059,5282.0
W1-060,5344.0
W1-061,2999.0
W1-062,3370.0
W1-063,6066.0
W1-064,4665.0
W1-065,5997.0
W1-066,4996.0
W1-067,4264.0
W1-068,3188.0
W1-069,2524.0
W1-070,5731.0
W1-071,5321.0
W1-072,1177.0
W1-073,965.0
W1-074,3711.0
W1-075,2543.0
W1-076,3969.0
W1-077,2335.0
W1-078,2250.0
W1-079,4108.0
W1-080,6784.0
W1-081,3728.0
W1-082,4660.0
W1-083,3128.0
W1-084,1741.0
W1-085,62.0
W1-086,3524.0
W1-087,4653.0
W1-088,5509.0
W1-089,3886.0
W1-090,2212.0
W1-091,1583.0
W1-092,5620.0
W1-093,6475.0
W1-094,2477.0
W1-095,4896.0
W1-096,4874.0
W1-097,4945.0
W1-098,3506.0
W1-099,5318.0
W1-100,4666.0
W1-101,3776.0
W1-102,4300.0
W1-103,4383.0
W1-104,3546.0
W1-105,3540.0
W1-106,3498.0
W1-107,3497.0
W1-108,3827.0
W1-109,3118.0
W1-110,3433.0
W1-111,3899.0
W1-112,3072.0
W1-113,2138.0
W1-114,2535.0
W1-115,144.0
W1-116,3964.0
W1-117,799.0
W1-118,3199.0
W1-119,2656.0
W1-120,2250.0
W1-121,3344.0
W1-122,2000.0
W1-123,3182.0
W1-124,1395.0
W1-125,2543.0
W1-126,2282.0
W1-127,3059.0
W1-128,3063.0
W1-129,411.0
W1-130,2846.0
W1-131,3863.0
W1-132,2953.0
W1-133,2440.0
W1-134,791.0
W1-135,2436.0
W1-136,2901.0
W1-137,2921.0
W1-138,3412.0
W1-139,3569.0
W1-140,5154.0
W1-141,4687.0
W1-142,1417.0
W1-143,1782.0
W1-144,2780.0
W1-145,1671.0
W1-146,2413.0
W1-147,1361.0
W1-148,2101.0
W1-149,2695.0
W1-150,4983.0
W1-151,3994.0
W1-152,3508.0
W1-153,1472.0
W1-154,1730.0
W1-155,5409.0
W1-156,7608.0
W1-157,5630.0
W1-158,6382.0
W1-159,7691.0
W1-160,5149.0
W1-161,7378.0
W1-162,6132.0
W1-163,7283.0
W1-164,4896.0
W1-165,7392.0
W1-166,7282.0
W1-167,7004.0
W1-168,8426.0
W1-169,8669.0
W1-170,7251.0
W1-171,5319.0
W1-172,4392.0
W1-173,3994.0
W1-174,4443.0
W1-175,4234.0
W1-176,6979.0
W1-177,5410.0
W1-178,5908.0
W1-179,6586.0
W1-180,5740.0
W1-181,4315.0
W1-182,1196.0
W1-183,1926.0
W1-184,2622.0
W1-185,6983.0
W1-186,7922.0
W1-187,5053.0
W1-188,2982.0
W1-189,6636.0
W1-190,6493.0
W1-191,4480.0
W1-192,2213.0
W1-193,3068.0
W1-194,3101.0
W1-195,3787.0
W1-196,2726.0
W1-197,2452.0
W1-198,2463.0
W1-199,3539.0
W1-200,4427.0
W1-301,1840.0
W1-302,2564.0
W1-303,4804.0
W1-304,3562.0
W1-305,5528.0
W1-306,3427.0
W1-307,5092.0
W1-308,3945.0
W1-309,6283.0
W1-310,6391.0
W1-311,4227.0
W1-312,7089.0
W1-313,5568.0
W1-314,6231.0
W1-315,6064.0
W1-316,4639.0
W1-317,3939.0
W1-318,4419.0
W1-319,5547.0
W1-320,3441.0
W1-321,1491.0
W1-322,5153.0
W1-323,4767.0
W1-324,5390.0
W1-325,4432.0
W1-326,4105.0
W1-327,1463.0
W1-328,5176.0
W4-001,864.0
W4-002,548.0
W4-003,1442.0
W4-004,138.0
W4-005,1975.0
W4-006,2543.0
W4-007,1739.0
W4-008,1890.0
W4-009,2194.0
W4-010,1761.0
W4-011,698.0
W4-012,828.0
W4-013,615.0
W4-014,1344.0
W4-015,1939.0
W4-016,1999.0
W4-017,1154.0
W4-018,507.0
W4-019,460.0
W4-020,339.0
W4-021,1491.0
W4-022,309.0
W4-023,453.0
W4-024,1220.0
W4-025,1557.0
W4-026,1502.0
W4-027,2148.0
W4-028,2255.0
W4-029,637.0
W4-030,1221.0
W4-031,2601.0
W4-032,683.0
W4-033,1780.0
W4-034,3073.0
W4-035,2004.0
W4-036,2368.0
W4-037,2344.0
W4-038,1282.0
W4-039,1147.0
W4-040,3029.0
W4-041,1140.0
W4-042,1695.0
W4-043,938.0
W4-044,642.0
W4-045,2030.0
W4-046,1617.0
W4-047,732.0
W4-048,626.0
W4-049,455.0
W4-050,1625.0
W4-051,382.0
W4-052,553.0
W4-053,482.0
W4-054,162.0
W4-055,361.0
W4-056,534.0
W4-057,488.0
W4-058,728.0
W4-059,493.0
W4-060,1152.0
W4-061,590.0
W4-062,648.0
W4-063,472.0
W4-064,956.0
W4-065,763.0
W4-066,505.0
W4-067,684.0
W4-068,1044.0
W4-069,224.0
W4-070,640.0
W4-071,88.0
W4-072,568.0
W4-073,404.0
W4-074,110.0
W4-075,70.0
W4-076,915.0
W4-077,975.0
W4-078,2108.0
W4-079,1667.0
W4-080,2179.0
W4-081,587.0
W4-082,751.0
W4-083,1665.0
W4-084,816.0
W4-085,2057.0
W4-086,1188.0
W4-087,417.0
W4-088,370.0
W4-089,1442.0
W4-090,2202.0
W4-091,1154.0
W4-092,168.0
W4-093,636.0
W4-094,922.0
W4-095,361.0
W4-096,383.0
W4-097,981.0
W4-098,856.0
W4-099,539.0
W4-100,1211.0
W4-101,1731.0
W4-102,1617.0
W4-103,1698.0
W4-104,1189.0
W4-105,711.0
W4-106,564.0
W4-107,1172.0
W4-108,1307.0
W4-109,2300.0
W4-110,2828.0
W4-111,1172.0
W4-112,1844.0
W4-113,1205.0
W4-114,2024.0
W4-115,2615.0
W4-116,1279.0
W4-117,924.0
W4-118,608.0
W4-119,1551.0
W4-120,639.0
W4-121,1609.0
W4-122,621.0
W4-123,1514.0
W4-124,1509.0
W4-125,1025.0
W4-126,811.0
W4-127,1072.0
W4-128,1627.0
W4-129,1021.0
W4-130,650.0
W4-131,687.0
W4-132,1057.0
W4-133,1154.0
W4-134,639.0
W4-135,762.0
W4-136,2581.0
W4-137,1014.0
W4-138,658.0
W4-139,1636.0
W4-140,654.0
W4-141,1102.0
W4-142,1355.0
W4-143,3035.0
W4-144,997.0
W4-145,2054.0
W4-146,912.0
W4-147,1434.0
W4-148,693.0
W4-149,880.0
W4-150,305.0
W4-151,632.0
W4-152,1634.0
W4-153,1359.0
W4-154,493.0
W4-155,345.0
W4-156,350.0
W4-157,524.0
W4-158,1150.0
W4-159,877.0
W4-160,906.0
W4-161,983.0
W4-162,1107.0
W4-163,765.0
W4-164,734.0
W4-165,1091.0
W4-166,760.0
W4-167,320.0
W4-168,493.0
W4-169,548.0
W4-170,905.0
W4-171,402.0
W4-172,1220.0
W4-173,368.0
W4-174,511.0
W4-175,390.0
W4-176,454.0
W4-177,908.0
W4-178,471.0
W4-179,267.0
W4-180,362.0
W4-181,188.0
W4-182,216.0
W4-183,445.0
W4-184,15.0
W4-185,449.0
W4-186,492.0
W4-187,549.0
W4-188,1027.0
W4-189,956.0
W4-190,867.0
W4-191,690.0
W4-192,1457.0
W4-193,1310.0
W4-194,1087.0
W4-195,1471.0
W4-196,1711.0
W4-197,1362.0
W4-198,761.0
W4-199,764.0
W4-200,992.0
W4-301,1070.0
W4-302,919.0
W4-303,1264.0
W4-304,1232.0
W4-305,434.0
W4-306,1474.0
W4-307,836.0
W4-308,1733.0
W4-309,1361.0
W4-310,1300.0
W4-311,386.0
W4-312,1018.0
W4-313,555.0
W4-314,1311.0
W4-315,1327.0
W4-316,1371.0
W4-317,1964.0
W4-318,2220.0
W4-319,828.0
W4-320,591.0
W4-321,1245.0
W4-322,1085.0
W4-323,1538.0
W4-324,1093.0
W4-325,2178.0
W4-326,717.0
W4-327,668.0
W4-328,1054.0
