,plant_0822_1255_W1W4_plantArea
W1-001,4972.0
W1-002,1929.0
W1-003,4060.0
W1-004,5210.0
W1-005,6124.0
W1-006,5013.0
W1-007,5167.0
W1-008,5730.0
W1-009,4815.0
W1-010,3758.0
W1-011,5054.0
W1-012,4588.0
W1-013,4404.0
W1-014,3910.0
W1-015,2657.0
W1-016,6864.0
W1-017,4864.0
W1-018,4337.0
W1-019,4243.0
W1-020,4032.0
W1-021,3750.0
W1-022,3956.0
W1-023,6524.0
W1-024,6410.0
W1-025,5294.0
W1-026,2974.0
W1-027,6623.0
W1-028,3715.0
W1-029,5974.0
W1-030,3558.0
W1-031,5017.0
W1-032,4527.0
W1-033,4940.0
W1-034,4468.0
W1-035,2460.0
W1-036,665.0
W1-037,2902.0
W1-038,4097.0
W1-039,3887.0
W1-040,3050.0
W1-041,3374.0
W1-042,4856.0
W1-043,1819.0
W1-044,6735.0
W1-045,3653.0
W1-046,5913.0
W1-047,2484.0
W1-048,5645.0
W1-049,2428.0
W1-050,5414.0
W1-051,3370.0
W1-052,5965.0
W1-053,3763.0
W1-054,2328.0
W1-055,3441.0
W1-056,3587.0
W1-057,5257.0
W1-058,2155.0
W1-059,6223.0
W1-060,4878.0
W1-061,3807.0
W1-062,3479.0
W1-063,5948.0
W1-064,4481.0
W1-065,5902.0
W1-066,4718.0
W1-067,4006.0
W1-068,3260.0
W1-069,2737.0
W1-070,5782.0
W1-071,4634.0
W1-072,1183.0
W1-073,1254.0
W1-074,4004.0
W1-075,2654.0
W1-076,4005.0
W1-077,3394.0
W1-078,2378.0
W1-079,4368.0
W1-080,7699.0
W1-081,4300.0
W1-082,5913.0
W1-083,4164.0
W1-084,1508.0
W1-085,289.0
W1-086,3529.0
W1-087,4718.0
W1-088,5388.0
W1-089,4397.0
W1-090,2307.0
W1-091,2204.0
W1-092,5768.0
W1-093,6690.0
W1-094,2490.0
W1-095,5015.0
W1-096,4787.0
W1-097,5093.0
W1-098,3997.0
W1-099,5025.0
W1-100,4275.0
W1-101,6069.0
W1-102,6188.0
W1-103,6169.0
W1-104,5908.0
W1-105,5450.0
W1-106,6322.0
W1-107,6181.0
W1-108,6030.0
W1-109,4641.0
W1-110,5428.0
W1-111,5902.0
W1-112,5103.0
W1-113,3266.0
W1-114,3586.0
W1-115,1206.0
W1-116,5755.0
W1-117,2121.0
W1-118,5625.0
W1-119,5286.0
W1-120,4506.0
W1-121,5759.0
W1-122,3470.0
W1-123,5592.0
W1-124,3693.0
W1-125,4491.0
W1-126,3342.0
W1-127,4554.0
W1-128,5461.0
W1-129,1319.0
W1-130,4192.0
W1-131,5859.0
W1-132,4621.0
W1-133,4102.0
W1-134,2071.0
W1-135,4157.0
W1-136,4315.0
W1-137,4855.0
W1-138,5336.0
W1-139,5868.0
W1-140,7991.0
W1-141,6828.0
W1-142,2907.0
W1-143,2992.0
W1-144,4564.0
W1-145,2854.0
W1-146,3228.0
W1-147,2393.0
W1-148,2793.0
W1-149,3664.0
W1-150,5150.0
W1-151,5113.0
W1-152,4289.0
W1-153,1913.0
W1-154,2888.0
W1-155,6509.0
W1-156,8149.0
W1-157,7755.0
W1-158,7312.0
W1-159,9080.0
W1-160,7214.0
W1-161,9220.0
W1-162,7470.0
W1-163,9695.0
W1-164,6599.0
W1-165,9031.0
W1-166,8537.0
W1-167,9082.0
W1-168,9885.0
W1-169,9186.0
W1-170,8695.0
W1-171,5345.0
W1-172,5368.0
W1-173,5410.0
W1-174,5173.0
W1-175,5716.0
W1-176,8615.0
W1-177,6443.0
