,plant_0824_1120_W2W3_plantArea
W2-001,2025.0
W2-002,2487.0
W2-003,2173.0
W2-004,2963.0
W2-005,128.0
W2-006,1495.0
W2-007,3511.0
W2-008,1939.0
W2-009,3073.0
W2-010,2465.0
W2-011,3827.0
W2-012,3084.0
W2-013,3735.0
W2-014,3981.0
W2-015,3750.0
W2-016,1845.0
W2-017,2438.0
W2-018,2683.0
W2-019,2492.0
W2-020,1705.0
W2-021,2324.0
W2-022,4554.0
W2-023,4353.0
W2-024,4048.0
W2-025,4124.0
W2-026,2286.0
W2-027,4065.0
W2-028,1815.0
W2-029,4126.0
W2-030,4805.0
W2-031,4246.0
W2-032,4653.0
W2-033,1666.0
W2-034,4206.0
W2-035,3501.0
W2-036,2271.0
W2-037,2334.0
W2-038,109.0
W2-039,3733.0
W2-040,1488.0
W2-041,1645.0
W2-042,2251.0
W2-043,3527.0
W2-044,2609.0
W2-045,2590.0
W2-046,4907.0
W2-047,2811.0
W2-048,3462.0
W2-049,2493.0
W2-050,3756.0
W2-051,855.0
W2-052,2646.0
W2-053,800.0
W2-054,3650.0
W2-055,2572.0
W2-056,1873.0
W2-057,834.0
W2-058,4015.0
W2-059,3265.0
W2-060,3332.0
W2-061,4555.0
W2-062,5238.0
W2-063,4432.0
W2-064,5137.0
W2-065,2885.0
W2-066,3553.0
W2-067,2874.0
W2-068,3876.0
W2-069,2438.0
W2-070,3480.0
W2-071,3566.0
W2-072,2944.0
W2-073,2535.0
W2-074,3235.0
W2-075,3200.0
W2-076,5010.0
W2-077,3073.0
W2-078,5266.0
W2-079,4353.0
W2-080,3282.0
W2-081,1344.0
W2-082,2012.0
W2-083,3525.0
W2-084,2046.0
W2-085,2685.0
W2-086,1015.0
W2-087,2175.0
W2-088,904.0
W2-089,876.0
W2-090,825.0
W2-091,2194.0
W2-092,2598.0
W2-093,1687.0
W2-094,3739.0
W2-095,3636.0
W2-096,1413.0
W2-097,2477.0
W2-098,3755.0
W2-099,29.0
W2-100,3453.0
W2-101,3292.0
W2-102,4203.0
W2-103,3569.0
W2-104,3780.0
W2-105,1817.0
W2-106,4157.0
W2-107,4855.0
W2-108,4446.0
W2-109,4024.0
W2-110,3195.0
W2-111,4810.0
W2-112,5593.0
W2-113,3982.0
W2-114,3260.0
W2-115,5150.0
W2-116,3155.0
