,plant_0818_1145_W1W4_plantArea
W1-001,2386.0
W1-002,702.0
W1-003,1726.0
W1-004,2674.0
W1-005,3395.0
W1-006,2028.0
W1-007,2146.0
W1-008,2606.0
W1-009,2371.0
W1-010,2242.0
W1-011,2896.0
W1-012,2300.0
W1-013,2188.0
W1-014,1508.0
W1-015,1081.0
W1-016,3467.0
W1-017,2392.0
W1-018,1889.0
W1-019,1924.0
W1-020,2013.0
W1-021,1668.0
W1-022,1348.0
W1-023,3133.0
W1-024,3193.0
W1-025,2193.0
W1-026,1164.0
W1-027,2771.0
W1-028,1673.0
W1-029,3288.0
W1-030,1647.0
W1-031,2263.0
W1-032,1301.0
W1-033,2024.0
W1-034,2175.0
W1-035,740.0
W1-036,32.0
W1-037,1517.0
W1-038,1980.0
W1-039,1276.0
W1-040,1269.0
W1-041,927.0
W1-042,1826.0
W1-043,351.0
W1-044,3301.0
W1-045,1201.0
W1-046,2761.0
W1-047,1161.0
W1-048,3310.0
W1-049,1103.0
W1-050,3485.0
W1-051,1857.0
W1-052,3718.0
W1-053,2162.0
W1-054,715.0
W1-055,1046.0
W1-056,1211.0
W1-057,3084.0
W1-058,763.0
W1-059,2489.0
W1-060,2782.0
W1-061,2357.0
W1-062,1311.0
W1-063,3149.0
W1-064,2412.0
W1-065,3561.0
W1-066,2813.0
W1-067,2311.0
W1-068,1286.0
W1-069,1321.0
W1-070,3324.0
W1-071,2792.0
W1-072,534.0
W1-073,284.0
W1-074,2324.0
W1-075,896.0
W1-076,2405.0
W1-077,1742.0
W1-078,1015.0
W1-079,2294.0
W1-080,3987.0
W1-081,1597.0
W1-082,2072.0
W1-083,1714.0
W1-084,621.0
W1-085,5.0
W1-086,1676.0
W1-087,2016.0
W1-088,3139.0
W1-089,2433.0
W1-090,1104.0
W1-091,695.0
W1-092,3266.0
W1-093,3543.0
W1-094,868.0
W1-095,2363.0
W1-096,2698.0
W1-097,2665.0
W1-098,2341.0
W1-099,2976.0
W1-100,2367.0
W1-101,2351.0
W1-102,2241.0
W1-103,2531.0
W1-104,2340.0
W1-105,2361.0
W1-106,2878.0
W1-107,2611.0
W1-108,2324.0
W1-109,1816.0
W1-110,2154.0
W1-111,2090.0
W1-112,2051.0
W1-113,1112.0
W1-114,1415.0
W1-115,54.0
W1-116,2683.0
W1-117,504.0
W1-118,2345.0
W1-119,1763.0
W1-120,1272.0
W1-121,2371.0
W1-122,1215.0
W1-123,2218.0
W1-124,691.0
W1-125,1677.0
W1-126,1091.0
W1-127,1601.0
W1-128,2390.0
W1-129,403.0
W1-130,1619.0
W1-131,1977.0
W1-132,1261.0
W1-133,1386.0
W1-134,462.0
W1-135,1670.0
W1-136,2018.0
W1-137,2357.0
W1-138,2026.0
W1-139,2604.0
W1-140,3632.0
W1-141,3383.0
W1-142,1199.0
W1-143,1027.0
W1-144,1336.0
W1-145,466.0
W1-146,982.0
W1-147,697.0
W1-148,875.0
W1-149,1353.0
W1-150,2984.0
W1-151,1660.0
W1-152,1435.0
W1-153,432.0
W1-154,1205.0
W1-155,2908.0
W1-156,3962.0
