,plant_0824_1105_W1W4_plantArea
W1-001,4457.0
W1-002,1302.0
W1-003,3245.0
W1-004,4570.0
W1-005,5549.0
W1-006,3697.0
W1-007,3744.0
W1-008,4570.0
W1-009,3225.0
W1-010,3050.0
W1-011,4576.0
W1-012,4137.0
W1-013,3532.0
W1-014,2566.0
W1-015,1720.0
W1-016,5154.0
W1-017,4115.0
W1-018,3833.0
W1-019,2829.0
W1-020,2847.0
W1-021,3173.0
W1-022,2952.0
W1-023,5597.0
W1-024,4632.0
W1-025,3795.0
W1-026,1857.0
W1-027,4876.0
W1-028,2743.0
W1-029,4343.0
W1-030,2357.0
W1-031,3525.0
W1-032,2768.0
W1-033,3318.0
W1-034,3144.0
W1-035,1612.0
W1-036,143.0
W1-037,2139.0
W1-038,3539.0
W1-039,2711.0
W1-040,2109.0
W1-041,2178.0
W1-042,3537.0
W1-043,893.0
W1-044,5679.0
W1-045,2748.0
W1-046,5230.0
W1-047,2435.0
W1-048,5766.0
W1-049,2010.0
W1-050,6008.0
W1-051,3270.0
W1-052,5860.0
W1-053,3779.0
W1-054,2148.0
W1-055,2515.0
W1-056,2551.0
W1-057,5037.0
W1-058,1476.0
W1-059,4655.0
W1-060,4716.0
W1-061,2619.0
W1-062,2723.0
W1-063,5537.0
W1-064,4149.0
W1-065,5481.0
W1-066,4507.0
W1-067,3804.0
W1-068,2743.0
W1-069,2302.0
W1-070,5220.0
W1-071,4672.0
W1-072,1041.0
W1-073,870.0
W1-074,3393.0
W1-075,2231.0
W1-076,3559.0
W1-077,2155.0
W1-078,1952.0
W1-079,3944.0
W1-080,6319.0
W1-081,3431.0
W1-082,4176.0
W1-083,2780.0
W1-084,1416.0
W1-085,6.0
W1-086,3095.0
W1-087,4053.0
W1-088,4864.0
W1-089,3637.0
W1-090,1953.0
W1-091,1114.0
W1-092,4935.0
W1-093,5696.0
W1-094,2105.0
W1-095,4133.0
W1-096,4188.0
W1-097,4134.0
W1-098,3104.0
W1-099,4548.0
W1-100,3821.0
W1-101,3736.0
W1-102,4010.0
W1-103,4031.0
W1-104,3389.0
W1-105,3457.0
W1-106,3573.0
W1-107,3390.0
W1-108,3637.0
W1-109,2834.0
W1-110,3381.0
W1-111,3368.0
W1-112,2676.0
W1-113,2008.0
W1-114,2439.0
W1-115,116.0
W1-116,3941.0
W1-117,692.0
W1-118,3008.0
W1-119,2538.0
W1-120,2278.0
W1-121,3236.0
W1-122,1786.0
W1-123,3015.0
W1-124,1369.0
W1-125,2332.0
W1-126,1762.0
W1-127,2774.0
W1-128,3074.0
W1-129,344.0
W1-130,2716.0
W1-131,3468.0
W1-132,2826.0
W1-133,2192.0
W1-134,888.0
W1-135,2499.0
W1-136,2780.0
W1-137,2897.0
W1-138,3344.0
W1-139,3760.0
W1-140,5638.0
W1-141,4550.0
W1-142,1317.0
W1-143,1818.0
W1-144,2677.0
W1-145,1180.0
W1-146,2011.0
W1-147,1202.0
W1-148,1652.0
W1-149,2163.0
W1-150,4668.0
W1-151,3348.0
W1-152,3014.0
W1-153,1191.0
W1-154,1445.0
W1-155,4827.0
W1-156,6430.0
W1-157,5023.0
W1-158,5527.0
W1-159,6988.0
W1-160,4779.0
W1-161,6555.0
W1-162,5211.0
W1-163,6950.0
W1-164,4572.0
W1-165,6710.0
W1-166,6567.0
W1-167,6396.0
W1-168,7734.0
W1-169,7281.0
W1-170,6541.0
W1-171,4580.0
W1-172,3991.0
W1-173,3792.0
W1-174,4045.0
W1-175,4018.0
W1-176,6494.0
W1-177,5019.0
W1-178,5667.0
W1-179,5903.0
W1-180,5294.0
W1-181,3753.0
W1-182,1009.0
W1-183,1698.0
W1-184,2391.0
W1-185,6048.0
W1-186,7121.0
W1-187,4501.0
W1-188,2458.0
W1-189,5543.0
W1-190,5507.0
W1-191,3878.0
W1-192,1885.0
W1-193,2914.0
W1-194,2783.0
W1-195,3240.0
W1-196,2496.0
W1-197,1945.0
W1-198,2144.0
W1-199,2996.0
W1-200,3798.0
W1-301,1426.0
W1-302,2218.0
W1-303,4232.0
W1-304,2661.0
W1-305,5187.0
W1-306,2779.0
W1-307,4446.0
W1-308,3156.0
W1-309,5559.0
W1-310,5481.0
W1-311,3428.0
W1-312,6148.0
W1-313,4890.0
W1-314,5518.0
W1-315,6269.0
W1-316,4097.0
W1-317,3488.0
W1-318,3988.0
W1-319,5331.0
W1-320,3066.0
W1-321,1373.0
W1-322,3924.0
W1-323,4138.0
W1-324,4768.0
W1-325,3838.0
W1-326,3473.0
