,plant_0903_1320_W1W4_plantArea
W1-001,7508.0
W1-002,1691.0
W1-003,5401.0
W1-004,7574.0
W1-005,8828.0
W1-006,6427.0
W1-007,5924.0
W1-008,7034.0
W1-009,5045.0
W1-010,4262.0
W1-011,6734.0
W1-012,7188.0
W1-013,5970.0
W1-014,4046.0
W1-015,3306.0
W1-016,7782.0
W1-017,7659.0
W1-018,6676.0
W1-019,3860.0
W1-020,4572.0
W1-021,5597.0
W1-022,6090.0
W1-023,8418.0
W1-024,6314.0
W1-025,5808.0
W1-026,4305.0
W1-027,8035.0
W1-028,5323.0
W1-029,5541.0
W1-030,3854.0
W1-031,5231.0
W1-032,5364.0
W1-033,6249.0
W1-034,5366.0
W1-035,3419.0
W1-036,529.0
W1-037,3400.0
W1-038,5824.0
W1-039,6172.0
W1-040,3054.0
W1-041,4237.0
W1-042,6271.0
W1-043,2921.0
W1-044,10088.0
W1-045,6716.0
W1-046,8277.0
W1-047,5243.0
W1-048,9441.0
W1-049,4398.0
W1-050,9787.0
W1-051,6221.0
W1-052,9008.0
W1-053,7409.0
W1-054,5220.0
W1-055,5107.0
W1-056,5821.0
W1-057,8108.0
W1-058,3444.0
W1-059,7713.0
W1-060,8387.0
W1-061,3339.0
W1-062,6505.0
W1-063,8925.0
W1-064,6903.0
W1-065,8375.0
W1-066,6819.0
W1-067,6820.0
W1-068,5374.0
W1-069,3700.0
W1-070,9239.0
W1-071,7802.0
W1-072,1974.0
W1-073,2677.0
W1-074,5124.0
W1-075,4887.0
W1-076,5862.0
W1-077,3184.0
W1-078,3158.0
W1-079,5949.0
W1-080,8643.0
W1-081,6370.0
W1-082,6620.0
W1-083,4687.0
W1-084,3167.0
W1-085,460.0
W1-086,5759.0
W1-087,7176.0
W1-088,7721.0
W1-089,5607.0
W1-090,4312.0
W1-091,3544.0
W1-092,8022.0
W1-093,9262.0
W1-094,5368.0
W1-095,7112.0
W1-096,7036.0
W1-097,6881.0
W1-098,4118.0
W1-099,8316.0
W1-100,6789.0
W1-101,6427.0
W1-102,7537.0
W1-103,7075.0
W1-104,5610.0
W1-105,4881.0
W1-106,5052.0
W1-107,4837.0
W1-108,5988.0
W1-109,5099.0
W1-110,6337.0
W1-111,6537.0
W1-112,4817.0
W1-113,4703.0
W1-114,4528.0
W1-115,1035.0
W1-116,6819.0
W1-117,1363.0
W1-118,4631.0
W1-119,4995.0
W1-120,4368.0
W1-121,5939.0
W1-122,2544.0
W1-123,5672.0
W1-124,3911.0
W1-125,3893.0
W1-126,3631.0
W1-127,5093.0
W1-128,4744.0
W1-129,665.0
W1-130,4619.0
W1-131,5581.0
W1-132,4786.0
W1-133,3676.0
W1-134,1776.0
W1-135,4989.0
W1-136,4930.0
W1-137,3637.0
W1-138,5461.0
W1-139,6175.0
W1-140,7966.0
W1-141,7069.0
W1-142,1707.0
W1-143,3160.0
W1-144,4376.0
W1-145,3558.0
W1-146,3920.0
W1-147,2897.0
W1-148,3889.0
W1-149,4588.0
W1-150,7188.0
W1-151,7060.0
W1-152,6122.0
W1-153,3680.0
W1-154,2244.0
W1-155,8387.0
W1-156,10601.0
W1-157,7386.0
W1-158,9199.0
W1-159,10292.0
W1-160,7254.0
W1-161,11934.0
W1-162,10498.0
W1-163,12037.0
W1-164,8827.0
W1-165,10876.0
W1-166,12084.0
W1-167,11947.0
W1-168,11287.0
W1-169,10578.0
W1-170,10539.0
W1-171,9291.0
W1-172,6531.0
W1-173,7679.0
W1-174,8007.0
W1-175,6298.0
W1-176,10612.0
W1-177,6779.0
W1-178,8418.0
W1-179,9786.0
W1-180,9012.0
W1-181,6085.0
W1-182,2628.0
W1-183,4281.0
W1-184,5465.0
W1-185,9931.0
W1-186,11087.0
W1-187,8269.0
W1-188,4566.0
W1-189,9807.0
W1-190,8651.0
W1-191,7824.0
W1-192,3843.0
W1-193,4444.0
W1-194,6811.0
W1-195,7305.0
W1-196,5483.0
W1-197,4709.0
W1-198,4173.0
W1-199,5656.0
W1-200,6454.0
W1-301,2558.0
W1-302,3755.0
W1-303,4067.0
W1-304,4996.0
W1-305,4913.0
W1-306,5397.0
W1-307,5933.0
W1-308,5001.0
W1-309,4838.0
W1-310,7209.0
W1-311,5340.0
W1-312,7655.0
W1-313,7145.0
W1-314,7370.0
W1-315,8014.0
W1-316,6413.0
W1-317,5684.0
W1-318,6050.0
W1-319,4742.0
W1-320,5390.0
W1-321,2763.0
W1-322,6071.0
W1-323,6058.0
W1-324,6384.0
W1-325,5711.0
W1-326,5544.0
W1-327,2192.0
W1-328,6495.0
W4-001,1510.0
W4-002,1143.0
W4-003,3048.0
W4-004,346.0
W4-005,2917.0
W4-006,3939.0
W4-007,2468.0
W4-008,2700.0
W4-009,3979.0
W4-010,3643.0
W4-011,1360.0
W4-012,1737.0
W4-013,962.0
W4-014,2404.0
W4-015,2949.0
W4-016,3773.0
W4-017,2226.0
W4-018,1199.0
W4-019,927.0
W4-020,724.0
W4-021,2773.0
W4-022,1063.0
W4-023,920.0
W4-024,2433.0
W4-025,2512.0
W4-026,2464.0
W4-027,3137.0
W4-028,2335.0
W4-029,1658.0
W4-030,2587.0
W4-031,4911.0
W4-032,1079.0
W4-033,2582.0
W4-034,5257.0
W4-035,3229.0
W4-036,3356.0
W4-037,3645.0
W4-038,2707.0
W4-039,1644.0
W4-040,4798.0
W4-041,2238.0
W4-042,2893.0
W4-043,2192.0
W4-044,1513.0
W4-045,3914.0
W4-046,2802.0
W4-047,1012.0
W4-048,1664.0
W4-049,1358.0
W4-050,2074.0
W4-051,494.0
W4-052,1321.0
W4-053,1467.0
W4-054,481.0
W4-055,958.0
W4-056,1617.0
W4-057,1649.0
W4-058,1074.0
W4-059,584.0
W4-060,1771.0
W4-061,1391.0
W4-062,1641.0
W4-063,2145.0
W4-064,2436.0
W4-065,1879.0
W4-066,1788.0
W4-067,1343.0
W4-068,1895.0
W4-069,777.0
W4-070,1548.0
W4-071,317.0
W4-072,1311.0
W4-073,832.0
W4-074,131.0
W4-075,546.0
W4-076,1955.0
W4-077,1266.0
W4-078,3299.0
W4-079,3036.0
W4-080,3436.0
W4-081,1704.0
W4-082,1824.0
W4-083,3145.0
W4-084,1093.0
W4-085,3125.0
W4-086,1753.0
W4-087,648.0
W4-088,615.0
W4-089,2365.0
W4-090,3779.0
W4-091,2549.0
W4-092,612.0
W4-093,1274.0
W4-094,1341.0
W4-095,420.0
W4-096,927.0
W4-097,1860.0
W4-098,2244.0
W4-099,721.0
W4-100,2595.0
W4-101,3452.0
W4-102,2508.0
W4-103,2954.0
W4-104,1997.0
W4-105,1909.0
W4-106,1614.0
W4-107,2352.0
W4-108,1642.0
W4-109,3610.0
W4-110,4940.0
W4-111,1608.0
W4-112,2837.0
W4-113,2350.0
W4-114,3414.0
W4-115,3164.0
W4-116,1319.0
W4-117,1958.0
W4-118,1844.0
W4-119,2120.0
W4-120,1607.0
W4-121,2063.0
W4-122,1264.0
W4-123,2757.0
W4-124,2786.0
W4-125,2373.0
W4-126,1412.0
W4-127,1621.0
W4-128,3019.0
W4-129,2011.0
W4-130,1387.0
W4-131,1234.0
W4-132,1867.0
W4-133,2124.0
W4-134,1492.0
W4-135,1433.0
W4-136,4546.0
W4-137,1338.0
W4-138,721.0
W4-139,2057.0
W4-140,1346.0
W4-141,1806.0
W4-142,1597.0
W4-143,4781.0
W4-144,1832.0
W4-145,3692.0
W4-146,1106.0
W4-147,3149.0
W4-148,1372.0
W4-149,1342.0
W4-150,864.0
W4-151,1251.0
W4-152,2517.0
W4-153,2406.0
W4-154,586.0
W4-155,710.0
W4-156,711.0
W4-157,1285.0
W4-158,1836.0
W4-159,1358.0
W4-160,2126.0
W4-161,1877.0
W4-162,1822.0
W4-163,1551.0
W4-164,1481.0
W4-165,1704.0
W4-166,1834.0
W4-167,610.0
W4-168,563.0
W4-169,1255.0
W4-170,2046.0
W4-171,822.0
W4-172,1667.0
W4-173,783.0
W4-174,821.0
W4-175,689.0
W4-176,731.0
W4-177,1588.0
W4-178,1090.0
W4-179,750.0
W4-180,841.0
W4-181,415.0
W4-182,672.0
W4-183,772.0
W4-184,47.0
W4-185,800.0
W4-186,990.0
W4-187,1379.0
W4-188,1927.0
W4-189,1789.0
W4-190,1576.0
W4-191,996.0
W4-192,2466.0
W4-193,2825.0
W4-194,1891.0
W4-195,2231.0
W4-196,2490.0
W4-197,2700.0
W4-198,1892.0
W4-199,1508.0
W4-200,1886.0
W4-301,2143.0
W4-302,1553.0
W4-303,2394.0
W4-304,2148.0
W4-305,1011.0
W4-306,2882.0
W4-307,1563.0
W4-308,2372.0
W4-309,1002.0
W4-310,577.0
W4-311,1177.0
W4-312,616.0
W4-313,1256.0
W4-314,2439.0
W4-315,2087.0
W4-316,2158.0
W4-317,2863.0
W4-318,3068.0
W4-319,1778.0
W4-320,1446.0
W4-321,2521.0
W4-322,1842.0
W4-323,973.0
W4-324,1807.0
W4-325,2813.0
W4-326,1239.0
W4-327,1413.0
W4-328,1075.0
