ID,year,place,sowing,varietyID,variety,block,plot,ind,DryWeight_Leaves_g,DryWeight_Shoot_g,FreshWeight_Shoot_g,FreshWeight_Leaves_g,GrowthStage,NumberOfNodes,NumberOfTillers,PlantHeight_cm,TillerLength_cm
56,2019,Tottori,Jul,2036,E71-036,RC,14,4,NA,NA,NA,NA,NA,NA,NA,62,NA
57,2019,Tottori,Jul,2077,E71-077,RC,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,2019,Tottori,Jul,2077,E71-077,RC,15,2,37.48,79.61,253.46,109.05,4.5,8,12,NA,28
59,2019,Tottori,Jul,2077,E71-077,RC,15,3,NA,40.11,124.57,NA,5,5,10,NA,32
60,2019,Tottori,Jul,2077,E71-077,RC,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,2019,Tottori,Jul,2123,E71-123,RC,16,1,NA,NA,NA,NA,NA,NA,NA,52,NA
62,2019,Tottori,Jul,2123,E71-123,RC,16,2,74.06,138.67,453.15,220.65,4,8,19,NA,29
63,2019,Tottori,Jul,2123,E71-123,RC,16,3,NA,43.25,141.28,NA,5,8,15,NA,18
64,2019,Tottori,Jul,2123,E71-123,RC,16,4,NA,NA,NA,NA,NA,NA,NA,35,NA
65,2019,Tottori,Jul,2072,E71-072,RC,17,1,NA,NA,NA,NA,NA,NA,NA,51,NA
66,2019,Tottori,Jul,2072,E71-072,RC,17,2,17.73,38.37,116.95,45.56,5,7,13,54,24
67,2019,Tottori,Jul,2072,E71-072,RC,17,3,NA,68.93,223.12,NA,5,7,20,51,36
68,2019,Tottori,Jul,2072,E71-072,RC,17,4,NA,NA,NA,NA,NA,NA,NA,46,NA
69,2019,Tottori,Jul,2113,E71-113,RC,18,1,NA,NA,NA,NA,NA,NA,NA,66,NA
70,2019,Tottori,Jul,2113,E71-113,RC,18,2,NA,54.47,184.75,72.63,4.5,7,20,61,40
71,2019,Tottori,Jul,2113,E71-113,RC,18,3,NA,29.24,98.34,NA,5,6,11,54,34
72,2019,Tottori,Jul,2113,E71-113,RC,18,4,NA,NA,NA,NA,NA,NA,NA,53,NA
73,2019,Tottori,Jul,2009,E71-009,RC,19,1,NA,NA,NA,NA,NA,NA,NA,53,NA
74,2019,Tottori,Jul,2009,E71-009,RC,19,2,38.73,75.34,247.64,113.59,4.5,8,10,58,17
75,2019,Tottori,Jul,2009,E71-009,RC,19,3,NA,33.8,113.96,NA,4.5,7,12,52,19
76,2019,Tottori,Jul,2009,E71-009,RC,19,4,NA,NA,NA,NA,NA,NA,NA,48,NA
77,2019,Tottori,Jul,2094,E71-094,RC,20,1,NA,NA,NA,NA,NA,NA,NA,57,NA
78,2019,Tottori,Jul,2094,E71-094,RC,20,2,27.66,53.43,170.76,76.83,4.5,6,18,56,37
79,2019,Tottori,Jul,2094,E71-094,RC,20,3,NA,65.22,225,NA,2,7,17,54,31
80,2019,Tottori,Jul,2094,E71-094,RC,20,4,NA,NA,NA,NA,NA,NA,NA,34,NA
81,2019,Tottori,Jul,2135,E71-135,RC,21,1,NA,NA,NA,NA,NA,NA,NA,42,NA
82,2019,Tottori,Jul,2135,E71-135,RC,21,2,32.42,65.36,224.56,100.09,4,9,18,52,26
83,2019,Tottori,Jul,2135,E71-135,RC,21,3,NA,47.1,158.02,NA,4.5,10,10,53,19
84,2019,Tottori,Jul,2135,E71-135,RC,21,4,NA,NA,NA,NA,NA,NA,NA,54,NA
85,2019,Tottori,Jul,2139,E71-139,RC,22,1,NA,NA,NA,NA,NA,NA,NA,35,NA
86,2019,Tottori,Jul,2139,E71-139,RC,22,2,29.14,49.81,158.89,78.31,3,7,7,44,17
87,2019,Tottori,Jul,2139,E71-139,RC,22,3,NA,35.62,123.01,NA,4.5,6,10,40,8
88,2019,Tottori,Jul,2139,E71-139,RC,22,4,NA,NA,NA,NA,NA,NA,NA,62,NA
89,2019,Tottori,Jul,2025,E71-025,RC,23,1,NA,NA,NA,NA,NA,NA,NA,51,NA
90,2019,Tottori,Jul,2025,E71-025,RC,23,2,27.21,53.83,188.72,81.45,5,8,16,43,29
91,2019,Tottori,Jul,2025,E71-025,RC,23,3,NA,37.74,141.05,NA,5.5,7,15,38,14
92,2019,Tottori,Jul,2025,E71-025,RC,23,4,NA,NA,NA,NA,NA,NA,NA,35,NA
93,2019,Tottori,Jul,2061,E71-061,RC,24,1,NA,NA,NA,NA,NA,NA,NA,32,NA
94,2019,Tottori,Jul,2061,E71-061,RC,24,2,49.57,106.79,353.92,140.21,4,8,15,62,39
95,2019,Tottori,Jul,2061,E71-061,RC,24,3,NA,100.17,348.84,NA,5,7,14,59,25
