"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W1-001","GmWMC152","W1",1,1,51.755,67,5562,7523.5,3917,35887,7558,0.200192762436786,0.266555205203525,-0.200165740799247,0.452439921741422,-189.824502935817
"W1-002","GmJMC008","W1",2,1,10.43,47,5829.5,7692.5,3819,34136,7821.75,0.216221109890945,0.2621189194558,-0.181271072507127,0.436640286840063,-154.656864427679
"W1-003","Tachiutaka","W1",3,1,30.815,42.5,6588.5,7947.75,4143.5,27519.5,7583.25,0.154562481082593,0.226647861024658,-0.0669367861444028,0.341283496656035,-56.8803507636048
"W1-004","GmWMC185","W1",4,1,56.985,72.75,6475,8207,4301,33746,8107.5,0.187475658991019,0.234804438366064,-0.174778062333859,0.420303874083874,-157.805116738408
"W1-005","GmJMC110","W1",5,1,56.515,128.25,5587,7049,3591,28053,7897.5,0.203839146447095,0.29800637921889,-0.0736107191501431,0.393671860847278,-60.8877418693886
"W1-006","GmJMC053","W1",6,1,30.375,41,7259.5,8493.5,4079,32613.5,7745.25,0.198485636493794,0.213723142107949,-0.158975776603934,0.375978903897166,-142.914162210696
"W1-007","GmWMC035","W1",7,1,26.905,67.25,5888,7463,3830,32672,7554,0.191757651334586,0.245634060993387,-0.139725468301236,0.409990461019462,-134.131615085824
"W1-008","GmJMC059","W1",8,1,55.13,64.5,6358,7835.5,4440.5,33845.5,8186,0.154463453587176,0.237679245515195,-0.165252732227166,0.371945512805402,-140.883794577311
"W1-009","GmWMC006","W1",9,1,44.67,73,6744,8113.5,4305.5,34312.5,8164.5,0.178023821052215,0.227987378442344,-0.160369951962728,0.379092501358124,-155.83337471686
"W1-010","GmJMC005","W1",10,1,36.115,106,4490.5,6261.75,3311,31216,7283.25,0.1868538447092,0.313827678626219,-0.153962843364674,0.477111687825106,-124.141204081715
"W1-011","C1322","W1",11,1,54.495,80.75,6210,7789.5,4225,29980,7807,0.17842482052276,0.224211939828401,-0.0952408708594994,0.34172895669317,-87.7124484763776
"W1-012","GmJMC068","W1",12,1,46.205,79.25,7606,8233.5,4415,36136,8069,0.155197649365363,0.217542380233739,-0.170427403715375,0.403419865918745,-165.690637769291
"W1-013","GmJMC017","W1",13,1,33.085,73.75,6690,7733,3876,31677,7646.5,0.185355869549294,0.292507936286281,-0.143383110143873,0.415490046833438,-121.996762304858
"W1-014","GmJMC052","W1",14,1,35.27,47,6722.5,8531,4022,35281,8024.25,0.19708242747593,0.254367032241089,-0.167810637089334,0.439418918328437,-149.85771477578
"W1-015","GmWMC036","W1",15,1,15.63,33,7211.5,7966.25,3773.5,42516.5,7083,0.192591808042845,0.267997241286889,-0.289247344711705,0.519641012779274,-286.355132987605
"W1-016","GmJMC077","W1",16,1,48.835,105,6710,8410.75,4366,31936,8752,0.18433911564922,0.238515641416191,-0.107490409666799,0.373433300913135,-101.602994104338
"W1-017","GmWMC164","W1",17,1,65.95,80.5,7555,8805.25,4296,33976,8399.5,0.199565540583106,0.270370290802213,-0.156945062241268,0.409637571401642,-145.579157076247
"W1-018","GmWMC072","W1",18,1,57.475,75,7219.5,8054.75,4229,35827,8177.75,0.177988752975145,0.259878621868552,-0.157019783326782,0.428359129154338,-164.028764650489
"W1-019","GmWMC086","W1",19,1,30.355,71.75,6380,7594.5,4007,28610,7732,0.174118895963075,0.270243418007832,-0.0966213004973517,0.382984705407407,-78.7041861173237
"W1-020","GmJMC009","W1",20,1,18.535,90,5894,6987.75,3648,29996.5,7614.5,0.204434181319951,0.284991089633563,-0.138861035210665,0.448902428762703,-115.104974365174
"W1-021","GmWMC148","W1",21,1,36.33,75.25,6730,7288,3741,34416,7473.5,0.201903088444912,0.269348392005626,-0.210287545477981,0.474793675757995,-183.514020563242
"W1-022","GmWMC094","W1",22,1,34.1,56.25,6234,7290,3928,32487,7589,0.159893954128145,0.247695172475617,-0.160695846136992,0.406603008029085,-138.023322886884
"W1-023","GmWMC135","W1",23,1,91.095,74.75,5667,7612.5,4128,35913,7884.5,0.171617783120687,0.240119806396041,-0.194585841441441,0.41923557068037,-178.794053345848
"W1-024","GmJMC025","W1",24,1,57.995,75,6651.5,8440.5,4637,31116.5,8203,0.167852439544581,0.208237195419398,-0.123289635056388,0.35477072269632,-104.428705681488
"W1-025","GmJMC061","W1",25,1,52.11,75.5,6411.5,7854.75,4106.5,32048.5,8173.75,0.161388914222106,0.232716275019046,-0.155236602566802,0.390004328669529,-133.101821601489
"W1-026","GmJMC133","W1",26,1,62.25,56,9050.5,9489,4306,32999,8012.5,0.150421912439853,0.227196418910559,-0.13666794378025,0.370981310050205,-121.287670814153
"W1-027","GmJMC111","W1",27,1,67.29,97.75,5731,7047,3885,30320,7762.5,0.156724067870827,0.2721978004792,-0.118540848122446,0.400794904867781,-102.244936961391
"W1-028","GmWMC138","W1",28,1,42.36,47.75,7984,8574.5,3906,38002,7749,0.199479747441203,0.268302481827895,-0.227005709559028,0.487730194623327,-231.057352033841
"W1-029","GmJMC034","W1",29,1,60.06,114.75,5522,7176.5,3420,27442,7765,0.220393943524073,0.33825817052169,-0.0626303313099856,0.424606032607644,-56.8228155094269
"W1-030","GmWMC084","W1",30,1,35.405,48,6573.5,8019,3917.5,26262.5,7926.75,0.20995551368475,0.269483917508793,-0.0359521503033783,0.326661426802743,-34.9014069024685
"W1-031","GmWMC024","W1",31,1,45.38,52.5,6975.5,8394.5,4168,29705,7875,0.18634331785795,0.230257013222605,-0.0581351874736431,0.359775782450718,-55.191720108385
"W1-032","GmJMC049","W1",32,1,33.915,38,8275.5,8649.5,4375.5,36178,7863,0.178632333518821,0.197944136584396,-0.188484923257874,0.417178326756505,-190.143258332056
"W1-033","GmWMC165","W1",33,1,61.99,33.25,7051,8456.5,4544,30024,8102,0.182827642304507,0.209360746350485,-0.116810724549432,0.312909990833755,-100.504575093866
"W1-034","GmWMC176","W1",34,1,46.54,39,8612.5,9560,4393.5,29986,8339.5,0.215826210429115,0.23975696073842,-0.065016917263881,0.349458884694609,-56.3844994787216
"W1-035","GmWMC189","W1",35,1,27.525,19.5,9249.5,10247.75,5301,32951,8734.75,0.181137438528222,0.188858961276475,-0.133693389588405,0.321889692678665,-106.07388908879
"W1-036","GmJMC090","W1",36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-037","GmWMC014","W1",37,1,58.325,150,5313,6975.75,3518,28154.5,8278.75,0.223396725883447,0.35166790380984,-0.020153002771727,0.398574210788072,-29.2865192906695
"W1-038","GmWMC146","W1",38,1,52.13,32.5,7997,10037,5265,40030,9517,0.174017120782376,0.185012395907268,-0.148807045627899,0.342402032327178,-154.56169857704
"W1-039","GmJMC099","W1",39,1,23.46,48.5,6991.5,8048.75,4254.5,31003.5,8392.25,0.197092132701324,0.263780918823035,-0.0854446179990438,0.362629858439561,-87.1805629040546
"W1-040","GmWMC103","W1",40,1,34.57,57,7280,8571.75,4628.5,34159.5,8367.5,0.17900476702315,0.238234167754717,-0.13443470730603,0.377363312384303,-119.630829544074
"W1-041","GmJMC013","W1",41,1,21.37,37.75,8971,9757.5,4929,40356,8442,0.159963813145799,0.194071416023247,-0.166935037296301,0.39555277464869,-187.656438308465
"W1-042","GmWMC143","W1",42,1,44.875,78,8943.5,9471,4718.5,36698,8506,0.147583073401588,0.199963775438345,-0.161980139698719,0.388727865771827,-157.418552602066
"W1-043","GmJMC064","W1",43,1,25.87,25.5,5709.5,7657.5,4044.5,38551,8412.25,0.168508129580787,0.259793521964984,-0.145404049166115,0.419936743841743,-141.956118327303
"W1-044","GmWMC175","W1",44,1,74.94,92.5,6598,8562.5,4811,42173.5,9109.75,0.152105164257767,0.213600524803756,-0.190150985463968,0.419994448131071,-208.912241058986
"W1-045","GmWMC141","W1",45,1,34.365,24.25,7703,9167.5,5266,47392,8264.5,0.145042292359404,0.151846428145029,-0.247984128701168,0.416446669049441,-294.389792839536
"W1-046","GmJMC051","W1",46,1,54.33,100,6605.5,8443.5,4701,46347.5,8659.75,0.178465661007096,0.239021089292914,-0.246010195817002,0.466262516748131,-296.570156800659
"W1-047","GmWMC159","W1",47,1,36.46,16.5,8685,9572.75,4959.5,55360,8766.75,0.172514669692158,0.178553040949037,-0.285180380220573,0.495301068970271,-376.66216716907
"W1-048","GmJMC101","W1",48,1,75.305,125.5,5869,8196.5,4364,51669,10141.5,0.197843565916048,0.311565259006328,-0.216235013342221,0.525051988898257,-287.793019149876
"W1-049","UA-4805","W1",49,1,38.765,43.6666666666667,7731,9673.5,5872,56545,10162,0.148863760880281,0.190825215062519,-0.244853438751156,0.480618256843193,-341.890565277971
