"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W1-001","GmWMC152","W1",1,1,51.755,1114.25,2584,4303.5,1927,26574,8408,0.278885081706552,0.557868005443615,-0.000944102847942066,0.590749458502271,-15.701773602003
"W1-002","GmJMC008","W1",2,0,10.43,325.5,5830.5,7690,4181.5,38100,8912,0.199918577616594,0.288951035415523,-0.137999327218821,0.434144671004921,-128.232556884325
"W1-003","Tachiutaka","W1",3,0,30.815,811.25,4723,5802,3119,31929,8854.5,0.198812652167624,0.372395215418784,-0.0774173088904645,0.479364063276541,-70.3642292197719
"W1-004","GmWMC185","W1",4,1,56.985,1142.5,2729,4715,2031,28905,8584,0.29539320494055,0.565555202600002,-0.0239531931274546,0.59461568541569,-30.562761914855
"W1-005","GmJMC110","W1",5,0,56.515,1387.25,1802,3872,1452,28026,8499.5,0.342149906651514,0.679572519714173,-0.0117569560160271,0.679130001275318,-26.7150240900069
"W1-006","GmJMC053","W1",6,0,30.375,924.25,3979,5749.5,2985,30593,8445,0.220322749999901,0.383319924862572,-0.0657760801794871,0.49232113797711,-59.7486714323209
"W1-007","GmWMC035","W1",7,0,26.905,936,2961,4706.5,2116,27850,8723,0.273683549940083,0.53302556754112,-0.0254372186724291,0.566726288808158,-33.0689813675347
"W1-008","GmJMC059","W1",8,0,55.13,1142.5,2094,3786,1590,26728,8914.5,0.294086470215586,0.660268708975601,0.0199150643411986,0.657040698083077,-8.17883201661054
"W1-009","GmWMC006","W1",9,0,44.67,806.25,4660,5746,2930,29839,8762.5,0.215275806417557,0.39058838630257,-0.0395504447538997,0.480926910171622,-45.2207621908401
"W1-010","GmJMC005","W1",10,0,36.115,762.5,3263,4752.25,2386.5,27657,8643.5,0.244054787872069,0.502819007728663,-0.0271021290363172,0.550920194581348,-32.9732052034549
"W1-011","C1322","W1",11,0,54.495,1144,2383.5,4004.25,1749,26518.5,8713.5,0.288779859417885,0.612517670854889,-0.00201255914023539,0.626562276664975,-18.7485033128601
"W1-012","GmJMC068","W1",12,0,46.205,1034.25,2530,4254.5,1959.5,26312.5,8436.75,0.273820843379992,0.588288999895997,0.00230711488894743,0.596381599698022,-13.9979834128404
"W1-013","GmJMC017","W1",13,0,33.085,883,2381.5,4254,1726,29158,8786.5,0.306040726042541,0.631346785400844,-0.022800532604682,0.65334511398929,-34.7235601759784
"W1-014","GmJMC052","W1",14,0,35.27,641.5,4268,6037.25,3170.5,33715,8897,0.207198495125348,0.403497972913526,-0.0782386566281864,0.50709856100642,-76.3536199602443
"W1-015","GmWMC036","W1",15,0,15.63,430,3245,4949,2243.5,32025.5,8970.5,0.278329538645716,0.543460755228999,-0.0669902063732409,0.601931857632705,-66.4136015598479
"W1-016","GmJMC077","W1",16,0,48.835,1288.5,1974,3727.5,1465,26263,8349,0.328753491305696,0.667480636668709,0.0195691331231507,0.663526620626734,-6.30022997440489
"W1-017","GmWMC164","W1",17,1,65.95,1028.75,1974,3789.5,1371,25315,7984,0.356732768923993,0.673182059410723,-0.00339169050153985,0.673643990159953,-16.0819679796341
"W1-018","GmWMC072","W1",18,1,57.475,958.25,3261,4816.5,2291,28320,8496.5,0.256000287379713,0.505733639326999,-0.0278753376390642,0.567316691294843,-34.4859045993261
"W1-019","GmWMC086","W1",19,0,30.355,707.25,4767,6215,3322,32393,9093,0.199242373172228,0.385242191832176,-0.0505896853901149,0.458877543860087,-53.4845825124796
"W1-020","GmJMC009","W1",20,0,18.535,711.75,4151,5859,2978,32239,8887,0.227730455358036,0.425192286778591,-0.0684834702452136,0.506654337627747,-67.9297444196504
"W1-021","GmWMC148","W1",21,1,36.33,793.25,3635,5258.5,2294,29586,8608.5,0.294193433945001,0.512667633368039,-0.0560827916587014,0.580102753034019,-53.3801385853131
"W1-022","GmWMC094","W1",22,0,34.1,738,4595.5,5741.5,2805.5,32530.5,8467,0.235791028418453,0.3901379341832,-0.113597893040128,0.517026312593974,-96.992299487637
"W1-023","GmWMC135","W1",23,1,91.095,1399.25,2386,3821.5,1725,23515,7305,0.27547688293549,0.552539789956975,-0.013974402800815,0.580431398347759,-19.7002848690411
"W1-024","GmJMC025","W1",24,0,57.995,1158,3215,4560.75,2199,26111.5,8201.25,0.252465571694172,0.509960158269122,0.00339605096805746,0.548974394086458,-13.9702789212693
"W1-025","GmJMC061","W1",25,0,52.11,948.75,2901.5,4331.75,1995,25928,7907.5,0.268783857050388,0.530543972664385,-0.0394027838402255,0.581023466754581,-36.2612467109864
"W1-026","GmJMC133","W1",26,1,62.25,928.5,4296,5529,2659,27866,7906.5,0.245246299467525,0.391065260275685,-0.0577382011393052,0.48643604808868,-49.7070444044563
"W1-027","GmJMC111","W1",27,0,67.29,1219,2751.5,4105.5,1824.5,25255,8109.75,0.285205443251794,0.567003393503635,0.002133348608637,0.587775623406432,-10.7067476134069
"W1-028","GmWMC138","W1",28,1,42.36,685.75,2294.5,4289.25,1739.5,26250.5,8414.75,0.329311174992996,0.613583597070796,0.0129825483229074,0.623830068509728,-8.76383798163261
"W1-029","GmJMC034","W1",29,0,60.06,1085.75,2075,3362,1552,21755,8197,0.257834524903775,0.629684370962549,0.0901743443310747,0.585431725134666,35.6513549857163
