"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W1-030","GmWMC084","W1",30,0,35.405,589.25,2482,4176.5,1807,24729,8003,0.296720465853146,0.5920111025454,0.0261815658241255,0.59807617151287,0.210013187888669
"W1-031","GmWMC024","W1",31,0,45.38,881.25,2390,4103.5,1773,25731,8218,0.289857676693963,0.595322340195718,0.0162333938241204,0.598049286550765,-6.13634614358298
"W1-032","GmJMC049","W1",32,0,33.915,692,3230.5,5012,2484.5,27958,8384.25,0.242058383676646,0.475653922921901,-0.0116704089147376,0.529833216516842,-24.0647456804852
"W1-033","GmWMC165","W1",33,0,61.99,829.5,2640,4331.5,2008,25865,7965.5,0.269597837086807,0.54582340333866,0.00137079519455094,0.563278750429454,-14.9886509723107
"W1-034","GmWMC176","W1",34,1,46.54,786,2228.5,4357.25,1656,26791,8106.5,0.34440554008734,0.620708873594514,0.00265815504518557,0.63308320730488,-16.0792967352567
"W1-035","GmWMC189","W1",35,1,27.525,403,5436,7645.5,3844,33474.5,8349,0.228164828153765,0.274030709195934,-0.0971230865398075,0.409087332847647,-83.8004992479966
"W1-036","GmJMC090","W1",36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-037","GmWMC014","W1",37,0,58.325,1069.5,2246.5,3974,1744,24475.5,8090.75,0.29230421007245,0.599832665068608,0.0355330545561125,0.59673898765237,5.86338916649348
"W1-038","GmWMC146","W1",38,1,52.13,884.75,2779,4659,1952,27116,8220.5,0.311292641803977,0.555739160660598,0.000122758242802529,0.585963539934069,-14.7239315339452
"W1-039","GmJMC099","W1",39,0,23.46,677.75,3991,5830.5,2856,28998,8595.5,0.236927327936488,0.424724268465675,-0.00234740979120438,0.46564486692179,-14.7461064037237
"W1-040","GmWMC103","W1",40,0,34.57,527.25,4380,5671.5,2955,27018,8426.5,0.221027037898559,0.380601989661198,0.00528526716646322,0.450329762331852,-8.65990498178943
"W1-041","GmJMC013","W1",41,0,21.37,544.5,5287,6996.25,3855.5,30173.5,8707.75,0.189533488670874,0.316205842102269,-0.0103405211843963,0.380007773697507,-20.1017880345831
"W1-042","GmWMC143","W1",42,1,44.875,1768.5,3893,5325,2823,26216,8381.5,0.219706106098435,0.414268151904729,0.0287494985301287,0.433531563310781,3.47025557443507
"W1-043","GmJMC064","W1",43,0,25.87,223.25,5183,6491.5,3613,28091,8430.5,0.182410152332245,0.280412982532114,0.000429265297617005,0.334991478449965,-9.05376904003832
"W1-044","GmWMC175","W1",44,1,74.94,1419.75,2671,4313,1985,24759,8437,0.266823266778927,0.55730236071364,0.0802703138329367,0.528692760664778,34.6331574925145
"W1-045","GmWMC141","W1",45,1,34.365,687,4346.5,6108.25,3206,27882.5,8506.75,0.228361161567125,0.37468574557429,0.0242742855188927,0.410425160250889,4.82353561144836
"W1-046","GmJMC051","W1",46,0,54.33,1307.5,2838,4668.5,2176,26733,9271.25,0.2690682050415,0.570676020270549,0.0859446202628519,0.540288406640388,41.4861442249778
"W1-047","GmWMC159","W1",47,0,36.46,608.75,3602,5792.5,2628.5,30537,10069.75,0.290172028738988,0.529020132734283,0.0645457126187753,0.52025669321556,31.645161884639
"W1-048","GmJMC101","W1",48,1,75.305,1441.5,1884,4053.75,1529.5,26310.5,9953.5,0.332876816368103,0.70199824663173,0.122105736572721,0.634344790347839,67.5579493803743
"W1-049","UA-4805","W1",49,0,38.765,670,5289.5,6718.75,3580,29111.5,9878,0.206650767115818,0.398916422347582,0.075668634279436,0.391312488345635,43.3518276322213
"W1-050","GmWMC147","W1",50,1,85.305,1502,2477,4622.75,1906,27449.5,10375.5,0.306827667198206,0.650760136365111,0.131050765364037,0.581525242534099,77.9956722544386
"W1-051","GmJMC054","W1",51,1,81.075,817.5,2819.5,4880.25,2217,30225.5,10053.5,0.267108020390043,0.587658453938155,0.0337093651315008,0.584432565496137,3.43672994447274
"W1-052","GmWMC125","W1",52,1,87,1465,1728,3636.5,1496,26827.5,9093,0.325933648727572,0.682273153864369,0.0352667346748686,0.666974181119491,3.01318363759942
"W1-053","GmWMC155","W1",53,1,48.83,944.75,3176,5691.5,2432,33536,9627.5,0.310069618663699,0.544406615653487,-0.0417271055331998,0.594926607678788,-52.9239232105535
"W1-054","GmWMC108","W1",54,0,23.97,537,6280,8395.5,4585.5,41340,10007.5,0.183189948800022,0.290122107652072,-0.115164889302893,0.420092386279347,-123.025921067828
"W1-055","GmJMC056","W1",55,0,33.38,628.75,4899,7005.5,3615,35032,9229,0.189266070016375,0.319734438455848,-0.0884087455167805,0.44229071380207,-88.4195727775842
"W1-056","GmWMC166","W1",56,1,54.855,637.75,5007,6913.5,3667,35042,9091,0.190882513956084,0.318839045693146,-0.0988447132965112,0.434084193633556,-88.561685495329
"W1-057","Houjaku Kuwazu","W1",57,0,65.675,1259.25,1853,3990,1547,26864,9096,0.31936397361009,0.669506229482159,0.0389986323783627,0.650926793606608,6.47881250340768
"W1-058","GmWMC163","W1",58,1,80.14,492,3085.5,5202.25,2321.5,32015.5,8860.5,0.260515317769121,0.494312033513876,-0.0665794303757928,0.578063124354534,-65.5555619775902
"W1-059","GmJMC095","W1",59,1,37.175,1163.75,2770,4614.5,2125,27766,8926.5,0.272345473577612,0.551150985639218,0.0104416160413094,0.579291900153195,-11.444292918908
"W1-060","GmJMC172","W1",60,1,72.12,1179,1938.5,3886,1676.5,27143.5,9236.25,0.307542069093204,0.640610193413886,0.0312745510520586,0.643779253290066,1.13946529511309
"W1-061","GmJMC003","W1",61,0,37.33,654.75,4768,6390.5,3421,34323,9714,0.205930523923553,0.41574255872258,-0.0441203589374156,0.485087276049147,-53.8176808899043
"W1-062","GmWMC174","W1",62,1,51.23,680.75,5471.5,7393.75,4158.5,36433,9698.25,0.187400391420521,0.327137592051318,-0.0763774429737383,0.438757566991943,-78.7515179033567
"W1-063","GmJMC085","W1",63,1,59.835,1384.25,2735,4859.5,2213,31396,9868,0.277056577775011,0.587332143704759,0.0108182972777893,0.609528756187612,-13.2217548047704
"W1-064","GmJMC078","W1",64,0,62.355,1037.25,3492,5184,2519,30245,9103.5,0.258837764026688,0.500297739125996,-0.0214863569250197,0.563268556555857,-33.2474977955382
"W1-065","GmJMC179","W1",65,1,81.4,1370.25,1990,3838.5,1566,27738.5,9104.75,0.320778746333622,0.662280301188364,0.0162975848750194,0.672000319003407,-9.97013123872874
"W1-066","GmWMC119","W1",66,0,60.94,1126.75,2512,4220,1890,27359,9196,0.281721208386592,0.61354237916228,0.032633726740302,0.614217060269165,2.4895123569757
"W1-067","GmJMC126","W1",67,1,76.66,951,3022.5,4857.25,2348.5,29515.5,9260,0.262450812748768,0.543873796885403,0.0209291074533926,0.572774936546721,-4.67676282144925
"W1-068","GmWMC182","W1",68,1,40.835,685.75,5719,7546,4004,35748,9367,0.197084296194179,0.316628588150165,-0.0824184501619411,0.41378551862754,-79.3778896663902
"W1-069","GmWMC019","W1",69,0,23.13,575.5,3960,5586.25,2797,30935.5,9120.75,0.239297723348644,0.477087200029456,-0.0464309891962405,0.537068651470838,-51.9998337422006
"W1-070","GmJMC177","W1",70,1,73.695,1305,2267,4232.25,1775,27996.5,9035.25,0.30522701323958,0.629382539296045,0.0199248832573131,0.645382550812195,-6.46722491764066
"W1-071","GmWMC127","W1",71,1,54.145,1168,2474.5,4558,1993,28526.5,9057,0.299055698452327,0.595158178691757,0.0090186978405811,0.614981140459372,-13.2905225841334
"W1-072","GmWMC115","W1",72,0,67.51,1041,3704,5566.5,2634,33430,8924.5,0.263484023123882,0.48043167298468,-0.0789656919736137,0.578624283234015,-76.6048159507036
"W1-073","GmWMC038","W1",73,0,23.58,NA,5472.5,7579,4190.5,47556.5,9066.25,0.172381950211387,0.271019842013665,-0.182611550811582,0.46066976316896,-218.387155199336
"W1-074","GmJMC021","W1",74,0,42.335,848.25,4418,5639,3020,30070,9020,0.19583659116305,0.414862594413591,-0.0457441406878901,0.485760607313641,-46.0120995138876
"W1-075","GmWMC160","W1",75,1,27.58,557.75,5982,7538.5,3860,38021,9239.5,0.208595968134457,0.313229372275511,-0.115647180396497,0.456900870393952,-112.609095084235
"W1-076","GmJMC055","W1",76,0,36.565,889.75,3744,5373.5,2632,29277,8876.5,0.24238201379327,0.473066063756648,-0.0171467814201713,0.525838621333164,-27.9269435357697
"W1-077","GmWMC046","W1",77,0,30.865,538.75,4764,6264,3603,30628,8626.5,0.161372784256886,0.352051911079883,-0.0378109244509024,0.419089499325576,-44.0326703724232
"W1-078","GmJMC030","W1",78,0,25.335,488,4676,6400.25,3448,32892.5,9293.5,0.19796490347265,0.392700362424784,-0.0551657085606131,0.460606869982098,-62.3987304469683
"W1-079","GmWMC070","W1",79,0,36.885,986,4228,6067,3072.5,32888,9989,0.227057679654239,0.461135366227637,-0.00169490580169993,0.506542410992462,-18.3595662623539
"W1-080","GmJMC092","W1",80,0,73.705,1579.75,2954,4524.5,2286,26577,8885.5,0.229642846275708,0.538918312778778,0.0427738158955569,0.535079554360456,11.5998616937223
"W1-081","GmJMC180","W1",81,0,35.145,857.75,3686,5196,2601,28515,8782.5,0.222365676958011,0.437060905498083,-0.00964942064917665,0.504761205368487,-23.1374785053062
"W1-082","GmJMC104","W1",82,0,40.195,1044,3602,5085,2513.5,28696,8699,0.226511286479629,0.472915643299304,0.00381225255158013,0.535288038185831,-14.5921406411691
"W1-083","GmWMC089","W1",83,0,47.23,695,4410.5,6041.75,3262.5,31012.5,8979.5,0.197439559576178,0.384370846724877,-0.040659825979841,0.464584509647659,-46.4623004348274
"W1-084","5002T","W1",84,0,30.21,708,5408,7640,4146.5,37167,9949.25,0.199786062337377,0.341231877346247,-0.064399578072354,0.434754278995161,-70.6246502690643
"W1-085","GmWMC020","W1",85,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-086","GmWMC156","W1",86,1,43.82,773.75,4161,6343.5,2946,32357,9127,0.253963381508699,0.432318184782346,-0.0470060951498225,0.511193250295541,-51.2505081983007
"W1-087","GmJMC096","W1",87,1,74.585,1013.25,3454,5347.5,2529,30241,9319.5,0.25574661186097,0.506939583827391,0.0158897713420368,0.558023119451468,-7.39194482739809
"W1-088","GmJMC093","W1",88,1,45.765,1216,2960.5,4992.5,2209,29181,9397.5,0.279741730572457,0.562993944462239,0.035136458853105,0.566410093181435,7.31752379926675
"W1-089","GmWMC169","W1",89,0,33.465,909.25,2768,4514,2095,27707,9063.5,0.263393514451026,0.567402478640106,0.0431816840602631,0.570711847433539,11.0876999250723
"W1-090","GmWMC134","W1",90,0,20.49,488.25,2742,5499,2242,31697,9769.5,0.318078729747813,0.582214009805416,0.00836564297194735,0.595419240096985,-13.3292452578645
"W1-091","GmWMC120","W1",91,1,29.615,278.5,6212,7576,4203,32113.5,8426.25,0.184392815877349,0.237247944475035,-0.0656611771687718,0.346280733980369,-58.237802503129
"W1-092","GmJMC080","W1",92,0,64.23,1233.75,2030,3720,1501,24964,8983,0.316645668146843,0.676883267537296,0.0901101054220876,0.639885779791642,40.4878635341198
"W1-093","GmJMC100","W1",93,0,67.745,1424,2819.5,4797.25,2256.5,28577.5,9372,0.268076876362624,0.563126106124646,0.0513346448353237,0.556208197143321,18.1603593758186
"W1-094","GmWMC140","W1",94,1,26.32,526.25,5073,6704,3513,30884,9206.5,0.224779600683756,0.355798453109057,0.00745315282595228,0.413359105144395,-10.3660417413117
"W1-095","GmJMC145","W1",95,1,56.68,1033.25,3461,5330,2683,26984,8967,0.235340350956332,0.48583618071636,0.057004980532251,0.465907808017066,24.7999661878735
"W1-096","GmJMC098","W1",96,1,56.59,1047,3310.5,5689.25,2661.5,31029,10164.75,0.267953400034023,0.527317938735983,0.0437687504922795,0.52159990097911,15.2991961232906
"W1-097","GmJMC116","W1",97,0,58.99,1033.5,4278,6146.5,3192,30240,9863.5,0.214184297584292,0.45309887423193,0.050172246493007,0.442906696547737,23.0322304788386
"W1-098","GmJMC041","W1",98,0,39.845,776,3850,5592,2987,28415,10618,0.201996617654597,0.50829029817457,0.111907825393533,0.474270991615575,68.3562302877759
"W1-099","GmWMC154","W1",99,1,55.95,1137,1953.5,4021.25,1594.5,27495.5,10650.75,0.335853651091559,0.70243659092142,0.133937304375465,0.64394338695789,81.3547569966786
"W1-100","GmJMC114","W1",100,0,68.795,955.25,3789,5862,2883,32133,11512.5,0.226985107372946,0.543664140217906,0.0904508372280989,0.499860494595399,54.6412913816161
"W1-101","GmWMC191","W1",101,1,77.42,934,2635,4004,1823,23954,6748.5,0.255863491856155,0.507085356200052,-0.0391931677552789,0.555435739541035,-34.7581983928866
"W1-102","GmJMC063","W1",102,0,42.45,1336.66666666667,2923.5,4122.75,2049.5,24705.5,7338,0.230238760537306,0.49940572952886,-0.0131951999778216,0.558001262718115,-21.163784430661
"W1-103","C1329","W1",103,1,61.635,1007.75,2427,3985,1769,24140,6956,0.27420216938226,0.542958810550571,-0.0328876504620958,0.576473314525605,-31.0593222970733
"W1-104","GmWMC027","W1",104,0,58.36,847.25,2701,3861,1885,23122,6853.5,0.249046790816086,0.497254137966419,-0.0165698960273356,0.551607993878357,-22.1140726663399
"W1-105","GmWMC022","W1",105,0,26.615,864.25,1854,3161,1441,22460,7493.5,0.278276746490599,0.627929966492539,0.0206862802572461,0.640562474111544,-5.05122011171153
"W1-106","GmJMC044","W1",106,0,38.07,893.25,2133,3244.5,1567,22181,7067.5,0.24792117199375,0.591885861891724,0.00849843294690211,0.600063206340178,-10.406807791521
"W1-107","GmWMC107","W1",107,0,47.59,847.5,2346,3662,1719,21671,6665,0.263124098371921,0.544690506766334,-0.0139851315106451,0.563810335747927,-19.9926835802307
"W1-108","GmWMC029","W1",108,0,54.545,909.25,2511.5,3868,1919,22880.5,7068.75,0.246098870398341,0.506623556709579,-0.0044353626541688,0.541433502161506,-16.2700023216794
"W1-109","GmWMC142","W1",109,1,53.225,708.5,2881,4437,2173,25897,7343,0.25747468268481,0.479540670500156,-0.0538944886958146,0.530790039672272,-45.2806924681156
"W1-110","GmJMC031","W1",110,0,47.045,845.25,2813,4128.5,2050,24803,7181.5,0.245650331738875,0.494142460739565,-0.0406215380702969,0.553271393058011,-38.4215172470791
"W1-111","GmJMC105","W1",111,0,35.59,842,2625,3880.75,1961.5,24214.5,7104.75,0.233444645388631,0.50552975284573,-0.035051867800157,0.576212210523791,-32.9409461841969
"W1-112","GmJMC069","W1",112,0,48.85,669,3031,4307,2244,25042,6756,0.23080209775359,0.425468539058067,-0.0753878667473796,0.522147385410602,-54.6221303577777
"W1-113","GmWMC150","W1",113,1,20.855,502,2821,4325.5,1990,28192,7671,0.276008679741254,0.525425275632752,-0.0925553610992897,0.615365275015868,-67.1832498368978
"W1-114","GmWMC083","W1",114,0,17.565,609.75,3764,5132,2598,29694,7705,0.238482001453092,0.406706395806432,-0.102975298634029,0.531467526257648,-79.9562204250454
"W1-115","GmWMC113","W1",115,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-116","GmWMC151","W1",116,1,49.535,985.25,2109.5,3749.75,1607,25082,7577,0.305505477718479,0.600698265645371,-0.0229877053339035,0.633108531195616,-28.3783780108531
"W1-117","GmWMC010","W1",117,0,8.745,173,5213,6341.25,3543,40795.5,7491.5,0.18046814858446,0.266844570736212,-0.255158334760214,0.518302640660941,-234.566575558461
"W1-118","GmJMC016","W1",118,0,44.135,752,2772,3678.5,1798,23438.5,7328.25,0.236162394718421,0.536022833808202,-0.00576124382218511,0.584978169203689,-18.8601720978236
"W1-119","GmWMC183","W1",119,1,54.09,634.5,3751,4922,2572,26809,6986.25,0.20722075962705,0.371892315764369,-0.112245209213311,0.485855759654332,-79.004179271432
"W1-120","GmWMC124","W1",120,0,37.865,569.5,3757,4716.5,2534,24344,6805.75,0.200514904606504,0.366873976922055,-0.060162081133531,0.464288797270059,-43.980085965252
"W1-121","GmWMC123","W1",121,1,66.92,809,1814,3314.25,1381,21591,6575,0.291717527407003,0.61341161420768,-0.00214641306128717,0.613687320310576,-14.8513607650256
"W1-122","GmJMC004","W1",122,0,16.05,446.5,3164,4269,2211,26150.5,7647,0.222302383361557,0.477228299239344,-0.0475294611062174,0.559205564122203,-40.6115933723958
"W1-123","GmJMC091","W1",123,0,49.39,753.75,1945,3410,1436,23443,6667,0.287170328826449,0.592846740912903,-0.0190982210053172,0.626347344387397,-22.7530660932233
"W1-124","GmWMC129","W1",124,1,29.355,342.25,4953,5788.5,3083,30021,6929.5,0.182906839590422,0.27143551842329,-0.150343673431633,0.434516241600036,-106.985915450053
"W1-125","GmWMC012","W1",125,0,62.335,583,2628.5,3779,1846.5,23213.5,6734.5,0.238999692530106,0.499280472668914,-0.0377966650715145,0.573230972283449,-33.054620392077
"W1-126","GmWMC045","W1",126,0,23.06,587.333333333333,3612,4713.75,2573,26635,7275.75,0.204501737947656,0.401112025589564,-0.0707201284364019,0.507400369440365,-55.8391114652157
"W1-127","GmJMC040","W1",127,0,40.8,693.5,3346.5,4583.25,2342,25582.5,7246,0.234045290700707,0.431940823148647,-0.0473611779712445,0.510297488917052,-41.4984939785689
"W1-128","GmJMC079","W1",128,0,62.48,768.5,2622.5,3705,1901.5,22280,6971,0.229501957907531,0.509932308238698,-0.00264527248530095,0.540283439972692,-16.2976044135237
"W1-129","GmWMC018","W1",129,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-130","GmWMC015","W1",130,0,31.04,679,2503,4009,1893,25011,7554.5,0.266689363899338,0.545617822237348,-0.0282050331263425,0.584139452242854,-29.1406588458954
"W1-131","GmJMC102","W1",131,0,30.835,867,2831,4325.5,2171,25444.5,7377.5,0.228353083737617,0.493291129775804,-0.0312059596379406,0.541003635429426,-32.6001501757096
"W1-132","GmJMC043","W1",132,0,27.595,706.5,4233.5,5344.25,2953,27360.5,7431.75,0.19089297149251,0.337694158786483,-0.0626734886882968,0.430508186118211,-49.1827153424037
"W1-133","GmWMC066","W1",133,0,37.345,548,3497,4711,2575,25495,7303,0.196392904309644,0.400168936673582,-0.0325162910922278,0.468040226062446,-31.6638708395922
"W1-134","GmWMC073","W1",134,0,24.625,444,4422,5691.5,3151,28496,7246.5,0.184548139799306,0.310957454884952,-0.105335523958476,0.440413200986917,-79.0463697072732
"W1-135","GmWMC132","W1",135,0,54.675,624.75,2682,3850.5,1945,21440,6702,0.219444962044186,0.497634103035778,0.0102093246519429,0.500120389548608,-7.67155964313306
"W1-136","GmWMC170","W1",136,1,52.145,695,1381,2745,1121,20649,6950,0.332931738310101,0.690215524689265,0.040413383362907,0.662806956690218,5.32846778938637
"W1-137","GmJMC033","W1",137,0,46.42,724.25,2321,3406,1718,21138,7274,0.225861180120793,0.565289524122738,0.0425394632660842,0.558319012720457,8.87740420395574
"W1-138","GmWMC144","W1",138,1,52.545,836,2590,3983.5,1902,23147,7077.5,0.251305124472265,0.519771389771989,-0.00489405968180356,0.542396786048245,-15.9924614614092
"W1-139","GmWMC118","W1",139,0,58.585,940,1641,2835.75,1324,19035,6678.25,0.269315072094086,0.623535834901069,0.0686012092779037,0.574801402111848,19.4087554116385
"W1-140","GmJMC139","W1",140,1,76.59,1409.5,1442,2860,1178,19770,7125.5,0.299363071261737,0.68812172940369,0.0748509511292689,0.632128181751327,23.885677557086
"W1-141","GmWMC171","W1",141,0,69.97,1137.5,1364.5,2979.5,1125,20900.5,7173.25,0.347769084149626,0.701126445802942,0.0618549643692254,0.668664741328265,16.7791870009048
"W1-142","GmJMC002","W1",142,0,16.78,329.25,4926,6193.5,3651,27665,7919,0.153201896880904,0.300930746406588,-0.0251981224338669,0.36002046557876,-28.0927612334724
"W1-143","GmWMC048","W1",143,0,44.625,909,3450,4922.5,2424,24463,7423.5,0.239907426299676,0.461113535865785,-0.00316633890341196,0.483856197920715,-14.9042459745586
"W1-144","GmJMC057","W1",144,1,28.015,669.25,3791,5457.5,2772,27265,8153,0.228245010316209,0.407639647661344,-0.00665217216680515,0.447187471807158,-17.4889848928908
"W1-145","GmWMC186","W1",145,1,24.86,295,6278,7953.75,4343.5,31016.5,8224.25,0.1800773882241,0.220308820834301,-0.0673665315400122,0.311898878578927,-57.570053199503
"W1-146","GmWMC075","W1",146,0,49.205,502.75,4109,5733,3092,28066,7974.5,0.198963608760115,0.36186284126719,-0.0322110895761864,0.418833319511503,-34.4908841877518
"W1-147","GmWMC011","W1",147,0,16.57,601,5408,6942.25,3767.5,31059.5,8738.5,0.186620258379252,0.275927790682132,-0.0437701795703815,0.369837498753765,-46.3373411409999
"W1-148","GmJMC081","W1",148,0,47.005,826,5606.5,7299,3974,31014.5,8629.25,0.173239182127839,0.276147659008802,-0.0505495557776621,0.348498887654042,-48.1493030695358
"W1-149","GmJMC130","W1",149,0,52.07,540.75,5982,6967,3976,30603,8580,0.153956501291538,0.270315970673792,-0.0395544115846359,0.344310985372964,-39.5752787385162
"W1-150","GmWMC071","W1",150,0,49.26,1167,2534.5,3889.75,1848.5,24968.5,9245.5,0.24727770638997,0.596566114404262,0.102527106354724,0.559910687327419,48.8960082805615
"W1-151","GmJMC062","W1",151,0,16.775,837,4294,5975,3103,30650,8197.25,0.214004975284514,0.372421530548914,-0.0702612054249589,0.478583800694055,-62.9132565883545
"W1-152","GmWMC178","W1",152,0,48.22,753.5,3669.5,4885.75,2461.5,26382,7470.25,0.226029187923638,0.420071099044085,-0.0433590624478939,0.512442556706557,-39.3176473721199
"W1-153","GmWMC157","W1",153,1,15.23,297.75,5591,7509,3870,41072,8466.5,0.210625329350311,0.275182813944798,-0.208833776245533,0.476782099267699,-191.789698756023
"W1-154","GmWMC001","W1",154,0,18.05,361.25,4855.5,6411.25,3705.5,39041,8628,0.169778104010263,0.317885512753213,-0.156326529683941,0.475779614510371,-151.389290865542
"W1-155","GmJMC161","W1",155,1,49.54,1206.75,2758,4351.5,2023,26211,7745.5,0.262686592093475,0.526399289793433,-0.0206378113099094,0.588751024395578,-29.0864345389593
"W1-156","GmJMC149","W1",156,1,74.505,1607.5,2153,3873,1771,25501,7962,0.274645677930535,0.585750187412846,0.0104701111128564,0.617800154733105,-11.0471618402466
"W1-157","GmJMC065","W1",157,0,60.68,1255.75,3277,4936.5,2459,28079,7967.5,0.230585044532815,0.469108493845023,-0.0371534482843065,0.536043893742804,-40.1796892954361
