"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W1-001","GmWMC152","W1",1,0,51.755,1877,1160,2790.5,1072.5,23565,9155,0.342347874437438,0.750449350530232,0.0965550980529137,0.699958218718489,36.1314177773362
"W1-002","GmJMC008","W1",2,0,10.43,422.75,6275,8004.5,4054,37184,9773,0.208736951012242,0.291776185601027,-0.0939214774358123,0.428798874255194,-89.321412626354
"W1-003","Tachiutaka","W1",3,0,30.815,1350.25,3140,4444,2232,27738,9592,0.229892458097714,0.539309541191756,0.0318186250220477,0.563882208185514,2.64398490736878
"W1-004","GmWMC185","W1",4,1,56.985,1893.5,1588,3464.5,1366,24405.5,8800.25,0.332157038706364,0.699093993229355,0.05548241660154,0.670958799461782,15.4587463332418
"W1-005","GmJMC110","W1",5,0,56.515,2207,1532.5,3104.25,1225,24894,9531.5,0.334949061120966,0.745840803026985,0.0983072808824028,0.683281572332982,40.5585357030487
"W1-006","GmJMC053","W1",6,0,30.375,1606.75,2920,4415,2182,27329,9271.5,0.247353463404028,0.538160813239599,0.0277264881680125,0.549974387452511,1.32184829029878
"W1-007","GmWMC035","W1",7,0,26.905,1481,2118,3682,1667,26105,9323.25,0.273082101190685,0.613111936550929,0.0472136082165902,0.615186790153051,11.0790250939206
"W1-008","GmJMC059","W1",8,0,55.13,1758.5,1294.5,2538,1129,23261,9377.5,0.291506001317502,0.755895072304795,0.120465664057893,0.694348035705259,49.0346519427849
"W1-009","GmWMC006","W1",9,0,44.67,1261.25,3282,4449.5,2169,27716,9474.5,0.239267412807033,0.538580070020144,0.0193478924152788,0.542860400156223,-3.08462229473555
"W1-010","GmJMC005","W1",10,0,36.115,1065.5,2031.5,3346.75,1465.5,25536,9641,0.280878976730723,0.692148481634732,0.085798982616762,0.654198588759214,33.3238312932204
"W1-011","C1322","W1",11,0,54.495,1683.5,1505.5,2720.25,1228,22903.5,9162.75,0.280954815773566,0.725710213839806,0.105243680328928,0.668765255410134,42.9727011940797
"W1-012","GmJMC068","W1",12,0,46.205,1797,1559,2933,1278,23754,9517.5,0.288276631754519,0.734432419523243,0.104235772223124,0.660512671740227,42.7846137763581
"W1-013","GmJMC017","W1",13,0,33.085,1492.5,1694,3149,1316,24893,9269.5,0.295786052760675,0.729492637528093,0.0961713860438729,0.669606676919862,39.0780747598459
"W1-014","GmJMC052","W1",14,0,35.27,1011.5,2816.5,4375.75,2106.5,29697.5,10099.75,0.260477118639827,0.591093231514118,0.037917740734062,0.587028308842951,7.07639233609266
"W1-015","GmWMC036","W1",15,0,15.63,826.5,2316.5,3847.25,1711,27835,9192.25,0.260363582738665,0.531256591410064,-0.00156065798733463,0.6263951865798,-19.762176989799
"W1-016","GmJMC077","W1",16,0,48.835,1945.5,1200,2548,1056.5,23018,9411.75,0.326713792639774,0.77148591299962,0.124186960307757,0.712196106654564,53.8029488428392
"W1-017","GmWMC164","W1",17,0,65.95,1914.75,1379,3078.5,1139,23315,9145.5,0.348750322585909,0.747128386189867,0.0969556491865701,0.69341625547904,34.4311738762378
