"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W1-018","GmWMC072","W1",18,0,57.475,1669,1736,3445.25,1382,25452.5,9684.25,0.312917021868688,0.713438880011899,0.076789726664121,0.661300867762919,28.7719909139221
"W1-019","GmWMC086","W1",19,0,30.355,965,4468,5827,2994,32222,10096,0.21620370589244,0.465795351091276,-0.0111577929325773,0.506530582851731,-25.8820614944306
"W1-020","GmJMC009","W1",20,0,18.535,1143,3003,4319.5,2123,27710.5,9580.75,0.223450165467405,0.55454450261206,0.0378363098004677,0.55616686607946,6.46232956905295
"W1-021","GmWMC148","W1",21,1,36.33,1399.25,1584.5,3631.25,1364,26001.5,9574,0.345751445518549,0.720667680716832,0.0642369030875156,0.672024934337745,21.482360056943
"W1-022","GmWMC094","W1",22,0,34.1,1522.5,2281.5,3645.25,1710,24822,8249.5,0.240088970873096,0.576130466496361,0.00802894428159191,0.59248399811814,-11.8237418972382
"W1-023","GmWMC135","W1",23,0,91.095,2104.5,1297,2817.25,1127.5,23491.5,8704.5,0.315153651354164,0.73396815785125,0.0992267587395959,0.690863840477472,36.5270751342908
"W1-024","GmJMC025","W1",24,0,57.995,1578.5,2007,3325.75,1529,24275.5,9299,0.269382442252911,0.669165055735548,0.0971232246959184,0.6285591317911,40.7317198740145
"W1-025","GmJMC061","W1",25,0,52.11,1452,1612.5,3273,1320.5,23650.5,9075.25,0.313610182356831,0.709851637556948,0.0915435399521478,0.64959756809844,35.3426026330561
"W1-026","GmJMC133","W1",26,0,62.25,2152.5,2588.5,3978,1799,24530.5,8234.75,0.273073350437768,0.572055736571987,0.0385548990708849,0.562354902074217,8.31226490424781
"W1-027","GmJMC111","W1",27,0,67.29,2008.75,1508,2996.5,1241,22211,9042.5,0.315833636839765,0.732479054744968,0.120010237591519,0.662888949201009,49.264585079571
"W1-028","GmWMC138","W1",28,0,42.36,1330.75,1221,2964,1082,24056,9426.5,0.37605807664433,0.765943740667612,0.111439594074791,0.710375912390596,49.6954269690249
"W1-029","GmJMC034","W1",29,0,60.06,1385.25,1500,2626.5,1216,21529,8945.5,0.274644569732549,0.731967743679914,0.146717078987863,0.656754880064912,63.6701662874597
"W1-030","GmWMC084","W1",30,0,35.405,963.5,2085.5,3295.5,1509.5,23418.5,8815.25,0.273012277677388,0.674907831169436,0.0930746143239499,0.626941400940074,35.5626777255801
"W1-031","GmWMC024","W1",31,0,45.38,1307.75,1667,3138.5,1402,22428,8814,0.294318962065412,0.691472627084985,0.113260931288041,0.62790774368661,48.6651624568471
"W1-032","GmJMC049","W1",32,0,33.915,1341,1493,3135.5,1351,22894,9065.5,0.306434728160374,0.699574576726491,0.104562209860519,0.628304474232439,40.1921567879872
"W1-033","GmWMC165","W1",33,0,61.99,1562.25,1513,3106.25,1361.5,22966,8943.5,0.298172376227636,0.681823889308664,0.117629387190136,0.620436875906643,52.1270090467317
"W1-034","GmWMC176","W1",34,1,46.54,1341.5,1386,3258.5,1213,23875,9067,0.358725143841026,0.735611667869001,0.0866534545508584,0.697314202687077,33.0759559401907
"W1-035","GmWMC189","W1",35,1,27.525,854.75,3100,5297,2389,30642.5,9313.25,0.296489256060872,0.52677488216248,-0.0139684135112415,0.554052591686414,-23.111452052622
"W1-036","GmJMC090","W1",36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-037","GmWMC014","W1",37,0,58.325,1700,1711,3108.5,1368,22065.5,8543.5,0.289771283985101,0.696799262802414,0.120971934373529,0.637176380951959,49.8369985222166
"W1-038","GmWMC146","W1",38,0,52.13,1456,1586,3459.25,1336,24929.5,9291.5,0.346220730792483,0.717392315732118,0.0801623391691643,0.675531697426738,28.8631248889813
"W1-039","GmJMC099","W1",39,0,23.46,1543,2536.5,4274.25,1924.5,27057.5,9554.5,0.275532009580175,0.602124590486335,0.0709023487169281,0.575208737510682,28.0104503911292
"W1-040","GmWMC103","W1",40,0,34.57,763.5,3496,4828.75,2289.5,27821.5,9436,0.257854704449692,0.527409280189889,0.0394775331121811,0.543985084068709,10.0509860908742
"W1-041","GmJMC013","W1",41,0,21.37,1059.25,3454.5,5077,2545,29939.5,10043.75,0.236275159226068,0.508598301526492,0.0443304110031021,0.520928254354088,13.3818833154986
"W1-042","GmWMC143","W1",42,0,44.875,3135.5,1507,2876,1227,23425,9346,0.312076561528313,0.727516049183957,0.12858911817508,0.661653429913801,56.1500798240259
"W1-043","GmJMC064","W1",43,0,25.87,730.25,4378,5495.5,2755,26783,8804.5,0.203087702363899,0.346136474206067,0.0407795812055417,0.433807132747659,14.3147219901082
"W1-044","GmWMC175","W1",44,0,74.94,2522,1361.5,3000.5,1170,24178.5,9541.5,0.334640825932863,0.745396155745634,0.120621809246156,0.678265339702675,55.0800067145325
"W1-045","GmWMC141","W1",45,1,34.365,1679,1929,3744.75,1554,26572,9817.25,0.307453756022349,0.677836165545677,0.0955415743992612,0.640736172464562,41.0318036061539
"W1-046","GmJMC051","W1",46,0,54.33,2069.25,1557,3147.5,1285,26005,10322,0.323120589402352,0.740515065228882,0.138310660980828,0.679630782899221,66.8456915506545
"W1-047","GmWMC159","W1",47,0,36.46,1310.75,2110,4302.5,1669,30066,10706,0.344089585160924,0.686315361302004,0.0766343185725558,0.666282833769771,33.5767984295524
"W1-048","GmJMC101","W1",48,0,75.305,2360.25,1299,2916.5,1113,25643,10312.5,0.350840759626221,0.772896849412547,0.127955215298889,0.722359180764697,62.0116211041255
"W1-049","UA-4805","W1",49,0,38.765,1466,4399.5,5618.25,2976,29319.5,10570.25,0.207923211551803,0.43440958561867,0.0774320949790761,0.483896752948989,40.3009656096706
"W1-050","GmWMC147","W1",50,0,85.305,2446.75,1511,3301,1259,28760,11292,0.345608017942899,0.753801089236927,0.122087413967476,0.69970380336574,62.5005897767182
"W1-051","GmJMC054","W1",51,0,81.075,1555.25,1740,3559.5,1549,27555,10891,0.291488214922441,0.723987825842671,0.119799958858169,0.664465935452289,62.355351955424
"W1-052","GmWMC125","W1",52,0,87,2252,1206.5,3012.25,1097,25263.5,9837.75,0.371079496340784,0.766133695559314,0.101070231103811,0.720725296795133,42.9234727080263
"W1-053","GmWMC155","W1",53,1,48.83,1852.25,1690,3814.5,1390,28034,10233,0.363995915970951,0.723328979173017,0.0804714082992515,0.691257148330517,31.9924817669811
"W1-054","GmWMC108","W1",54,0,23.97,1305,2646.5,4779.5,2266.5,30739,10750.75,0.245109168889283,0.587826778639707,0.0609818958550452,0.570556388111957,23.9875078189213
"W1-055","GmJMC056","W1",55,0,33.38,1276.75,2568,4550.5,2253,29607,10127,0.239510754946806,0.568084797107569,0.0438859484028236,0.567912901627187,10.7461148185857
"W1-056","GmWMC166","W1",56,0,54.855,1455.25,2644,4467,2115,28097,9704,0.264707365394682,0.575738773345241,0.0459943373324782,0.575479197288298,11.6671495077057
"W1-057","Houjaku Kuwazu","W1",57,0,65.675,2027,1431,3012.75,1242,24226.5,9519,0.320117338193863,0.742427910445783,0.121016099198617,0.682645170878557,53.673026309244
"W1-058","GmWMC163","W1",58,1,80.14,1148,2533,4430.75,2067.5,29183,9806,0.259516805292691,0.58332578260892,0.0409703786793495,0.602242210159054,7.95129413824679
"W1-059","GmJMC095","W1",59,0,37.175,1928.25,1559,3216,1352,25272,9799,0.291361020065727,0.730995193652849,0.112392032673226,0.661740795330008,53.8993588177999
"W1-060","GmJMC172","W1",60,1,72.12,2096.75,1278,3006,1179,25766,10292.5,0.33710148920571,0.762075379511927,0.124116787987734,0.703758416196866,60.445191007341
"W1-061","GmJMC003","W1",61,0,37.33,834.75,4100,5844,2987,32250,10620,0.214062084396844,0.478700002177331,0.0179508485920146,0.515352867800131,-4.65177086350259
"W1-062","GmWMC174","W1",62,0,51.23,1626.25,2293,4074,1801,27441,10069,0.275331846656046,0.636720601791634,0.0823491931480494,0.620455608364341,34.3869782865359
"W1-063","GmJMC085","W1",63,0,59.835,2231.25,1302,2807,1173,24737,10065.5,0.316765191996835,0.76175756436979,0.128644321417049,0.709671337218756,61.6918635307398
"W1-064","GmJMC078","W1",64,0,62.355,1725.75,1987,3484,1559,25767,9810,0.286228679578173,0.690965537245396,0.0952848781078858,0.662755894453768,42.2632598172173
"W1-065","GmJMC179","W1",65,0,81.4,2093.75,1238,2923,1158,24777,9919.5,0.330497654235944,0.756617169901856,0.111147515414301,0.705763159985662,49.902973537634
"W1-066","GmWMC119","W1",66,0,60.94,1704.75,1558,3123.5,1431,25596,10424,0.28555039084374,0.724765628273736,0.130502277641426,0.664072324900142,64.9305811238615
"W1-067","GmJMC126","W1",67,0,76.66,1705,1761.5,3481,1483,27304,10918.25,0.301689841809515,0.724016291591144,0.120373764622865,0.669381448220244,63.8180287142714
"W1-068","GmWMC182","W1",68,1,40.835,1343.5,2235,4222.75,1815,28529,10352.75,0.293929795219967,0.660753627750361,0.0807802509016794,0.623440013216338,36.1436074901136
"W1-069","GmWMC019","W1",69,0,23.13,925,3506,5049.5,2445,31160,10064.5,0.252606551454712,0.551302968054374,0.0164449602210307,0.595545353958979,-9.44910752358066
"W1-070","GmJMC177","W1",70,0,73.695,2309.75,1310,3144.25,1250,26740,9870,0.332577623230532,0.745328719640367,0.0732041941841341,0.704393504282624,25.5958453869262
"W1-071","GmWMC127","W1",71,0,54.145,1950.5,1298,3155.5,1199,26339,10310.5,0.354149254677523,0.763446617125341,0.119986616787857,0.713668965205588,58.4171611768746
"W1-072","GmWMC115","W1",72,0,67.51,1974,3113,4920.5,2418.5,29703,9818.25,0.239793185973587,0.545915113425304,0.0426474086756261,0.56187581767658,10.2089813255005
"W1-073","GmWMC038","W1",73,0,23.58,NA,4437,6972,4186,41269,11099,0.165296118523275,0.347861369984523,-0.0874795736907604,0.450239463397157,-95.5797058409681
"W1-074","GmJMC021","W1",74,0,42.335,1281,2805,4374,2232,28389,10456,0.228250780424458,0.589466402529458,0.0880913567738783,0.568317047736419,43.1097849438345
"W1-075","GmWMC160","W1",75,1,27.58,1221.75,3519,5481,2729,31098,10132,0.242150191621159,0.499884054699572,0.0303711540567502,0.521468361716133,5.72704736300115
"W1-076","GmJMC055","W1",76,0,36.565,1465.5,2055,3819,1648,27870,10195,0.300511185826963,0.670838875517065,0.084891542140112,0.640121481236852,37.5375972477736
"W1-077","GmWMC046","W1",77,0,30.865,796,4527,6273.25,3509,31744,10152.25,0.183553963006782,0.406520739002006,0.0138750060990319,0.43803266508314,-6.46610087015593
"W1-078","GmJMC030","W1",78,0,25.335,789.5,3363.5,5342.25,2857.5,31154,10505.5,0.218791264103852,0.505071351258753,0.0448501205400702,0.515277603830538,14.8576975930494
"W1-079","GmWMC070","W1",79,0,36.885,1487.25,3002.5,4826.5,2395,31067.5,10267.25,0.250471019042553,0.555969516384849,0.035378679504897,0.580205750516729,4.53887185036323
"W1-080","GmJMC092","W1",80,0,73.705,2160.75,1666,3156,1507,24289,9806,0.261596416772535,0.700858353315568,0.124680108292023,0.641793070407882,59.9545689907724
"W1-081","GmJMC180","W1",81,0,35.145,1592.5,2232,3941.75,1778.5,25564.5,9234.75,0.276133705510477,0.632010462145358,0.0753530727335238,0.609484802729311,30.4792922053292
"W1-082","GmJMC104","W1",82,0,40.195,1655,2046,3513.5,1696,25213,9844.25,0.265403188075429,0.657859904680126,0.113542746550198,0.616081229876706,52.2660631715009
"W1-083","GmWMC089","W1",83,0,47.23,1171.75,3240,5027.5,2576,29990,10883.5,0.226301030824901,0.546434637268311,0.0739719917027964,0.533100510767426,35.9542261112429
"W1-084","5002T","W1",84,0,30.21,1583.5,3234.5,5144.5,2663,30148.5,10935,0.226156772549403,0.534970083084803,0.0744327485069713,0.511000489644723,38.6262790136036
"W1-085","GmWMC020","W1",85,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-086","GmWMC156","W1",86,0,43.82,1439.75,1819,4061,1656,27380,9533.5,0.326371258155658,0.668587308132082,0.0616371684210081,0.639487503731351,21.6938789495829
"W1-087","GmJMC096","W1",87,0,74.585,1794,1656.5,3213,1385.5,24495.5,9586.5,0.302705239558701,0.717604349751058,0.113019070535456,0.655047539556501,52.8173849767828
"W1-088","GmJMC093","W1",88,0,45.765,1930.25,1425,3300,1291,26881,10626.5,0.343284370844191,0.752984437011335,0.116065703417282,0.700696168885423,57.5561350362835
"W1-089","GmWMC169","W1",89,0,33.465,1401.75,2285,3950,1876,27037,10054.5,0.259359688111528,0.639855677915822,0.0939156113301532,0.596113308606871,44.7196549076795
"W1-090","GmWMC134","W1",90,0,20.49,1078,1996.5,4276.75,1719.5,30976.5,10657.25,0.328551288978038,0.674089670204222,0.0486543972110537,0.658927574871643,13.9205501205519
"W1-091","GmWMC120","W1",91,0,29.615,886,4379,5925,3096,30189,9122.25,0.21972756470161,0.387162253916378,0.000789244144259495,0.431065134011885,-13.3255864166665
"W1-092","GmJMC080","W1",92,0,64.23,2005.5,1341,2768.75,1185,24028,10162.5,0.303956981602006,0.757497750808707,0.13935488561965,0.685842042373209,67.5855289682013
"W1-093","GmJMC100","W1",93,0,67.745,2315.5,1382.5,2936.5,1254,24224.5,9800.75,0.309248792289675,0.743778822056729,0.129160880872373,0.671467843115284,62.5609825835255
"W1-094","GmWMC140","W1",94,1,26.32,1342,2916,4627.75,2280,28121,10353.75,0.251464875205594,0.578788788493605,0.0749052337226664,0.563666454167716,33.1317062084976
"W1-095","GmJMC145","W1",95,0,56.68,1778,1724,3509.25,1458.5,26148,10167.75,0.302774772458948,0.712859398303689,0.112176681509734,0.656899138230683,54.5911475204122
"W1-096","GmJMC098","W1",96,0,56.59,1759,1915,4123.75,1589,29476.5,11121.75,0.323353781306502,0.714124617477575,0.0864785938794275,0.659259872384698,41.5966302358588
"W1-097","GmJMC116","W1",97,0,58.99,1720.25,2362,4015.5,1798,27574,10533,0.277245287776014,0.656339816971396,0.100233903226061,0.615202071468962,48.1028486631416
"W1-098","GmJMC041","W1",98,0,39.845,1029.5,3651,5341,2813.5,31632,11842.25,0.209632632999433,0.560609377048049,0.0784937677131407,0.524274435193429,38.2192948698594
"W1-099","GmWMC154","W1",99,0,55.95,2079,1482,3463.5,1278,28470,11595.5,0.355176261373244,0.770163519778051,0.121811535100789,0.710556352347015,66.6536746539084
"W1-100","GmJMC114","W1",100,0,68.795,1697.25,1887,3580.5,1648,29385,11409.5,0.269945864009785,0.709205065989575,0.087825541709027,0.66489210473098,39.4563255731476
"W1-101","GmWMC191","W1",101,1,77.42,1606.75,1356,2674,1128,19135,6903.5,0.307980882349556,0.686156673661705,0.0531301078346129,0.628602239749789,11.579771345983
"W1-102","GmJMC063","W1",102,0,42.45,2512.33333333333,1713,2885,1309,22150,7925.5,0.27177741384018,0.66442139816156,0.0574241693560177,0.641126707539357,14.2731577575059
"W1-103","C1329","W1",103,1,61.635,1768.75,1401,2968.5,1139,21237,7429.5,0.339431554162164,0.701174396297398,0.0493642247482854,0.663947974302884,10.4287580186139
"W1-104","GmWMC027","W1",104,0,58.36,1402.5,1648.5,2791.25,1236,19191,7272.25,0.285733731851541,0.678221772229896,0.0813488555866234,0.629295608380191,24.7875038512795
"W1-105","GmWMC022","W1",105,0,26.615,1220.25,1184,2508,1016,19858,7634.5,0.330083776352079,0.735946392659993,0.0899222164888581,0.679571309637936,28.3117386998263
"W1-106","GmJMC044","W1",106,0,38.07,1263,1959,2988.5,1448,20126,7782,0.250473614691947,0.635346742758288,0.0970585284299152,0.580463901009518,35.9711054042088
"W1-107","GmWMC107","W1",107,0,47.59,1209.25,2095,3434,1588,22017,7464,0.278196314100841,0.601195734410763,0.0513824559691298,0.578180135239745,13.1471775347436
"W1-108","GmWMC029","W1",108,0,54.545,1497,1699,2904,1308,20635,7659.5,0.286993138386292,0.665972446097429,0.0847304201524816,0.628589000868168,27.8862564460364
"W1-109","GmWMC142","W1",109,0,53.225,1274.75,1269,2589,1045,19567,7668.5,0.317834173983176,0.723379734975655,0.102913526237755,0.658153552456293,34.583944515988
"W1-110","GmJMC031","W1",110,0,47.045,1584.25,1545.5,2758.5,1225.5,20166.5,7408.5,0.280551377719691,0.675417708568749,0.0636259972567289,0.625725549330722,16.9093626127503
"W1-111","GmJMC105","W1",111,0,35.59,1634.25,1658,2774.5,1229,19879,7970.5,0.267507248357914,0.684699871773317,0.084152666802108,0.612381370127189,26.4716241734306
"W1-112","GmJMC069","W1",112,0,48.85,1204.25,1753,2914.75,1272.5,19655,7382.75,0.282245207229234,0.664001745237377,0.0875240177266197,0.608928987526148,28.5697308902474
"W1-113","GmWMC150","W1",113,0,20.855,1175.75,1595,3067.5,1234,23129,8553,0.318758671764153,0.70156614797151,0.0824393910586976,0.634474332508086,30.0279456647517
"W1-114","GmWMC083","W1",114,0,17.565,1132,1825,3299.75,1380.5,23959.5,8321.5,0.306319297340641,0.680368492201198,0.0409999386472599,0.646794148199684,6.23590301102689
"W1-115","GmWMC113","W1",115,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-116","GmWMC151","W1",116,0,49.535,1704.75,1170,2633.75,1018,20308.5,7795.75,0.344313794898434,0.743452567728852,0.0859338678112547,0.685365646432907,26.6513958342657
"W1-117","GmWMC010","W1",117,0,8.745,340.75,6782,6941.5,3433,34911,8243.5,0.181489025087909,0.291548117394992,-0.152359321932169,0.45532486617636,-125.114933143396
"W1-118","GmJMC016","W1",118,0,44.135,1157.75,1806,2803,1374,20627,7566.5,0.245927874899977,0.650663058464972,0.0653022107872413,0.607907217388607,17.5984418411512
"W1-119","GmWMC183","W1",119,1,54.09,1248.75,2055,3371,1478,22006,7593.5,0.287578393170661,0.629506420712023,0.0460074878125141,0.606923671633995,9.62680394283462
"W1-120","GmWMC124","W1",120,0,37.865,1092,2103,3342.75,1558.5,21754,7441.25,0.2487513579474,0.604366273717355,0.0550477529451327,0.594098513141051,13.7495922955973
"W1-121","GmWMC123","W1",121,0,66.92,1484.75,1274,2552.5,1015,18614,7601.5,0.317119857007824,0.741843007652778,0.118492629339911,0.672284734253547,39.7832863694908
"W1-122","GmJMC004","W1",122,0,16.05,636,2977,4031,2097.5,25223,8310.75,0.218529509637015,0.514045256506953,0.0190202654711193,0.556036098882009,-4.50825170634567
"W1-123","GmJMC091","W1",123,0,49.39,1418,1690,2782.75,1214,17926,7260.5,0.277583342838948,0.688218603791063,0.0913490302053048,0.610775516851864,25.6614368919787
"W1-124","GmWMC129","W1",124,1,29.355,977.75,3342,3863.5,1892,21709,7045.5,0.243755925619495,0.494167483291999,0.0140439788061168,0.525415713282858,-1.81402537413372
"W1-125","GmWMC012","W1",125,0,62.335,973.25,1616,2672.5,1177,20064,7450,0.283433060868479,0.701763145853825,0.0928211262837459,0.649775807576691,31.6431700555246
"W1-126","GmWMC045","W1",126,0,23.06,1210.33333333333,2049,3177.5,1385,21667,7827,0.287555324954679,0.62610031422023,0.0712250986566229,0.603426531595507,21.8895161644552
"W1-127","GmJMC040","W1",127,0,40.8,1273.25,2031,3279,1466,21375,7452.5,0.272510075587617,0.626426814655988,0.0610926591924738,0.60589178223025,15.9433221184306
"W1-128","GmJMC079","W1",128,0,62.48,1186,1258,2334.5,955,17724,7347,0.314468585290027,0.738667321608867,0.131636806407958,0.659514417945253,44.1478325088761
"W1-129","GmWMC018","W1",129,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-130","GmWMC015","W1",130,0,31.04,1154.75,1515.5,2725.5,1196,19722,7240.75,0.296954758495192,0.68441103735345,0.0793495234628336,0.646666503072635,24.1692707479269
"W1-131","GmJMC102","W1",131,0,30.835,1395.25,1709,2861,1313,20585,7570,0.269634669227151,0.66408026279668,0.0731345467133045,0.623284084485774,22.3032028594949
"W1-132","GmJMC043","W1",132,0,27.595,1196.5,2878.5,4087.75,2052.5,23561.5,7839,0.243695668638689,0.523879944095426,0.0347258475435132,0.529577056147293,6.04133993893252
"W1-133","GmWMC066","W1",133,0,37.345,919,1747,3035.25,1308.5,21021.5,7586,0.282486029492436,0.67497525849833,0.074423237155795,0.630944610460401,24.5163437986695
"W1-134","GmWMC073","W1",134,0,24.625,888,3462.5,4589.75,2126,24888,7971.75,0.263067345776268,0.494156052553253,0.0315848606990573,0.555495934682043,5.72601524085582
"W1-135","GmWMC132","W1",135,0,54.675,1247.25,1484,2549.25,1178,18349,6957,0.269863993249953,0.667250800539869,0.101244310443113,0.616340267941188,31.5994884280888
"W1-136","GmWMC170","W1",136,0,52.145,1232.5,938,2245.75,817,19023.5,7649,0.372526865055372,0.781994847051177,0.120217748533546,0.72662133051662,42.1892859500189
"W1-137","GmJMC033","W1",137,0,46.42,909.25,1670,2672,1311,19116,7344,0.248873271506613,0.635388783124752,0.0877953281847676,0.604827362192744,26.4235638846494
"W1-138","GmWMC144","W1",138,1,52.545,1365.25,1223,2566,1040,19354,7374.5,0.318653039200378,0.727852390609042,0.0889920350807856,0.680919136049209,27.7250201861016
"W1-139","GmWMC118","W1",139,0,58.585,1543.75,1038,2128,894,16579,6761.5,0.317559467672229,0.753019320040701,0.113327427998296,0.676091854546455,33.661071786567
"W1-140","GmJMC139","W1",140,0,76.59,1991.5,956.5,2131.5,851,19416.5,7903.25,0.333647651187569,0.778337894175606,0.123680505874462,0.720614538657148,45.2810929565071
"W1-141","GmWMC171","W1",141,0,69.97,1767.25,929,2288.5,864,19401,7588.5,0.364714788517334,0.775127796175601,0.105251947114002,0.726752128509194,35.5195673043364
"W1-142","GmJMC002","W1",142,0,16.78,426.75,4778,6317,3482,29408,8371.5,0.18009242454386,0.332016769494858,-0.0378813487867114,0.407243020800015,-37.4764412625915
"W1-143","GmWMC048","W1",143,0,44.625,1580,2244,3529.25,1592,23108.5,8048.5,0.286643233474291,0.612460990669419,0.0523529648401229,0.592449206261618,12.8354035654339
"W1-144","GmJMC057","W1",144,0,28.015,1094,2387,3856.5,1878,23525.5,8280.5,0.260508900442932,0.569273373562381,0.0563867659200621,0.561597788794551,16.4082235118649
"W1-145","GmWMC186","W1",145,1,24.86,889.5,3874.5,5616,2863,28460,8322,0.22652252713282,0.399463245451029,-0.0278874719784524,0.466600650733019,-30.6809940537279
"W1-146","GmWMC075","W1",146,0,49.205,980,2908.5,4325.75,2107.5,27048.5,8835.5,0.248760489181024,0.545856746759494,0.0207343502713126,0.566009399588027,-3.71913920604602
"W1-147","GmWMC011","W1",147,0,16.57,1448.5,3094,4561.5,2171,25941,8404,0.25598569210394,0.524237560923441,0.0174528822324221,0.567067183979266,-6.68510016773838
"W1-148","GmJMC081","W1",148,0,47.005,1944.5,4282,5534,2671,30659,9300,0.238866823220978,0.438452332188798,-0.0214931319462977,0.513752690899615,-29.5185344986949
"W1-149","GmJMC130","W1",149,0,52.07,1147,3429.5,4536,2258,27730,9135.25,0.218642549286481,0.492464920194587,0.0153606174175384,0.537012095783344,-6.34449410539049
"W1-150","GmWMC071","W1",150,0,49.26,1797,1660,2908,1361,23268,9186.5,0.261361423954447,0.701279877059746,0.109221394513342,0.657310278455535,44.7816313188561
"W1-151","GmJMC062","W1",151,0,16.775,1765,2291,3654.25,1778,23930.5,8282,0.247254106723602,0.580093158802407,0.0391279154106531,0.576484462160866,5.67661162575511
"W1-152","GmWMC178","W1",152,0,48.22,1530.5,1790,3244.25,1460,23788,8379.25,0.27716612413623,0.643721174140506,0.0407149934656345,0.608156733471986,7.54595454415292
"W1-153","GmWMC157","W1",153,1,15.23,920,3863.5,5908.75,2845.5,32828.5,9151,0.257399761031929,0.43827392156524,-0.0530743837753984,0.533303511959721,-53.4984806869544
"W1-154","GmWMC001","W1",154,0,18.05,561,4115,5391.5,2861.5,31122.5,8689.5,0.212607326433531,0.375320881204839,-0.0722592010086575,0.521967844748895,-61.6140794346383
"W1-155","GmJMC161","W1",155,1,49.54,2096.75,1342,2923,1207,22226,8112,0.318394202049348,0.699983289703446,0.0655358398737384,0.660304711069854,19.0076331798026
"W1-156","GmJMC149","W1",156,0,74.505,2650.25,1116,2540.5,1013,21819,8311,0.33256572865834,0.754478462846458,0.0971355404752421,0.703624891005309,35.0695069157788
"W1-157","GmJMC065","W1",157,0,60.68,1846.5,2245.5,3724.25,1829,24295.5,8442.25,0.254199053434361,0.592204080408599,0.0538414214843685,0.578680410059777,15.0348814797191
"W1-158","GmJMC058","W1",158,0,61.435,2299.75,1267,2497.75,1142,21397,8674,0.276893057932248,0.738921495249667,0.144879501619994,0.674020753463631,61.2381673340617
"W1-159","GmJMC067","W1",159,0,94.645,2573,1142,2309,1010,19916,8220,0.283942128695852,0.752735925986538,0.125731190959163,0.66541408599711,52.942894603536
