"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W3-134","GmWMC046","W3",134,0,31.37,771,4888,6238.5,3579,29899,8730.5,0.145163360149962,0.360423168984222,-0.00908765716244957,0.407528559567444,-21.1876897965224
"W3-135","GmJMC058","W3",135,0,26.72,1017.25,3176,4960,2627,28719.5,8952.75,0.184944568626182,0.483312579259065,0.0263034591665233,0.49271158310799,0.0910377510208971
"W3-136","GmWMC134","W3",136,0,23.195,771.75,1985,4290,1658,28747,9083,0.325794226924629,0.660513538340405,0.027995579278387,0.658352121090855,0.365528891286111
"W3-137","GmJMC047","W3",137,0,47.89,1501.5,4217,5764.5,3033,29050,8791,0.185365156495641,0.42243516104641,0.0125589352974884,0.448911053332896,-6.33360871409749
"W3-138","GmWMC015","W3",138,0,20.72,945.25,2909,4668.5,2091,29663,9650.5,0.251274949641323,0.592268640753881,0.0374139623775893,0.589153072861317,7.35746443340018
"W3-139","GmWMC173","W3",139,1,27.485,1025.5,2720,4640,2122,29025,9124.5,0.261494215642983,0.582825710190369,0.0231216050634699,0.593715480724313,-3.85813016006967
"W3-140","GmWMC066","W3",140,0,34.665,1086.75,2214,3718.5,1725,26189,9259.5,0.246237196851908,0.639127149636719,0.083699966815084,0.614483257818407,33.3999136462297
"W3-141","GmWMC070","W3",141,0,50.73,1057,3083,4553,2176,27426,8739.5,0.237700846669883,0.547803364572878,0.0417927467558604,0.564780554625153,8.84121869662261
"W3-142","GmJMC179","W3",142,1,54.98,1593,1469,3004,1261,23396,8352,0.29084412009993,0.715898794408993,0.0915771116957787,0.668450252561573,34.8065984949105
"W3-143","GmWMC115","W3",143,0,53.74,1140.5,2786,4323.75,2095,26566,8699,0.224300707550568,0.568220145849924,0.0563134454561639,0.555672219667107,18.1040766784177
"W3-144","C1322","W3",144,0,52.38,1020,2069.5,3508,1633,25548,9088.25,0.24847049181908,0.65143826111693,0.0852025302687901,0.615624726036328,33.4532218349107
