"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W1-001","GmWMC152","W1",1,1,51.755,600.25,3672,5293.5,2476,26191,7894,0.259352607009868,0.438128245903597,-0.00480413818962354,0.488911012823088,-15.923219465357
"W1-002","GmJMC008","W1",2,0,10.43,203.5,6324,7872.75,3902,31842.5,8130.25,0.22406231754884,0.269709213948421,-0.101232022785708,0.421978074962503,-81.3853521491421
"W1-003","Tachiutaka","W1",3,0,30.815,444.75,4172,5491,2706,27317,7902.5,0.235902276269289,0.403173823213347,-0.0286406502709066,0.47123744181896,-30.0564043049465
"W1-004","GmWMC185","W1",4,1,56.985,611.75,3607.5,5229.5,2542,26422,7874,0.251935031457029,0.434286942824932,-0.0153291546691389,0.50331507476331,-21.4048368793882
"W1-005","GmJMC110","W1",5,1,56.515,793,2345,4469.5,1744,26407,8250,0.326012410734559,0.594420708719795,0.0204963418623817,0.604947524437762,-4.07750917111598
"W1-006","GmJMC053","W1",6,0,30.375,466,4827.5,6392.5,3085.5,27850.5,7840.25,0.231800877844009,0.330758279967557,-0.0552427713597452,0.423962160241259,-45.03118498423
"W1-007","GmWMC035","W1",7,0,26.905,499.5,3180,5100.25,2234,25709,7853,0.291771268621404,0.506073846477074,-0.00232996897109334,0.539073298327615,-16.6208645589613
"W1-008","GmJMC059","W1",8,1,55.13,572.75,2669,4330,2023,24705,7945,0.267690306944301,0.545801483472012,0.028232488068358,0.562249289753391,0.79477732688296
"W1-009","GmWMC006","W1",9,0,44.67,590.5,3831,5453.5,2586.5,25823.5,7895,0.250726955898754,0.424115503255785,-0.00486534820263423,0.487622846419752,-15.489868041309
"W1-010","GmJMC005","W1",10,0,36.115,545.25,2794,4320,1996,23912,7779.5,0.268229868566546,0.544625515094019,0.0327449823597219,0.555059442240831,4.05676963632444
"W1-011","C1322","W1",11,1,54.495,679.75,2898,4554.5,2070,24181,7935,0.276582915311901,0.534866515874375,0.0273019700091067,0.553281533397524,2.17126624815483
"W1-012","GmJMC068","W1",12,1,46.205,525.75,3382,4913.5,2370,24416,7706,0.249782751485915,0.468528341257525,0.000617116044728741,0.511606619302532,-11.8558085925094
"W1-013","GmJMC017","W1",13,1,33.085,459,3452.5,4899.75,2295.5,24791,7858.5,0.255775696509638,0.477799724193193,0.0237623468098664,0.516249850139152,1.66803428719169
"W1-014","GmJMC052","W1",14,0,35.27,330.75,5488,6652,3235,29389,8029,0.219635284052029,0.33117596080402,-0.057309017840167,0.452542829971754,-48.9908099395072
"W1-015","GmWMC036","W1",15,0,15.63,224,4712,6064.25,2717,30547,8368.5,0.254249957657265,0.443440908171525,-0.0436519663737391,0.521093601644114,-48.4802308576981
"W1-016","GmJMC077","W1",16,1,48.835,794.25,2953,4613.5,2063,24589,8086,0.295574954537204,0.538018392796593,0.0433392835542437,0.54380866288746,11.5308521462997
"W1-017","GmWMC164","W1",17,1,65.95,572.5,2615,4372,1871.5,23799.5,7791.25,0.317402127239046,0.558817260852593,0.0432385487475216,0.569763122354459,10.8244777596852
"W1-018","GmWMC072","W1",18,1,57.475,465.75,4467,5836.5,2792,26823,7939.5,0.243942614419155,0.393423257417144,-0.017038887447666,0.445088176541222,-22.4446801690092
"W1-019","GmWMC086","W1",19,0,30.355,424.75,5082,6498,3412,27515,8101.5,0.203513344725866,0.343011653481239,-0.0103070934488498,0.401965992748593,-18.128454343911
"W1-020","GmJMC009","W1",20,0,18.535,474.5,4973,6373.25,3379.5,28117.5,8065,0.216526335219767,0.341450879501388,-0.0410930210524864,0.42327927697655,-38.9294217256527
"W1-021","GmWMC148","W1",21,1,36.33,398.25,4035,5804.5,2650,26692,7860.5,0.267367999255022,0.423167872559943,-0.0361198828048649,0.505835277759442,-34.5868785293658
"W1-022","GmWMC094","W1",22,1,34.1,319.25,5440,6199,3135,27943,7549,0.200457813465419,0.297747301962179,-0.0768527511657875,0.412472598180225,-56.5114100718745
"W1-023","GmWMC135","W1",23,1,91.095,757.5,3617,4938.5,2379,24103.5,7552.75,0.249164556400665,0.436947246309835,0.0167562339767265,0.473822711844985,-2.21017392626136
"W1-024","GmJMC025","W1",24,0,57.995,761,3955,5556.25,2688.5,26145.5,7913.75,0.246805440190038,0.414170758178801,0.00820458925569035,0.463760772108942,-6.63648042823265
"W1-025","GmJMC061","W1",25,0,52.11,515,3535.5,5215.25,2479,25347,7811.75,0.261790359988812,0.453993798402997,0.00919300669371858,0.48764433477064,-6.26955995499811
"W1-026","GmJMC133","W1",26,1,62.25,511.5,4706,6356.75,3161.5,27150,7598.25,0.248186436420414,0.360091859389375,-0.033699581035153,0.447284070393164,-29.7685497496625
"W1-027","GmJMC111","W1",27,1,67.29,621.5,3596.5,5166.25,2495,24898,7748,0.254901142788653,0.44325619326612,0.00483558985004921,0.47374309680638,-8.2684042779884
"W1-028","GmWMC138","W1",28,1,42.36,362,3551,5701.5,2644,26915,8224,0.27719736543266,0.462290947017568,-0.00672916030962769,0.502903899020017,-16.7434799324301
"W1-029","GmJMC034","W1",29,0,60.06,709.5,1934,3695.5,1591,23017,8021.5,0.306605951565908,0.635445787944833,0.0840762905435543,0.607147490009138,33.0785145708658
"W1-030","GmWMC084","W1",30,0,35.405,402.5,3654,5290.25,2420,25932,8181.5,0.276394457322834,0.477790467247706,0.0224615487082723,0.514139565512108,0.76034802012961
"W1-031","GmWMC024","W1",31,0,45.38,537.5,3481,5460.5,2555.5,25453.5,7928.25,0.265260737106034,0.452592539695664,0.0259445199114863,0.480558985828398,3.52910080019418
"W1-032","GmJMC049","W1",32,1,33.915,307,4818,6393.25,3137.5,27252,7680,0.226942605828709,0.337255597837922,-0.0281574446467471,0.415752502022692,-27.6163049927685
"W1-033","GmWMC165","W1",33,0,61.99,446.5,4137,5858,2912,25892,7976,0.237415541393222,0.408294601447837,0.00710152951521704,0.443267312761538,-6.83650731642223
"W1-034","GmWMC176","W1",34,1,46.54,456.75,3813.5,6052.75,2717.5,27389.5,8147.5,0.281338962056497,0.439003410041151,-0.00393507585651384,0.473907260541476,-13.908995218337
"W1-035","GmWMC189","W1",35,1,27.525,180.75,5900,8009.5,3934,28540,7786,0.244422231619956,0.257419204083564,-0.0469835101425931,0.360700672098384,-36.0599404108507
"W1-036","GmJMC090","W1",36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-037","GmWMC014","W1",37,0,58.325,649.5,2498,4328,1969,22776,7735.5,0.306746181906247,0.555174862347296,0.0636195396778448,0.551415628553407,23.0330976293973
"W1-038","GmWMC146","W1",38,1,52.13,446.25,3802,5790,2610,25621,7847.5,0.288935221785318,0.436378007728371,0.022457445855945,0.466095776137832,3.87681934033989
"W1-039","GmJMC099","W1",39,1,23.46,291.75,4860,6728.5,3474,26400,7867,0.232783148784159,0.322236740680531,-0.000875742034267858,0.364474118141771,-9.37921532300862
"W1-040","GmWMC103","W1",40,0,34.57,301.25,3930,5697.5,2593,25376,8044.5,0.278367888106285,0.436932884116122,0.0238632766460912,0.454494024467859,3.67345124920677
"W1-041","GmJMC013","W1",41,1,21.37,237,5546,7558.75,4045.5,27622.5,7927.5,0.210688254323998,0.28333993579821,-0.0154984661222064,0.328388812994123,-16.3532118635146
"W1-042","GmWMC143","W1",42,1,44.875,833.5,5107,6521,3379,25813,8023,0.212931072181032,0.325249529868709,0.0137313910875151,0.339447818645329,-0.527168014852837
"W1-043","GmJMC064","W1",43,1,25.87,99.5,5238.5,6536,3457.5,23427.5,7433,0.205116742673985,0.261938960735011,0.0389709857814149,0.282633709182343,17.8387159022478
"W1-044","GmWMC175","W1",44,1,74.94,711,3340,4922,2406,24069.5,8137.5,0.248426583168482,0.494583288341316,0.0608745184099836,0.464240760354252,23.7258318338388
"W1-045","GmWMC141","W1",45,1,34.365,262.75,5658,7427,4020,28417,8142,0.200780688093626,0.280524250551599,-0.00651825803392511,0.332438418388954,-12.9742708683176
"W1-046","GmJMC051","W1",46,1,54.33,624,3926,5627,2773.5,26012.5,8579,0.245091715586518,0.443004688284351,0.050878005624828,0.450244981014093,19.3784655463876
"W1-047","GmWMC159","W1",47,1,36.46,246.5,4864,7177.5,3522,30252,9219.75,0.257172960213453,0.390802769464036,-0.000370286435087521,0.427128664292105,-12.1001389601835
"W1-048","GmJMC101","W1",48,1,75.305,761.75,2531,4718.5,1969,26609,9276,0.325927230532376,0.616304611284707,0.0686059395919602,0.589216439741483,29.6041050268421
"W1-049","UA-4805","W1",49,1,38.765,386.333333333333,5759,7230,3733,30307,8870.5,0.221179861573101,0.332876112697512,-0.0178480429872906,0.397513874279223,-25.6559610740194
"W1-050","GmWMC147","W1",50,1,85.305,801,3535.5,5405,2521,27614.5,9354.5,0.273651860122422,0.518551665736868,0.0530838574130802,0.51710394107622,20.7218962884208
"W1-051","GmJMC054","W1",51,1,81.075,396.25,2800,4877.5,2234,25848,8460.5,0.280136011012563,0.546722277140574,0.0443842764763724,0.553401393164747,12.9794909291781
"W1-052","GmWMC125","W1",52,1,87,823.5,1974,3985,1609.5,24016.5,8139.25,0.330452180166207,0.636837316494798,0.054403484748067,0.625180403994494,16.9544595443442
"W1-053","GmWMC155","W1",53,1,48.83,469.25,3993,6462,2897,30077,8257.5,0.292978849270483,0.430071789293906,-0.0410013497081839,0.508385026286942,-41.285639359645
"W1-054","GmWMC108","W1",54,1,23.97,209.25,6698,8192.5,4312,33059,8330.5,0.194644315044366,0.253565977969352,-0.0962062761620627,0.375094238501817,-81.1388107136555
"W1-055","GmJMC056","W1",55,0,33.38,263.75,5774,7260.5,3867,30510,7802.5,0.186552227408654,0.277687929142188,-0.0908848830139432,0.39478996469645,-73.7835063946775
