"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W1-001","GmWMC152","W1",1,1,51.755,233,4847.5,6304.5,3200.5,33256.5,7125.5,0.228730369246966,0.28175264866399,-0.236504498647139,0.515122331678101,-188.180906645929
"W1-002","GmJMC008","W1",2,0,10.43,130.75,5599,7426.5,3519,42215,7545.5,0.244267809281155,0.272728599014826,-0.2719754167382,0.532898717208914,-267.893023082313
"W1-003","Tachiutaka","W1",3,1,30.815,173,4956,6257.75,3246.5,43349.5,7162,0.217882720142607,0.269968479181228,-0.296166040008959,0.542197477341812,-305.935903722068
"W1-004","GmWMC185","W1",4,1,56.985,330.75,4445.5,6298.5,3210,37580,7491.25,0.239327149261334,0.303022424539799,-0.253038698327809,0.538545998179989,-228.370178529085
"W1-005","GmJMC110","W1",5,1,56.515,473.25,3485,5499.5,2560,30965,7521,0.278589395567253,0.404190425299479,-0.173405635778653,0.562493005273632,-135.640065460564
"W1-006","GmJMC053","W1",6,1,30.375,149,5840.5,7310.75,3805,38299.5,7383,0.21572562033253,0.22784720436261,-0.27842905263204,0.496836589297202,-249.752577368904
"W1-007","GmWMC035","W1",7,1,26.905,213.25,5225,6519.5,3174,39155,7239.5,0.248037403442111,0.315575900668413,-0.256704443377516,0.54516759234928,-253.335038790054
"W1-008","GmJMC059","W1",8,1,55.13,282.5,4944.5,6113.75,3196,38523.5,7693.25,0.213327273396402,0.325129612088116,-0.23934758349926,0.552197542954603,-229.472143359866
"W1-009","GmWMC006","W1",9,0,44.67,237,6504.5,7380,3681,38559,7441.25,0.203738390372632,0.235834035250706,-0.246268360560449,0.490448891333547,-229.098729098299
"W1-010","GmJMC005","W1",10,0,36.115,278,4059.5,5125,2628.5,35695,7063.75,0.221252018245453,0.347858342789971,-0.257277710978534,0.556214843060988,-205.907853635912
"W1-011","C1322","W1",11,1,54.495,323.5,4617.5,5903.5,3000.5,39898,7400.5,0.219057875462911,0.331961781085007,-0.257316581175773,0.553370469104867,-255.385443358314
"W1-012","GmJMC068","W1",12,1,46.205,240.75,5756,6472,3533,36674,7060.5,0.189134266351118,0.244548999990764,-0.260159167341617,0.484754905628809,-234.132781225699
"W1-013","GmJMC017","W1",13,1,33.085,236.5,5114.5,5946.5,3016.5,39548.5,7184.25,0.230903898971804,0.303438360858004,-0.258699895974103,0.558804105536975,-257.444657214918
"W1-014","GmJMC052","W1",14,1,35.27,157.5,6648.5,7731.75,3757.5,46018.5,7754,0.223530839158964,0.226050255728266,-0.2880494297619,0.546122285278627,-309.667783876798
"W1-015","GmWMC036","W1",15,0,15.63,108.75,6304,7284.5,3205,53719,7773.5,0.230984862821364,0.310771566472347,-0.323061465754821,0.600847721746771,-362.386617782943
"W1-016","GmJMC077","W1",16,1,48.835,393.5,4629.5,6330.75,2918,36979,7433.75,0.252337650996772,0.349039205446229,-0.224516769453723,0.544141685410701,-207.8207415481
"W1-017","GmWMC164","W1",17,1,65.95,322,4124,5845.5,2670.5,34482.5,7231.25,0.268436981560492,0.355792611882883,-0.247950109050696,0.560618767602107,-204.240810779972
"W1-018","GmWMC072","W1",18,1,57.475,182,5913.5,6809.75,3668,43283.5,7389.25,0.207312156575877,0.243867551929131,-0.306878622705447,0.54502988884747,-313.566611727537
"W1-019","GmWMC086","W1",19,0,30.355,153.5,5886.5,6622.25,3434,44726.5,7503.25,0.196583411549637,0.275048655548192,-0.285852166530673,0.536826688840747,-303.253536352949
"W1-020","GmJMC009","W1",20,0,18.535,191.5,5722.5,7025,3753,40072,7700.5,0.204319279806584,0.25409766938719,-0.24986132529725,0.504962976333467,-241.465418445664
"W1-021","GmWMC148","W1",21,1,36.33,123,6318.5,7054,3459.5,45699.5,6970.75,0.225178945119642,0.230748121038989,-0.304819216758481,0.54350201912119,-325.371288693393
"W1-022","GmWMC094","W1",22,1,34.1,114.75,5419,6566,3270,44720,7191.5,0.219396526819991,0.240833846466555,-0.328256776054194,0.563287905332463,-353.416594071172
"W1-023","GmWMC135","W1",23,1,91.095,305.75,4471,5870.5,2969,31111,6763.5,0.241431932990393,0.2930185877267,-0.206066932098618,0.493489426358134,-148.477150239008
"W1-024","GmJMC025","W1",24,1,57.995,299.25,5784,7104.5,3647,36439,7370,0.210645081217204,0.256276665149452,-0.237515276139027,0.478114903612513,-206.04489545362
"W1-025","GmJMC061","W1",25,1,52.11,228.75,4606,5979.5,3213,32607,6981,0.219045592692569,0.262937676093827,-0.233288107429722,0.488277782301388,-175.697140675636
"W1-026","GmJMC133","W1",26,1,62.25,162,6682,7268.5,3728,38879.5,7425,0.194685843945602,0.226321648129911,-0.262723824263509,0.502730116029947,-242.722811024289
"W1-027","GmJMC111","W1",27,1,67.29,290.5,4581.5,5890.25,3154.5,30926,7313.75,0.214633869946108,0.309288611568281,-0.177327775476074,0.504699831640008,-136.533592985882
"W1-028","GmWMC138","W1",28,1,42.36,124.5,5013,6776.75,3264,48309,7767.25,0.247701159521827,0.325462242221704,-0.295702966863274,0.593896128764181,-341.12126953199
"W1-029","GmJMC034","W1",29,1,60.06,405,3777,5336.25,2549,29937,7709,0.272106895520626,0.429421071395861,-0.126365851244645,0.552919732830452,-107.237976336924
"W1-030","GmWMC084","W1",30,1,35.405,159.25,4498,6410.5,3277,43224,7727.5,0.250093656877233,0.327377898285015,-0.276902636422007,0.538673289111884,-284.222853211942
"W1-031","GmWMC024","W1",31,1,45.38,211.75,5531,7380,3842,33748,7585,0.239894677285477,0.248592529725296,-0.184617044843202,0.439180409577559,-152.935098197948
"W1-032","GmJMC049","W1",32,1,33.915,81.75,6542,7912.5,4255,43940,7301.5,0.211777670177719,0.18673302204127,-0.287138394869867,0.481498663447812,-291.131085832259
"W1-033","GmWMC165","W1",33,1,61.99,146,5646.5,7552.25,4165,35036,7747,0.206939223699737,0.238162036489011,-0.202177290868348,0.43326073029998,-178.692514415151
"W1-034","GmWMC176","W1",34,1,46.54,178.5,5186.5,7493.5,3560,42252,8044.25,0.257303614556481,0.302787685134307,-0.238614413646269,0.532026302763591,-243.65562594635
"W1-035","GmWMC189","W1",35,1,27.525,62,7526.5,8804.75,4466,43507,7602.25,0.205163672710533,0.179398364456421,-0.27329081196187,0.468029027490316,-277.440639467611
"W1-036","GmJMC090","W1",36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-037","GmWMC014","W1",37,1,58.325,336.5,3572,5816,2778,28354,7927.5,0.273089363387322,0.415771182628993,-0.088099835650494,0.517145507347381,-76.9464543210608
"W1-038","GmWMC146","W1",38,1,52.13,237.25,5331,7558.5,3598,33330,7900,0.254106519764615,0.283047570414133,-0.158274442722789,0.446394466066006,-131.095463326557
"W1-039","GmJMC099","W1",39,1,23.46,121.75,5440,7166.5,3974,31662,7726,0.219866725940735,0.250734042719483,-0.137033358401827,0.41503460297923,-113.73586778302
"W1-040","GmWMC103","W1",40,0,34.57,134.25,4614,6421.5,3169,30314,7659,0.248474465354376,0.328617344899914,-0.123757677467972,0.476349625903221,-101.401292573535
"W1-041","GmJMC013","W1",41,1,21.37,81.75,5914,7882,4343,33976,7748,0.220060805100278,0.220842930530088,-0.167021332565107,0.396515286741293,-131.426127862213
